dependent_feature,independent_feature,beta,t_statistic,p,n_train,n_test,r2_train,r2_test,formula,q
bedtime_int_log1p_resid,avg_sleep,-0.013666531297583441,-1.188923522937925,0.2346853947423458,1320.0,1320,0.069858907389023,,"bedtime_int_log1p_resid ~ C(avg_sleep, Poly) + C(sex) + age + BMI_CALC + PC1 + PC2 + PC3 + C(sleep_q_vendor_x) + fitbit_dip_minus_sleep_q_dip",0.5867134868558644
bedtime_int_log1p_resid,restful_sleep,0.0006758122746540989,0.39157047371533443,0.6954393403054006,1320.0,1320,0.06593090968130111,,"bedtime_int_log1p_resid ~ C(restful_sleep, Poly) + C(sex) + age + BMI_CALC + PC1 + PC2 + PC3 + C(sleep_q_vendor_x) + fitbit_dip_minus_sleep_q_dip",0.6954393403054006
bedtime_int_log1p_resid,sleep_concentration,-0.010870344689336692,-0.4534279527405171,0.6507580411755127,202.0,202,0.11832919779835593,,"bedtime_int_log1p_resid ~ C(sleep_concentration, Poly) + C(sex) + age + BMI_CALC + PC1 + PC2 + PC3 + C(sleep_q_vendor_x) + fitbit_dip_minus_sleep_q_dip",0.6954393403054006
bedtime_int_log1p_resid,sleep_hours,-0.01163716036843905,-0.4968482699962132,0.6199573920958232,177.0,177,0.1621208135652641,,"bedtime_int_log1p_resid ~ C(sleep_hours, Poly) + C(sex) + age + BMI_CALC + PC1 + PC2 + PC3 + C(sleep_q_vendor_x) + fitbit_dip_minus_sleep_q_dip",0.6954393403054006
bedtime_int_log1p_resid,sleep_trouble,0.008055741384757939,1.4354768149794845,0.15303284672542417,177.0,177,0.14592337343070094,,"bedtime_int_log1p_resid ~ C(sleep_trouble, Poly) + C(sex) + age + BMI_CALC + PC1 + PC2 + PC3 + C(sleep_q_vendor_x) + fitbit_dip_minus_sleep_q_dip",0.5867134868558644
bedtime_int_std_log1p_resid,avg_sleep,0.002476393788533326,0.051411973773712025,0.9590050876639096,1320.0,1320,0.026243163401301284,,"bedtime_int_std_log1p_resid ~ C(avg_sleep, Poly) + C(sex) + age + BMI_CALC + PC1 + PC2 + PC3 + C(sleep_q_vendor_x) + fitbit_dip_minus_sleep_q_dip",0.9590050876639096
bedtime_int_std_log1p_resid,restful_sleep,0.016172860549889482,2.2423958625561986,0.025102663350087945,1320.0,1320,0.027486963280934917,,"bedtime_int_std_log1p_resid ~ C(restful_sleep, Poly) + C(sex) + age + BMI_CALC + PC1 + PC2 + PC3 + C(sleep_q_vendor_x) + fitbit_dip_minus_sleep_q_dip",0.12551331675043972
bedtime_int_std_log1p_resid,sleep_concentration,-0.14735455875663647,-1.4594385412144235,0.1460957772507416,202.0,202,0.10046672540595414,,"bedtime_int_std_log1p_resid ~ C(sleep_concentration, Poly) + C(sex) + age + BMI_CALC + PC1 + PC2 + PC3 + C(sleep_q_vendor_x) + fitbit_dip_minus_sleep_q_dip",0.36523944312685397
bedtime_int_std_log1p_resid,sleep_hours,-0.07941666421708528,-0.7272200690516114,0.4681217137498246,177.0,177,0.03217684481920313,,"bedtime_int_std_log1p_resid ~ C(sleep_hours, Poly) + C(sex) + age + BMI_CALC + PC1 + PC2 + PC3 + C(sleep_q_vendor_x) + fitbit_dip_minus_sleep_q_dip",0.7802028562497076
bedtime_int_std_log1p_resid,sleep_trouble,-0.0017561976280097541,-0.06768457555378148,0.9461181837478232,177.0,177,0.029903287683763935,,"bedtime_int_std_log1p_resid ~ C(sleep_trouble, Poly) + C(sex) + age + BMI_CALC + PC1 + PC2 + PC3 + C(sleep_q_vendor_x) + fitbit_dip_minus_sleep_q_dip",0.9590050876639096
sleep_awakeDuration_log1p_resid,avg_sleep,-0.11164391749639163,-0.8656147315347855,0.3869326676202607,909.0,909,0.07187550124715614,,"sleep_awakeDuration_log1p_resid ~ C(avg_sleep, Poly) + C(sex) + age + BMI_CALC + PC1 + PC2 + PC3 + C(sleep_q_vendor_x) + fitbit_dip_minus_sleep_q_dip",0.3869326676202607
sleep_awakeDuration_log1p_resid,restful_sleep,0.057049864700893155,2.4256565533914327,0.015476874170760801,909.0,909,0.07708375908736964,,"sleep_awakeDuration_log1p_resid ~ C(restful_sleep, Poly) + C(sex) + age + BMI_CALC + PC1 + PC2 + PC3 + C(sleep_q_vendor_x) + fitbit_dip_minus_sleep_q_dip",0.030953748341521602
sleep_awakeDuration_std_log1p_resid,avg_sleep,-0.08880691968765171,-0.8130490538453553,0.4164054379189438,909.0,909,0.05357035828426093,,"sleep_awakeDuration_std_log1p_resid ~ C(avg_sleep, Poly) + C(sex) + age + BMI_CALC + PC1 + PC2 + PC3 + C(sleep_q_vendor_x) + fitbit_dip_minus_sleep_q_dip",0.4164054379189438
sleep_awakeDuration_std_log1p_resid,restful_sleep,0.058039518708795035,2.9134333336685425,0.003663443977483873,909.0,909,0.05856152522236302,,"sleep_awakeDuration_std_log1p_resid ~ C(restful_sleep, Poly) + C(sex) + age + BMI_CALC + PC1 + PC2 + PC3 + C(sleep_q_vendor_x) + fitbit_dip_minus_sleep_q_dip",0.007326887954967746
sleep_awakeningsCount_log1p_resid,avg_sleep,0.04603025958919015,0.5473891597854197,0.5842047134962866,1320.0,1320,0.018080537933461427,,"sleep_awakeningsCount_log1p_resid ~ C(avg_sleep, Poly) + C(sex) + age + BMI_CALC + PC1 + PC2 + PC3 + C(sleep_q_vendor_x) + fitbit_dip_minus_sleep_q_dip",0.6365604458531569
sleep_awakeningsCount_log1p_resid,restful_sleep,0.012986872176103009,1.0300562762231362,0.3031738723952127,1320.0,1320,0.016724350315555636,,"sleep_awakeningsCount_log1p_resid ~ C(restful_sleep, Poly) + C(sex) + age + BMI_CALC + PC1 + PC2 + PC3 + C(sleep_q_vendor_x) + fitbit_dip_minus_sleep_q_dip",0.6365604458531569
sleep_awakeningsCount_log1p_resid,sleep_concentration,-0.07494019227533241,-0.47327477563741344,0.6365604458531569,202.0,202,0.11421241024247852,,"sleep_awakeningsCount_log1p_resid ~ C(sleep_concentration, Poly) + C(sex) + age + BMI_CALC + PC1 + PC2 + PC3 + C(sleep_q_vendor_x) + fitbit_dip_minus_sleep_q_dip",0.6365604458531569
sleep_awakeningsCount_log1p_resid,sleep_hours,0.09073716066637934,0.5767893177789162,0.5648678522093555,177.0,177,0.1596434220170102,,"sleep_awakeningsCount_log1p_resid ~ C(sleep_hours, Poly) + C(sex) + age + BMI_CALC + PC1 + PC2 + PC3 + C(sleep_q_vendor_x) + fitbit_dip_minus_sleep_q_dip",0.6365604458531569
sleep_awakeningsCount_log1p_resid,sleep_trouble,0.031082741793858577,0.8323654706608753,0.40639855446878215,177.0,177,0.15922183810071944,,"sleep_awakeningsCount_log1p_resid ~ C(sleep_trouble, Poly) + C(sex) + age + BMI_CALC + PC1 + PC2 + PC3 + C(sleep_q_vendor_x) + fitbit_dip_minus_sleep_q_dip",0.6365604458531569
sleep_awakeningsCount_std_log1p_resid,avg_sleep,-0.022445424822338765,-0.32029598024831063,0.7487950892509465,1320.0,1320,0.003315924912110746,,"sleep_awakeningsCount_std_log1p_resid ~ C(avg_sleep, Poly) + C(sex) + age + BMI_CALC + PC1 + PC2 + PC3 + C(sleep_q_vendor_x) + fitbit_dip_minus_sleep_q_dip",0.9043854360251176
sleep_awakeningsCount_std_log1p_resid,restful_sleep,0.019332385126945448,1.8514969224065725,0.06432318012468202,1320.0,1320,0.014319019704609914,,"sleep_awakeningsCount_std_log1p_resid ~ C(restful_sleep, Poly) + C(sex) + age + BMI_CALC + PC1 + PC2 + PC3 + C(sleep_q_vendor_x) + fitbit_dip_minus_sleep_q_dip",0.16080795031170506
sleep_awakeningsCount_std_log1p_resid,sleep_concentration,-0.017360536586943892,-0.1202837986735495,0.9043854360251176,202.0,202,0.11590564262772929,,"sleep_awakeningsCount_std_log1p_resid ~ C(sleep_concentration, Poly) + C(sex) + age + BMI_CALC + PC1 + PC2 + PC3 + C(sleep_q_vendor_x) + fitbit_dip_minus_sleep_q_dip",0.9043854360251176
sleep_awakeningsCount_std_log1p_resid,sleep_hours,-0.28219071074816204,-1.8964020078133024,0.0596545480735592,177.0,177,0.15764265709105796,,"sleep_awakeningsCount_std_log1p_resid ~ C(sleep_hours, Poly) + C(sex) + age + BMI_CALC + PC1 + PC2 + PC3 + C(sleep_q_vendor_x) + fitbit_dip_minus_sleep_q_dip",0.16080795031170506
sleep_awakeningsCount_std_log1p_resid,sleep_trouble,-0.008395102001657773,-0.23422490651326477,0.8150990121314932,177.0,177,0.13223765495564943,,"sleep_awakeningsCount_std_log1p_resid ~ C(sleep_trouble, Poly) + C(sex) + age + BMI_CALC + PC1 + PC2 + PC3 + C(sleep_q_vendor_x) + fitbit_dip_minus_sleep_q_dip",0.9043854360251176
