dependent_feature,independent_feature,beta,t_statistic,p,n_train,n_test,r2_train,r2_test,formula,q
bedtime_int_log1p_resid,a_g_ratio_log1p,-0.008613684214778353,-0.6568657215832205,0.5114010123042878,1147.0,1147,0.09450568681458205,,bedtime_int_log1p_resid ~ a_g_ratio_log1p + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(any_mental_health_self_anytime_before) + C(any_sleep_disorder_self_anytime_before) + C(mental_health_gut_sleep_q_vendor) + C(clinical_vendor) + fitbit_dip_minus_clinical_dip + activities_activityCalories_resid + activities_steps_resid + activities_floors_resid + avg_stress,0.7956399902003768
bedtime_int_log1p_resid,adiponectin_serum_log1p,-0.003179728254909879,-1.210592853511085,0.22631488409496126,1103.0,1103,0.09015646573180747,,bedtime_int_log1p_resid ~ adiponectin_serum_log1p + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(any_mental_health_self_anytime_before) + C(any_sleep_disorder_self_anytime_before) + C(mental_health_gut_sleep_q_vendor) + C(clinical_vendor) + fitbit_dip_minus_clinical_dip + activities_activityCalories_resid + activities_steps_resid + activities_floors_resid + avg_stress,0.6982818692220207
bedtime_int_log1p_resid,alat_sgpt_log1p,0.0007857768687090736,0.27254807087991617,0.7852504290248143,1147.0,1147,0.09421948117999357,,bedtime_int_log1p_resid ~ alat_sgpt_log1p + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(any_mental_health_self_anytime_before) + C(any_sleep_disorder_self_anytime_before) + C(mental_health_gut_sleep_q_vendor) + C(clinical_vendor) + fitbit_dip_minus_clinical_dip + activities_activityCalories_resid + activities_steps_resid + activities_floors_resid + avg_stress,0.8908145318767785
bedtime_int_log1p_resid,albumin_log1p,-0.015736606420529375,-0.6138612059895667,0.5394306017575786,1147.0,1147,0.09446191155047012,,bedtime_int_log1p_resid ~ albumin_log1p + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(any_mental_health_self_anytime_before) + C(any_sleep_disorder_self_anytime_before) + C(mental_health_gut_sleep_q_vendor) + C(clinical_vendor) + fitbit_dip_minus_clinical_dip + activities_activityCalories_resid + activities_steps_resid + activities_floors_resid + avg_stress,0.7956399902003768
bedtime_int_log1p_resid,alkaline_phosphatase_log1p,0.0012485487933385012,0.29608772695070984,0.7672174903792637,1147.0,1147,0.09423020983178498,,bedtime_int_log1p_resid ~ alkaline_phosphatase_log1p + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(any_mental_health_self_anytime_before) + C(any_sleep_disorder_self_anytime_before) + C(mental_health_gut_sleep_q_vendor) + C(clinical_vendor) + fitbit_dip_minus_clinical_dip + activities_activityCalories_resid + activities_steps_resid + activities_floors_resid + avg_stress,0.8908145318767785
bedtime_int_log1p_resid,antioxid_cap_total_log1p,-0.013216837889742102,-1.1389653604883203,0.2562227701700985,196.0,196,0.17476420743173815,,bedtime_int_log1p_resid ~ antioxid_cap_total_log1p + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(any_mental_health_self_anytime_before) + C(any_sleep_disorder_self_anytime_before) + C(mental_health_gut_sleep_q_vendor) + C(clinical_vendor) + fitbit_dip_minus_clinical_dip + activities_activityCalories_resid + activities_steps_resid + activities_floors_resid + avg_stress,0.712297286690005
bedtime_int_log1p_resid,arachidonic_acid_log1p,-0.011636088521448993,-1.6732939226968533,0.09454994760197111,1132.0,1132,0.09666039129249837,,bedtime_int_log1p_resid ~ arachidonic_acid_log1p + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(any_mental_health_self_anytime_before) + C(any_sleep_disorder_self_anytime_before) + C(mental_health_gut_sleep_q_vendor) + C(clinical_vendor) + fitbit_dip_minus_clinical_dip + activities_activityCalories_resid + activities_steps_resid + activities_floors_resid + avg_stress,0.529835885629152
bedtime_int_log1p_resid,arsenic_blood_log1p,-0.008678650813932296,-0.8747828404181193,0.38285136558339494,196.0,196,0.17234887755182704,,bedtime_int_log1p_resid ~ arsenic_blood_log1p + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(any_mental_health_self_anytime_before) + C(any_sleep_disorder_self_anytime_before) + C(mental_health_gut_sleep_q_vendor) + C(clinical_vendor) + fitbit_dip_minus_clinical_dip + activities_activityCalories_resid + activities_steps_resid + activities_floors_resid + avg_stress,0.7830271598572638
bedtime_int_log1p_resid,asat_sgot_log1p,0.0010689697429102133,0.2501486251822655,0.8025178831006282,1147.0,1147,0.0942100967584043,,bedtime_int_log1p_resid ~ asat_sgot_log1p + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(any_mental_health_self_anytime_before) + C(any_sleep_disorder_self_anytime_before) + C(mental_health_gut_sleep_q_vendor) + C(clinical_vendor) + fitbit_dip_minus_clinical_dip + activities_activityCalories_resid + activities_steps_resid + activities_floors_resid + avg_stress,0.8908145318767785
bedtime_int_log1p_resid,basophils_log1p,-0.00877364399149934,-2.4601652951875295,0.014038820252723365,1127.0,1127,0.10021170481118524,,bedtime_int_log1p_resid ~ basophils_log1p + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(any_mental_health_self_anytime_before) + C(any_sleep_disorder_self_anytime_before) + C(mental_health_gut_sleep_q_vendor) + C(clinical_vendor) + fitbit_dip_minus_clinical_dip + activities_activityCalories_resid + activities_steps_resid + activities_floors_resid + avg_stress,0.3650093265708075
bedtime_int_log1p_resid,basophils_absolute_log1p,-0.026129456375462,-0.6574050791589573,0.5110567785760638,1127.0,1127,0.09565760514458743,,bedtime_int_log1p_resid ~ basophils_absolute_log1p + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(any_mental_health_self_anytime_before) + C(any_sleep_disorder_self_anytime_before) + C(mental_health_gut_sleep_q_vendor) + C(clinical_vendor) + fitbit_dip_minus_clinical_dip + activities_activityCalories_resid + activities_steps_resid + activities_floors_resid + avg_stress,0.7956399902003768
bedtime_int_log1p_resid,bilirubin_direct_log1p,0.008408329609013693,0.16990363235098802,0.8652756766590457,196.0,196,0.16898221067628172,,bedtime_int_log1p_resid ~ bilirubin_direct_log1p + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(any_mental_health_self_anytime_before) + C(any_sleep_disorder_self_anytime_before) + C(mental_health_gut_sleep_q_vendor) + C(clinical_vendor) + fitbit_dip_minus_clinical_dip + activities_activityCalories_resid + activities_steps_resid + activities_floors_resid + avg_stress,0.9373819830472995
bedtime_int_log1p_resid,bilirubin_indirect_log1p,-0.013147235269947155,-0.611219142693514,0.5418213713865492,196.0,196,0.17056165661745792,,bedtime_int_log1p_resid ~ bilirubin_indirect_log1p + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(any_mental_health_self_anytime_before) + C(any_sleep_disorder_self_anytime_before) + C(mental_health_gut_sleep_q_vendor) + C(clinical_vendor) + fitbit_dip_minus_clinical_dip + activities_activityCalories_resid + activities_steps_resid + activities_floors_resid + avg_stress,0.7956399902003768
bedtime_int_log1p_resid,bilirubin_total_log1p,0.00200795911409075,0.26911174968913554,0.7878928162115743,1147.0,1147,0.09421798928907177,,bedtime_int_log1p_resid ~ bilirubin_total_log1p + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(any_mental_health_self_anytime_before) + C(any_sleep_disorder_self_anytime_before) + C(mental_health_gut_sleep_q_vendor) + C(clinical_vendor) + fitbit_dip_minus_clinical_dip + activities_activityCalories_resid + activities_steps_resid + activities_floors_resid + avg_stress,0.8908145318767785
bedtime_int_log1p_resid,bun_creat_ratio_log1p,0.002742365589298903,0.5557544741600529,0.5784887253841101,1147.0,1147,0.09440746389036658,,bedtime_int_log1p_resid ~ bun_creat_ratio_log1p + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(any_mental_health_self_anytime_before) + C(any_sleep_disorder_self_anytime_before) + C(mental_health_gut_sleep_q_vendor) + C(clinical_vendor) + fitbit_dip_minus_clinical_dip + activities_activityCalories_resid + activities_steps_resid + activities_floors_resid + avg_stress,0.8241483210951707
bedtime_int_log1p_resid,calcium_log1p,0.02947429404063649,0.7870709084347746,0.43140539958120705,1147.0,1147,0.09465625932178379,,bedtime_int_log1p_resid ~ calcium_log1p + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(any_mental_health_self_anytime_before) + C(any_sleep_disorder_self_anytime_before) + C(mental_health_gut_sleep_q_vendor) + C(clinical_vendor) + fitbit_dip_minus_clinical_dip + activities_activityCalories_resid + activities_steps_resid + activities_floors_resid + avg_stress,0.7924773166845085
bedtime_int_log1p_resid,carbon_dioxide_co2_log1p,-0.013315710273812105,-0.9569801817282603,0.3387819488824738,1147.0,1147,0.0948934838069816,,bedtime_int_log1p_resid ~ carbon_dioxide_co2_log1p + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(any_mental_health_self_anytime_before) + C(any_sleep_disorder_self_anytime_before) + C(mental_health_gut_sleep_q_vendor) + C(clinical_vendor) + fitbit_dip_minus_clinical_dip + activities_activityCalories_resid + activities_steps_resid + activities_floors_resid + avg_stress,0.7829627263061617
bedtime_int_log1p_resid,chloride_log1p,0.012514029003218808,0.24673350702093036,0.8051592884270883,1147.0,1147,0.09420873661484308,,bedtime_int_log1p_resid ~ chloride_log1p + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(any_mental_health_self_anytime_before) + C(any_sleep_disorder_self_anytime_before) + C(mental_health_gut_sleep_q_vendor) + C(clinical_vendor) + fitbit_dip_minus_clinical_dip + activities_activityCalories_resid + activities_steps_resid + activities_floors_resid + avg_stress,0.8908145318767785
bedtime_int_log1p_resid,cholesterol_total_log1p,-0.0030629350332068697,-0.48683901118401607,0.626466835995438,1147.0,1147,0.09434989405410588,,bedtime_int_log1p_resid ~ cholesterol_total_log1p + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(any_mental_health_self_anytime_before) + C(any_sleep_disorder_self_anytime_before) + C(mental_health_gut_sleep_q_vendor) + C(clinical_vendor) + fitbit_dip_minus_clinical_dip + activities_activityCalories_resid + activities_steps_resid + activities_floors_resid + avg_stress,0.8326441848086196
bedtime_int_log1p_resid,copper_rbc_log1p,0.030490396515061486,0.6091674520500643,0.5431773010021803,196.0,196,0.17055020609340132,,bedtime_int_log1p_resid ~ copper_rbc_log1p + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(any_mental_health_self_anytime_before) + C(any_sleep_disorder_self_anytime_before) + C(mental_health_gut_sleep_q_vendor) + C(clinical_vendor) + fitbit_dip_minus_clinical_dip + activities_activityCalories_resid + activities_steps_resid + activities_floors_resid + avg_stress,0.7956399902003768
bedtime_int_log1p_resid,creatinine_enz_ser_log1p,0.020800444751105047,1.4198373129085797,0.1559308639046385,1147.0,1147,0.09577309337497619,,bedtime_int_log1p_resid ~ creatinine_enz_ser_log1p + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(any_mental_health_self_anytime_before) + C(any_sleep_disorder_self_anytime_before) + C(mental_health_gut_sleep_q_vendor) + C(clinical_vendor) + fitbit_dip_minus_clinical_dip + activities_activityCalories_resid + activities_steps_resid + activities_floors_resid + avg_stress,0.6224519576996004
bedtime_int_log1p_resid,crp_high_sensitivity_log1p,0.002031648093172161,0.8762426092134821,0.38108438584210746,1147.0,1147,0.09477501140501465,,bedtime_int_log1p_resid ~ crp_high_sensitivity_log1p + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(any_mental_health_self_anytime_before) + C(any_sleep_disorder_self_anytime_before) + C(mental_health_gut_sleep_q_vendor) + C(clinical_vendor) + fitbit_dip_minus_clinical_dip + activities_activityCalories_resid + activities_steps_resid + activities_floors_resid + avg_stress,0.7830271598572638
bedtime_int_log1p_resid,dha_log1p,0.005244454379773136,0.8709215263646338,0.38398447262231206,1132.0,1132,0.09500762779607419,,bedtime_int_log1p_resid ~ dha_log1p + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(any_mental_health_self_anytime_before) + C(any_sleep_disorder_self_anytime_before) + C(mental_health_gut_sleep_q_vendor) + C(clinical_vendor) + fitbit_dip_minus_clinical_dip + activities_activityCalories_resid + activities_steps_resid + activities_floors_resid + avg_stress,0.7830271598572638
bedtime_int_log1p_resid,dpa_log1p,-9.934105230660395e-05,-0.007440495253133404,0.9940649873606324,950.0,950,0.10300599979100189,,bedtime_int_log1p_resid ~ dpa_log1p + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(any_mental_health_self_anytime_before) + C(any_sleep_disorder_self_anytime_before) + C(mental_health_gut_sleep_q_vendor) + C(clinical_vendor) + fitbit_dip_minus_clinical_dip + activities_activityCalories_resid + activities_steps_resid + activities_floors_resid + avg_stress,0.9974188041133591
bedtime_int_log1p_resid,eosinophils_log1p,0.004230308977962915,1.5142310208906722,0.1302519361608744,1127.0,1127,0.09717044649607698,,bedtime_int_log1p_resid ~ eosinophils_log1p + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(any_mental_health_self_anytime_before) + C(any_sleep_disorder_self_anytime_before) + C(mental_health_gut_sleep_q_vendor) + C(clinical_vendor) + fitbit_dip_minus_clinical_dip + activities_activityCalories_resid + activities_steps_resid + activities_floors_resid + avg_stress,0.588965276553519
bedtime_int_log1p_resid,eosinophils_absolute_log1p,0.01932318262925926,1.345045740011622,0.17888520116110027,1127.0,1127,0.0967776258595181,,bedtime_int_log1p_resid ~ eosinophils_absolute_log1p + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(any_mental_health_self_anytime_before) + C(any_sleep_disorder_self_anytime_before) + C(mental_health_gut_sleep_q_vendor) + C(clinical_vendor) + fitbit_dip_minus_clinical_dip + activities_activityCalories_resid + activities_steps_resid + activities_floors_resid + avg_stress,0.635388808969272
bedtime_int_log1p_resid,epa_log1p,0.005873445983226354,1.0352860329604732,0.3007598293913053,1132.0,1132,0.09526168470221463,,bedtime_int_log1p_resid ~ epa_log1p + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(any_mental_health_self_anytime_before) + C(any_sleep_disorder_self_anytime_before) + C(mental_health_gut_sleep_q_vendor) + C(clinical_vendor) + fitbit_dip_minus_clinical_dip + activities_activityCalories_resid + activities_steps_resid + activities_floors_resid + avg_stress,0.7698403677144746
bedtime_int_log1p_resid,epa_aa_log1p,0.0032714039870755294,0.10968669540027966,0.9127911421369603,181.0,181,0.19562165086658068,,bedtime_int_log1p_resid ~ epa_aa_log1p + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(any_mental_health_self_anytime_before) + C(any_sleep_disorder_self_anytime_before) + C(mental_health_gut_sleep_q_vendor) + C(clinical_vendor) + fitbit_dip_minus_clinical_dip + activities_activityCalories_resid + activities_steps_resid + activities_floors_resid + avg_stress,0.9786626678581842
bedtime_int_log1p_resid,ferritin_log1p,-0.003508065557826264,-2.3102763364135144,0.021052791381718044,1144.0,1144,0.09838669909076159,,bedtime_int_log1p_resid ~ ferritin_log1p + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(any_mental_health_self_anytime_before) + C(any_sleep_disorder_self_anytime_before) + C(mental_health_gut_sleep_q_vendor) + C(clinical_vendor) + fitbit_dip_minus_clinical_dip + activities_activityCalories_resid + activities_steps_resid + activities_floors_resid + avg_stress,0.4378980607397353
bedtime_int_log1p_resid,folic_acid_serum_log1p,-0.0014018727302835246,-0.37214755898083934,0.7098607478993875,1031.0,1031,0.083151419604087,,bedtime_int_log1p_resid ~ folic_acid_serum_log1p + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(any_mental_health_self_anytime_before) + C(any_sleep_disorder_self_anytime_before) + C(mental_health_gut_sleep_q_vendor) + C(clinical_vendor) + fitbit_dip_minus_clinical_dip + activities_activityCalories_resid + activities_steps_resid + activities_floors_resid + avg_stress,0.8584362532736779
bedtime_int_log1p_resid,gfr_mdrd_log1p,-0.008539150540148862,-1.1858821469922558,0.23591814017568669,1147.0,1147,0.09528588008920036,,bedtime_int_log1p_resid ~ gfr_mdrd_log1p + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(any_mental_health_self_anytime_before) + C(any_sleep_disorder_self_anytime_before) + C(mental_health_gut_sleep_q_vendor) + C(clinical_vendor) + fitbit_dip_minus_clinical_dip + activities_activityCalories_resid + activities_steps_resid + activities_floors_resid + avg_stress,0.6982818692220207
bedtime_int_log1p_resid,gfr_mdrd_african_am_log1p,-0.01386273705006744,-1.798652686020554,0.07239605755084313,951.0,951,0.1063963635340549,,bedtime_int_log1p_resid ~ gfr_mdrd_african_am_log1p + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(any_mental_health_self_anytime_before) + C(any_sleep_disorder_self_anytime_before) + C(mental_health_gut_sleep_q_vendor) + C(clinical_vendor) + fitbit_dip_minus_clinical_dip + activities_activityCalories_resid + activities_steps_resid + activities_floors_resid + avg_stress,0.5019459990191791
