dependent_feature,independent_feature,beta,t_statistic,p,n_train,n_test,r2_train,r2_test,formula,q
bedtime_int_log1p_resid,observed_features,-1.8387751351845766e-05,-0.3513294639443069,0.7253921298199779,1469.0,1469,0.08833333702531276,,bedtime_int_log1p_resid ~ observed_features + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(any_mental_health_self_anytime_before) + C(any_sleep_disorder_self_anytime_before) + C(mental_health_gut_sleep_q_vendor) + fitbit_dip_minus_reference_microbe_dip + activities_activityCalories_resid + activities_steps_resid + activities_floors_resid + avg_stress,0.7253921298199779
bedtime_int_log1p_resid,shannon_index,0.0012623453354720354,0.5168545612856956,0.6053363486122474,1469.0,1469,0.08842348713578163,,bedtime_int_log1p_resid ~ shannon_index + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(any_mental_health_self_anytime_before) + C(any_sleep_disorder_self_anytime_before) + C(mental_health_gut_sleep_q_vendor) + fitbit_dip_minus_reference_microbe_dip + activities_activityCalories_resid + activities_steps_resid + activities_floors_resid + avg_stress,0.7253921298199779
bedtime_int_log1p_resid,berger_parker,-0.0038284170413736356,-0.42647241675544595,0.6698268173216826,1469.0,1469,0.08837000385376081,,bedtime_int_log1p_resid ~ berger_parker + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(any_mental_health_self_anytime_before) + C(any_sleep_disorder_self_anytime_before) + C(mental_health_gut_sleep_q_vendor) + fitbit_dip_minus_reference_microbe_dip + activities_activityCalories_resid + activities_steps_resid + activities_floors_resid + avg_stress,0.7253921298199779
bedtime_int_std_log1p_resid,observed_features,8.10273495466513e-05,0.3728576712083028,0.7093087599196484,1469.0,1469,0.034234985421723096,,bedtime_int_std_log1p_resid ~ observed_features + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(any_mental_health_self_anytime_before) + C(any_sleep_disorder_self_anytime_before) + C(mental_health_gut_sleep_q_vendor) + fitbit_dip_minus_reference_microbe_dip + activities_activityCalories_resid + activities_steps_resid + activities_floors_resid + avg_stress,0.7093087599196484
bedtime_int_std_log1p_resid,shannon_index,0.004009474420784446,0.39535226243751687,0.6926409690305599,1469.0,1469,0.03424647005581749,,bedtime_int_std_log1p_resid ~ shannon_index + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(any_mental_health_self_anytime_before) + C(any_sleep_disorder_self_anytime_before) + C(mental_health_gut_sleep_q_vendor) + fitbit_dip_minus_reference_microbe_dip + activities_activityCalories_resid + activities_steps_resid + activities_floors_resid + avg_stress,0.7093087599196484
bedtime_int_std_log1p_resid,berger_parker,-0.016847424656047078,-0.45199304122624534,0.6513414597186876,1469.0,1469,0.03427836554545349,,bedtime_int_std_log1p_resid ~ berger_parker + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(any_mental_health_self_anytime_before) + C(any_sleep_disorder_self_anytime_before) + C(mental_health_gut_sleep_q_vendor) + fitbit_dip_minus_reference_microbe_dip + activities_activityCalories_resid + activities_steps_resid + activities_floors_resid + avg_stress,0.7093087599196484
sleep_awakeDuration_log1p_resid,observed_features,-0.002331753104539618,-3.0991831174056754,0.0020021049624052312,898.0,898,0.0856978663412703,,sleep_awakeDuration_log1p_resid ~ observed_features + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(any_mental_health_self_anytime_before) + C(any_sleep_disorder_self_anytime_before) + C(mental_health_gut_sleep_q_vendor) + fitbit_dip_minus_reference_microbe_dip + activities_activityCalories_resid + activities_steps_resid + activities_floors_resid + avg_stress,0.0020021049624052312
sleep_awakeDuration_log1p_resid,shannon_index,-0.12588619459663464,-3.5272328327383455,0.00044159009625060943,898.0,898,0.08859728387366705,,sleep_awakeDuration_log1p_resid ~ shannon_index + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(any_mental_health_self_anytime_before) + C(any_sleep_disorder_self_anytime_before) + C(mental_health_gut_sleep_q_vendor) + fitbit_dip_minus_reference_microbe_dip + activities_activityCalories_resid + activities_steps_resid + activities_floors_resid + avg_stress,0.0013247702887518283
sleep_awakeDuration_log1p_resid,berger_parker,0.4183192636056409,3.120575175261117,0.0018637177585963003,898.0,898,0.08583428649572256,,sleep_awakeDuration_log1p_resid ~ berger_parker + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(any_mental_health_self_anytime_before) + C(any_sleep_disorder_self_anytime_before) + C(mental_health_gut_sleep_q_vendor) + fitbit_dip_minus_reference_microbe_dip + activities_activityCalories_resid + activities_steps_resid + activities_floors_resid + avg_stress,0.0020021049624052312
sleep_awakeDuration_std_log1p_resid,observed_features,-0.0017601455060380585,-2.6970943522671003,0.007128183510809245,898.0,898,0.05482843405832816,,sleep_awakeDuration_std_log1p_resid ~ observed_features + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(any_mental_health_self_anytime_before) + C(any_sleep_disorder_self_anytime_before) + C(mental_health_gut_sleep_q_vendor) + fitbit_dip_minus_reference_microbe_dip + activities_activityCalories_resid + activities_steps_resid + activities_floors_resid + avg_stress,0.007128183510809245
