dependent_feature,independent_feature,beta,t_statistic,p,n_train,n_test,r2_train,r2_test,formula,q
bedtime_int_log1p_resid,micom_0_log,-0.0003217481285501928,-0.1930699642969609,0.8469311767000234,1468.0,1468,0.0882794587432768,,bedtime_int_log1p_resid ~ micom_0_log + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(any_mental_health_self_anytime_before) + C(any_sleep_disorder_self_anytime_before) + C(mental_health_gut_sleep_q_vendor) + fitbit_dip_minus_reference_microbe_dip + activities_activityCalories_resid + activities_steps_resid + activities_floors_resid + avg_stress,0.9574557473316304
bedtime_int_log1p_resid,micom_1_log,0.0006786802250953926,0.5395958818966856,0.5895584354224065,1469.0,1469,0.0884385568599968,,bedtime_int_log1p_resid ~ micom_1_log + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(any_mental_health_self_anytime_before) + C(any_sleep_disorder_self_anytime_before) + C(mental_health_gut_sleep_q_vendor) + fitbit_dip_minus_reference_microbe_dip + activities_activityCalories_resid + activities_steps_resid + activities_floors_resid + avg_stress,0.8737340841511924
bedtime_int_log1p_resid,micom_10_log,0.025857555617917215,1.7270534314860462,0.08437416193145467,1445.0,1445,0.08637934282339843,,bedtime_int_log1p_resid ~ micom_10_log + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(any_mental_health_self_anytime_before) + C(any_sleep_disorder_self_anytime_before) + C(mental_health_gut_sleep_q_vendor) + fitbit_dip_minus_reference_microbe_dip + activities_activityCalories_resid + activities_steps_resid + activities_floors_resid + avg_stress,0.5030508662039216
bedtime_int_log1p_resid,micom_100_log,-0.0015001227456434175,-0.7772689047824127,0.4371266626960717,1469.0,1469,0.08863482999914041,,bedtime_int_log1p_resid ~ micom_100_log + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(any_mental_health_self_anytime_before) + C(any_sleep_disorder_self_anytime_before) + C(mental_health_gut_sleep_q_vendor) + fitbit_dip_minus_reference_microbe_dip + activities_activityCalories_resid + activities_steps_resid + activities_floors_resid + avg_stress,0.8186190228671888
bedtime_int_log1p_resid,micom_101_log,-0.0026032510706983972,-2.5819243383095025,0.009922330268451187,1468.0,1468,0.09256139837147737,,bedtime_int_log1p_resid ~ micom_101_log + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(any_mental_health_self_anytime_before) + C(any_sleep_disorder_self_anytime_before) + C(mental_health_gut_sleep_q_vendor) + fitbit_dip_minus_reference_microbe_dip + activities_activityCalories_resid + activities_steps_resid + activities_floors_resid + avg_stress,0.49206934729581814
bedtime_int_log1p_resid,micom_102_log,-0.0026119326389703185,-0.8864562508810451,0.37551840958614136,1469.0,1469,0.0887487095895485,,bedtime_int_log1p_resid ~ micom_102_log + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(any_mental_health_self_anytime_before) + C(any_sleep_disorder_self_anytime_before) + C(mental_health_gut_sleep_q_vendor) + fitbit_dip_minus_reference_microbe_dip + activities_activityCalories_resid + activities_steps_resid + activities_floors_resid + avg_stress,0.8012786127663482
bedtime_int_log1p_resid,micom_103_log,-0.0006307281775956857,-0.23494680477957214,0.8142987048872279,1004.0,1004,0.0889676337746611,,bedtime_int_log1p_resid ~ micom_103_log + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(any_mental_health_self_anytime_before) + C(any_sleep_disorder_self_anytime_before) + C(mental_health_gut_sleep_q_vendor) + fitbit_dip_minus_reference_microbe_dip + activities_activityCalories_resid + activities_steps_resid + activities_floors_resid + avg_stress,0.9574557473316304
bedtime_int_log1p_resid,micom_104_log,-0.0007851121902030329,-0.32325259933175005,0.7465723521913453,1004.0,1004,0.08901308122290763,,bedtime_int_log1p_resid ~ micom_104_log + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(any_mental_health_self_anytime_before) + C(any_sleep_disorder_self_anytime_before) + C(mental_health_gut_sleep_q_vendor) + fitbit_dip_minus_reference_microbe_dip + activities_activityCalories_resid + activities_steps_resid + activities_floors_resid + avg_stress,0.9320842700085887
bedtime_int_log1p_resid,micom_105_log,-0.001425418899340225,-1.099519963030449,0.2717246060274555,1460.0,1460,0.08886145923904254,,bedtime_int_log1p_resid ~ micom_105_log + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(any_mental_health_self_anytime_before) + C(any_sleep_disorder_self_anytime_before) + C(mental_health_gut_sleep_q_vendor) + fitbit_dip_minus_reference_microbe_dip + activities_activityCalories_resid + activities_steps_resid + activities_floors_resid + avg_stress,0.7269515433981277
bedtime_int_log1p_resid,micom_106_log,-0.0006775772270717867,-0.5647283087533211,0.5723465948629317,1455.0,1455,0.08630590001666238,,bedtime_int_log1p_resid ~ micom_106_log + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(any_mental_health_self_anytime_before) + C(any_sleep_disorder_self_anytime_before) + C(mental_health_gut_sleep_q_vendor) + fitbit_dip_minus_reference_microbe_dip + activities_activityCalories_resid + activities_steps_resid + activities_floors_resid + avg_stress,0.8737340841511924
bedtime_int_log1p_resid,micom_107_log,-0.0008869322214792391,-0.5438413733213153,0.5866341837133008,1467.0,1467,0.08842015930062763,,bedtime_int_log1p_resid ~ micom_107_log + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(any_mental_health_self_anytime_before) + C(any_sleep_disorder_self_anytime_before) + C(mental_health_gut_sleep_q_vendor) + fitbit_dip_minus_reference_microbe_dip + activities_activityCalories_resid + activities_steps_resid + activities_floors_resid + avg_stress,0.8737340841511924
bedtime_int_log1p_resid,micom_108_log,-0.004988347899540666,-1.3469239612056625,0.17821475654218463,1469.0,1469,0.08939286768460675,,bedtime_int_log1p_resid ~ micom_108_log + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(any_mental_health_self_anytime_before) + C(any_sleep_disorder_self_anytime_before) + C(mental_health_gut_sleep_q_vendor) + fitbit_dip_minus_reference_microbe_dip + activities_activityCalories_resid + activities_steps_resid + activities_floors_resid + avg_stress,0.6491855828241455
bedtime_int_log1p_resid,micom_109_log,-0.0015343614238218035,-0.6051392722484193,0.5451809577810902,1469.0,1469,0.08848561608986538,,bedtime_int_log1p_resid ~ micom_109_log + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(any_mental_health_self_anytime_before) + C(any_sleep_disorder_self_anytime_before) + C(mental_health_gut_sleep_q_vendor) + fitbit_dip_minus_reference_microbe_dip + activities_activityCalories_resid + activities_steps_resid + activities_floors_resid + avg_stress,0.8737340841511924
