dependent_feature,independent_feature,beta,t_statistic,p,n_train,n_test,r2_train,r2_test,formula,q
bedtime_int_log1p_resid,observed_features,-2.2801568985063015e-05,-0.4357672289855298,0.6630703962759362,1469.0,1469,0.09000230784943508,,bedtime_int_log1p_resid ~ observed_features + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(any_mental_health_self_anytime_before) + C(any_sleep_disorder_self_anytime_before) + C(mental_health_gut_sleep_q_vendor) + C(microbiome_vendor) + fitbit_dip_minus_reference_microbe_dip + activities_activityCalories_resid + activities_steps_resid + activities_floors_resid + avg_stress,0.9300828281807942
bedtime_int_log1p_resid,shannon_index,0.0005258013677409347,0.2156939092713861,0.8292566433547913,1469.0,1469,0.08991245834877559,,bedtime_int_log1p_resid ~ shannon_index + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(any_mental_health_self_anytime_before) + C(any_sleep_disorder_self_anytime_before) + C(mental_health_gut_sleep_q_vendor) + C(microbiome_vendor) + fitbit_dip_minus_reference_microbe_dip + activities_activityCalories_resid + activities_steps_resid + activities_floors_resid + avg_stress,0.9300828281807942
bedtime_int_log1p_resid,berger_parker,-0.0007905638879926058,-0.08775585184309852,0.9300828281807942,1469.0,1469,0.08988812506047372,,bedtime_int_log1p_resid ~ berger_parker + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(any_mental_health_self_anytime_before) + C(any_sleep_disorder_self_anytime_before) + C(mental_health_gut_sleep_q_vendor) + C(microbiome_vendor) + fitbit_dip_minus_reference_microbe_dip + activities_activityCalories_resid + activities_steps_resid + activities_floors_resid + avg_stress,0.9300828281807942
bedtime_int_std_log1p_resid,observed_features,8.859357560994652e-05,0.40757622852833103,0.6836449021546505,1469.0,1469,0.03507597304889809,,bedtime_int_std_log1p_resid ~ observed_features + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(any_mental_health_self_anytime_before) + C(any_sleep_disorder_self_anytime_before) + C(mental_health_gut_sleep_q_vendor) + C(microbiome_vendor) + fitbit_dip_minus_reference_microbe_dip + activities_activityCalories_resid + activities_steps_resid + activities_floors_resid + avg_stress,0.6836449021546505
bedtime_int_std_log1p_resid,shannon_index,0.005144896885599033,0.5080948918820788,0.6114639745629702,1469.0,1469,0.03513712854831552,,bedtime_int_std_log1p_resid ~ shannon_index + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(any_mental_health_self_anytime_before) + C(any_sleep_disorder_self_anytime_before) + C(mental_health_gut_sleep_q_vendor) + C(microbiome_vendor) + fitbit_dip_minus_reference_microbe_dip + activities_activityCalories_resid + activities_steps_resid + activities_floors_resid + avg_stress,0.6836449021546505
bedtime_int_std_log1p_resid,berger_parker,-0.023085487232572345,-0.6169560967513761,0.5373604097432623,1469.0,1469,0.03521849221041273,,bedtime_int_std_log1p_resid ~ berger_parker + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(any_mental_health_self_anytime_before) + C(any_sleep_disorder_self_anytime_before) + C(mental_health_gut_sleep_q_vendor) + C(microbiome_vendor) + fitbit_dip_minus_reference_microbe_dip + activities_activityCalories_resid + activities_steps_resid + activities_floors_resid + avg_stress,0.6836449021546505
sleep_awakeDuration_log1p_resid,observed_features,-0.0024142409421703875,-3.198073573085265,0.0014328736712458118,898.0,898,0.08728812873820468,,sleep_awakeDuration_log1p_resid ~ observed_features + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(any_mental_health_self_anytime_before) + C(any_sleep_disorder_self_anytime_before) + C(mental_health_gut_sleep_q_vendor) + C(microbiome_vendor) + fitbit_dip_minus_reference_microbe_dip + activities_activityCalories_resid + activities_steps_resid + activities_floors_resid + avg_stress,0.0014328736712458118
sleep_awakeDuration_log1p_resid,shannon_index,-0.13366759518908,-3.7325381577808736,0.00020171936964103365,898.0,898,0.09106588767029178,,sleep_awakeDuration_log1p_resid ~ shannon_index + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(any_mental_health_self_anytime_before) + C(any_sleep_disorder_self_anytime_before) + C(mental_health_gut_sleep_q_vendor) + C(microbiome_vendor) + fitbit_dip_minus_reference_microbe_dip + activities_activityCalories_resid + activities_steps_resid + activities_floors_resid + avg_stress,0.000605158108923101
sleep_awakeDuration_log1p_resid,berger_parker,0.46490544484875185,3.4253747149134464,0.0006423217671573715,898.0,898,0.0888273384125926,,sleep_awakeDuration_log1p_resid ~ berger_parker + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(any_mental_health_self_anytime_before) + C(any_sleep_disorder_self_anytime_before) + C(mental_health_gut_sleep_q_vendor) + C(microbiome_vendor) + fitbit_dip_minus_reference_microbe_dip + activities_activityCalories_resid + activities_steps_resid + activities_floors_resid + avg_stress,0.0009634826507360574
sleep_awakeDuration_std_log1p_resid,observed_features,-0.001793206544747229,-2.736623581775451,0.006332277204722656,898.0,898,0.05514191497633958,,sleep_awakeDuration_std_log1p_resid ~ observed_features + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(any_mental_health_self_anytime_before) + C(any_sleep_disorder_self_anytime_before) + C(mental_health_gut_sleep_q_vendor) + C(microbiome_vendor) + fitbit_dip_minus_reference_microbe_dip + activities_activityCalories_resid + activities_steps_resid + activities_floors_resid + avg_stress,0.006332277204722656
sleep_awakeDuration_std_log1p_resid,shannon_index,-0.11102557314324643,-3.5749229566885985,0.0003693752204691415,898.0,898,0.060735250173449384,,sleep_awakeDuration_std_log1p_resid ~ shannon_index + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(any_mental_health_self_anytime_before) + C(any_sleep_disorder_self_anytime_before) + C(mental_health_gut_sleep_q_vendor) + C(microbiome_vendor) + fitbit_dip_minus_reference_microbe_dip + activities_activityCalories_resid + activities_steps_resid + activities_floors_resid + avg_stress,0.0005540628307037123
sleep_awakeDuration_std_log1p_resid,berger_parker,0.4392598007891339,3.739004294282078,0.00019668080255359866,898.0,898,0.06199471035949666,,sleep_awakeDuration_std_log1p_resid ~ berger_parker + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(any_mental_health_self_anytime_before) + C(any_sleep_disorder_self_anytime_before) + C(mental_health_gut_sleep_q_vendor) + C(microbiome_vendor) + fitbit_dip_minus_reference_microbe_dip + activities_activityCalories_resid + activities_steps_resid + activities_floors_resid + avg_stress,0.0005540628307037123
sleep_awakeningsCount_log1p_resid,observed_features,-0.0007234169508820347,-1.9285320190511879,0.05398373882513189,1469.0,1469,0.01967051443372092,,sleep_awakeningsCount_log1p_resid ~ observed_features + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(any_mental_health_self_anytime_before) + C(any_sleep_disorder_self_anytime_before) + C(mental_health_gut_sleep_q_vendor) + C(microbiome_vendor) + fitbit_dip_minus_reference_microbe_dip + activities_activityCalories_resid + activities_steps_resid + activities_floors_resid + avg_stress,0.056384743432517995
sleep_awakeningsCount_log1p_resid,shannon_index,-0.041653338992184465,-2.3852254854853334,0.017196286511815678,1469.0,1469,0.02099542823933298,,sleep_awakeningsCount_log1p_resid ~ shannon_index + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(any_mental_health_self_anytime_before) + C(any_sleep_disorder_self_anytime_before) + C(mental_health_gut_sleep_q_vendor) + C(microbiome_vendor) + fitbit_dip_minus_reference_microbe_dip + activities_activityCalories_resid + activities_steps_resid + activities_floors_resid + avg_stress,0.051588859535447035
sleep_awakeningsCount_log1p_resid,berger_parker,0.12331987255708,1.909575838916409,0.056384743432517995,1469.0,1469,0.019621515779413956,,sleep_awakeningsCount_log1p_resid ~ berger_parker + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(any_mental_health_self_anytime_before) + C(any_sleep_disorder_self_anytime_before) + C(mental_health_gut_sleep_q_vendor) + C(microbiome_vendor) + fitbit_dip_minus_reference_microbe_dip + activities_activityCalories_resid + activities_steps_resid + activities_floors_resid + avg_stress,0.056384743432517995
sleep_awakeningsCount_std_log1p_resid,observed_features,-0.0004478082312237406,-1.4194789221766297,0.15597407918760703,1469.0,1469,0.014259305334497707,,sleep_awakeningsCount_std_log1p_resid ~ observed_features + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(any_mental_health_self_anytime_before) + C(any_sleep_disorder_self_anytime_before) + C(mental_health_gut_sleep_q_vendor) + C(microbiome_vendor) + fitbit_dip_minus_reference_microbe_dip + activities_activityCalories_resid + activities_steps_resid + activities_floors_resid + avg_stress,0.15597407918760703
sleep_awakeningsCount_std_log1p_resid,shannon_index,-0.023278954606316588,-1.5842438232063443,0.11335600292901167,1469.0,1469,0.014594711136418526,,sleep_awakeningsCount_std_log1p_resid ~ shannon_index + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(any_mental_health_self_anytime_before) + C(any_sleep_disorder_self_anytime_before) + C(mental_health_gut_sleep_q_vendor) + C(microbiome_vendor) + fitbit_dip_minus_reference_microbe_dip + activities_activityCalories_resid + activities_steps_resid + activities_floors_resid + avg_stress,0.15597407918760703
