dependent_feature,independent_feature,formula,error,model_type
sleep_awakeDuration_log1p_resid,digestion_vomiting,"sleep_awakeDuration_log1p_resid ~ C(digestion_vomiting, Poly) + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(any_mental_health_self_anytime_before) + C(any_sleep_disorder_self_anytime_before) + C(mental_health_gut_sleep_q_vendor) + C(digestion_vendor) + fitbit_dip_minus_digestion_dip + activities_activityCalories_resid + activities_steps_resid + activities_floors_resid + avg_stress",Low level counts in INDEPENDENT variable ['(2) Regularly (daily or several times per week) or Occasionally (once a week or less) COLLAPSED'],linear
sleep_minutesAsleep_log1p_resid,digestion_vomiting,"sleep_minutesAsleep_log1p_resid ~ C(digestion_vomiting, Poly) + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(any_mental_health_self_anytime_before) + C(any_sleep_disorder_self_anytime_before) + C(mental_health_gut_sleep_q_vendor) + C(digestion_vendor) + fitbit_dip_minus_digestion_dip + activities_activityCalories_resid + activities_steps_resid + activities_floors_resid + avg_stress",Low level counts in INDEPENDENT variable ['(2) Regularly (daily or several times per week) or Occasionally (once a week or less) COLLAPSED'],linear
sleep_minutesAwake_log1p_resid,digestion_bowel_movements,"sleep_minutesAwake_log1p_resid ~ C(digestion_bowel_movements, Poly) + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(any_mental_health_self_anytime_before) + C(any_sleep_disorder_self_anytime_before) + C(mental_health_gut_sleep_q_vendor) + C(digestion_vendor) + fitbit_dip_minus_digestion_dip + activities_activityCalories_resid + activities_steps_resid + activities_floors_resid + avg_stress",Low level counts in INDEPENDENT variable ['(4) 4+ times daily'],linear
sleep_minutesAwake_log1p_resid,digestion_diarrhea,"sleep_minutesAwake_log1p_resid ~ C(digestion_diarrhea, Poly) + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(any_mental_health_self_anytime_before) + C(any_sleep_disorder_self_anytime_before) + C(mental_health_gut_sleep_q_vendor) + C(digestion_vendor) + fitbit_dip_minus_digestion_dip + activities_activityCalories_resid + activities_steps_resid + activities_floors_resid + avg_stress",Low level counts in INDEPENDENT variable ['(4) Daily'],linear
sleep_minutesAwake_log1p_resid,digestion_laxatives,"sleep_minutesAwake_log1p_resid ~ C(digestion_laxatives, Poly) + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(any_mental_health_self_anytime_before) + C(any_sleep_disorder_self_anytime_before) + C(mental_health_gut_sleep_q_vendor) + C(digestion_vendor) + fitbit_dip_minus_digestion_dip + activities_activityCalories_resid + activities_steps_resid + activities_floors_resid + avg_stress",Low level counts in INDEPENDENT variable ['(3) Daily or Several times per week COLLAPSED'],linear
sleep_minutesAwake_log1p_resid,digestion_medications,"sleep_minutesAwake_log1p_resid ~ C(digestion_medications, Poly) + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(any_mental_health_self_anytime_before) + C(any_sleep_disorder_self_anytime_before) + C(mental_health_gut_sleep_q_vendor) + C(digestion_vendor) + fitbit_dip_minus_digestion_dip + activities_activityCalories_resid + activities_steps_resid + activities_floors_resid + avg_stress",Low level counts in INDEPENDENT variable ['(3) Several times per week'],linear
sleep_minutesAwake_log1p_resid,digestion_vomiting,"sleep_minutesAwake_log1p_resid ~ C(digestion_vomiting, Poly) + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(any_mental_health_self_anytime_before) + C(any_sleep_disorder_self_anytime_before) + C(mental_health_gut_sleep_q_vendor) + C(digestion_vendor) + fitbit_dip_minus_digestion_dip + activities_activityCalories_resid + activities_steps_resid + activities_floors_resid + avg_stress",Low level counts in INDEPENDENT variable ['(2) Regularly (daily or several times per week) or Occasionally (once a week or less) COLLAPSED'],linear
sleep_restlessDuration_log1p_resid,digestion_vomiting,"sleep_restlessDuration_log1p_resid ~ C(digestion_vomiting, Poly) + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(any_mental_health_self_anytime_before) + C(any_sleep_disorder_self_anytime_before) + C(mental_health_gut_sleep_q_vendor) + C(digestion_vendor) + fitbit_dip_minus_digestion_dip + activities_activityCalories_resid + activities_steps_resid + activities_floors_resid + avg_stress",Low level counts in INDEPENDENT variable ['(2) Regularly (daily or several times per week) or Occasionally (once a week or less) COLLAPSED'],linear
sleep_timeInBed_log1p_resid,digestion_bowel_movements,"sleep_timeInBed_log1p_resid ~ C(digestion_bowel_movements, Poly) + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(any_mental_health_self_anytime_before) + C(any_sleep_disorder_self_anytime_before) + C(mental_health_gut_sleep_q_vendor) + C(digestion_vendor) + fitbit_dip_minus_digestion_dip + activities_activityCalories_resid + activities_steps_resid + activities_floors_resid + avg_stress",Low level counts in INDEPENDENT variable ['(4) 4+ times daily'],linear
sleep_timeInBed_log1p_resid,digestion_diarrhea,"sleep_timeInBed_log1p_resid ~ C(digestion_diarrhea, Poly) + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(any_mental_health_self_anytime_before) + C(any_sleep_disorder_self_anytime_before) + C(mental_health_gut_sleep_q_vendor) + C(digestion_vendor) + fitbit_dip_minus_digestion_dip + activities_activityCalories_resid + activities_steps_resid + activities_floors_resid + avg_stress",Low level counts in INDEPENDENT variable ['(4) Daily'],linear
sleep_timeInBed_log1p_resid,digestion_laxatives,"sleep_timeInBed_log1p_resid ~ C(digestion_laxatives, Poly) + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(any_mental_health_self_anytime_before) + C(any_sleep_disorder_self_anytime_before) + C(mental_health_gut_sleep_q_vendor) + C(digestion_vendor) + fitbit_dip_minus_digestion_dip + activities_activityCalories_resid + activities_steps_resid + activities_floors_resid + avg_stress",Low level counts in INDEPENDENT variable ['(3) Daily or Several times per week COLLAPSED'],linear
sleep_timeInBed_log1p_resid,digestion_medications,"sleep_timeInBed_log1p_resid ~ C(digestion_medications, Poly) + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(any_mental_health_self_anytime_before) + C(any_sleep_disorder_self_anytime_before) + C(mental_health_gut_sleep_q_vendor) + C(digestion_vendor) + fitbit_dip_minus_digestion_dip + activities_activityCalories_resid + activities_steps_resid + activities_floors_resid + avg_stress",Low level counts in INDEPENDENT variable ['(3) Several times per week'],linear
sleep_timeInBed_log1p_resid,digestion_vomiting,"sleep_timeInBed_log1p_resid ~ C(digestion_vomiting, Poly) + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(any_mental_health_self_anytime_before) + C(any_sleep_disorder_self_anytime_before) + C(mental_health_gut_sleep_q_vendor) + C(digestion_vendor) + fitbit_dip_minus_digestion_dip + activities_activityCalories_resid + activities_steps_resid + activities_floors_resid + avg_stress",Low level counts in INDEPENDENT variable ['(2) Regularly (daily or several times per week) or Occasionally (once a week or less) COLLAPSED'],linear
sleep_awakeDuration_std_log1p_resid,digestion_vomiting,"sleep_awakeDuration_std_log1p_resid ~ C(digestion_vomiting, Poly) + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(any_mental_health_self_anytime_before) + C(any_sleep_disorder_self_anytime_before) + C(mental_health_gut_sleep_q_vendor) + C(digestion_vendor) + fitbit_dip_minus_digestion_dip + activities_activityCalories_resid + activities_steps_resid + activities_floors_resid + avg_stress",Low level counts in INDEPENDENT variable ['(2) Regularly (daily or several times per week) or Occasionally (once a week or less) COLLAPSED'],linear
sleep_minutesAsleep_std_log1p_resid,digestion_vomiting,"sleep_minutesAsleep_std_log1p_resid ~ C(digestion_vomiting, Poly) + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(any_mental_health_self_anytime_before) + C(any_sleep_disorder_self_anytime_before) + C(mental_health_gut_sleep_q_vendor) + C(digestion_vendor) + fitbit_dip_minus_digestion_dip + activities_activityCalories_resid + activities_steps_resid + activities_floors_resid + avg_stress",Low level counts in INDEPENDENT variable ['(2) Regularly (daily or several times per week) or Occasionally (once a week or less) COLLAPSED'],linear
sleep_minutesAwake_std_log1p_resid,digestion_bowel_movements,"sleep_minutesAwake_std_log1p_resid ~ C(digestion_bowel_movements, Poly) + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(any_mental_health_self_anytime_before) + C(any_sleep_disorder_self_anytime_before) + C(mental_health_gut_sleep_q_vendor) + C(digestion_vendor) + fitbit_dip_minus_digestion_dip + activities_activityCalories_resid + activities_steps_resid + activities_floors_resid + avg_stress",Low level counts in INDEPENDENT variable ['(4) 4+ times daily'],linear
sleep_minutesAwake_std_log1p_resid,digestion_diarrhea,"sleep_minutesAwake_std_log1p_resid ~ C(digestion_diarrhea, Poly) + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(any_mental_health_self_anytime_before) + C(any_sleep_disorder_self_anytime_before) + C(mental_health_gut_sleep_q_vendor) + C(digestion_vendor) + fitbit_dip_minus_digestion_dip + activities_activityCalories_resid + activities_steps_resid + activities_floors_resid + avg_stress",Low level counts in INDEPENDENT variable ['(4) Daily'],linear
