dependent_feature,independent_feature,formula,error,model_type
sleep_awakeDuration_log1p_resid,Archaea_Euryarchaeota_Methanobacteria_Methanobacteriales_Methanobacteriaceae_nan,sleep_awakeDuration_log1p_resid ~ Archaea_Euryarchaeota_Methanobacteria_Methanobacteriales_Methanobacteriaceae_nan + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(any_mental_health_self_anytime_before) + C(any_sleep_disorder_self_anytime_before) + C(mental_health_gut_sleep_q_vendor) + C(microbiome_vendor) + fitbit_dip_minus_reference_microbe_dip + activities_activityCalories_resid + activities_steps_resid + activities_floors_resid + avg_stress,Independent variable has only one unique value,linear
sleep_awakeDuration_log1p_resid,Archaea_Euryarchaeota_Thermoplasmata_Methanomassiliicoccales_Methanomethylophilaceae_Candidatus_Methanomethylophilus,sleep_awakeDuration_log1p_resid ~ Archaea_Euryarchaeota_Thermoplasmata_Methanomassiliicoccales_Methanomethylophilaceae_Candidatus_Methanomethylophilus + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(any_mental_health_self_anytime_before) + C(any_sleep_disorder_self_anytime_before) + C(mental_health_gut_sleep_q_vendor) + C(microbiome_vendor) + fitbit_dip_minus_reference_microbe_dip + activities_activityCalories_resid + activities_steps_resid + activities_floors_resid + avg_stress,Independent variable has only one unique value,linear
sleep_awakeDuration_log1p_resid,Bacteria_Actinobacteria_Acidimicrobiia_Microtrichales_nan_nan,sleep_awakeDuration_log1p_resid ~ Bacteria_Actinobacteria_Acidimicrobiia_Microtrichales_nan_nan + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(any_mental_health_self_anytime_before) + C(any_sleep_disorder_self_anytime_before) + C(mental_health_gut_sleep_q_vendor) + C(microbiome_vendor) + fitbit_dip_minus_reference_microbe_dip + activities_activityCalories_resid + activities_steps_resid + activities_floors_resid + avg_stress,Independent variable has only one unique value,linear
sleep_awakeDuration_log1p_resid,Bacteria_Actinobacteria_Actinobacteria_Actinomycetales_Actinomycetaceae_Actinobaculum,sleep_awakeDuration_log1p_resid ~ Bacteria_Actinobacteria_Actinobacteria_Actinomycetales_Actinomycetaceae_Actinobaculum + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(any_mental_health_self_anytime_before) + C(any_sleep_disorder_self_anytime_before) + C(mental_health_gut_sleep_q_vendor) + C(microbiome_vendor) + fitbit_dip_minus_reference_microbe_dip + activities_activityCalories_resid + activities_steps_resid + activities_floors_resid + avg_stress,Independent variable has only one unique value,linear
sleep_awakeDuration_log1p_resid,Bacteria_Actinobacteria_Actinobacteria_Actinomycetales_Actinomycetaceae_Actinotignum,sleep_awakeDuration_log1p_resid ~ Bacteria_Actinobacteria_Actinobacteria_Actinomycetales_Actinomycetaceae_Actinotignum + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(any_mental_health_self_anytime_before) + C(any_sleep_disorder_self_anytime_before) + C(mental_health_gut_sleep_q_vendor) + C(microbiome_vendor) + fitbit_dip_minus_reference_microbe_dip + activities_activityCalories_resid + activities_steps_resid + activities_floors_resid + avg_stress,Independent variable has only one unique value,linear
sleep_awakeDuration_log1p_resid,Bacteria_Actinobacteria_Actinobacteria_Actinomycetales_Actinomycetaceae_Trueperella,sleep_awakeDuration_log1p_resid ~ Bacteria_Actinobacteria_Actinobacteria_Actinomycetales_Actinomycetaceae_Trueperella + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(any_mental_health_self_anytime_before) + C(any_sleep_disorder_self_anytime_before) + C(mental_health_gut_sleep_q_vendor) + C(microbiome_vendor) + fitbit_dip_minus_reference_microbe_dip + activities_activityCalories_resid + activities_steps_resid + activities_floors_resid + avg_stress,Independent variable has only one unique value,linear
sleep_awakeDuration_log1p_resid,Bacteria_Actinobacteria_Actinobacteria_Actinomycetales_Actinomycetaceae_nan,sleep_awakeDuration_log1p_resid ~ Bacteria_Actinobacteria_Actinobacteria_Actinomycetales_Actinomycetaceae_nan + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(any_mental_health_self_anytime_before) + C(any_sleep_disorder_self_anytime_before) + C(mental_health_gut_sleep_q_vendor) + C(microbiome_vendor) + fitbit_dip_minus_reference_microbe_dip + activities_activityCalories_resid + activities_steps_resid + activities_floors_resid + avg_stress,Independent variable has only one unique value,linear
sleep_awakeDuration_log1p_resid,Bacteria_Actinobacteria_Actinobacteria_Bifidobacteriales_Bifidobacteriaceae_Aeriscardovia,sleep_awakeDuration_log1p_resid ~ Bacteria_Actinobacteria_Actinobacteria_Bifidobacteriales_Bifidobacteriaceae_Aeriscardovia + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(any_mental_health_self_anytime_before) + C(any_sleep_disorder_self_anytime_before) + C(mental_health_gut_sleep_q_vendor) + C(microbiome_vendor) + fitbit_dip_minus_reference_microbe_dip + activities_activityCalories_resid + activities_steps_resid + activities_floors_resid + avg_stress,Independent variable has only one unique value,linear
sleep_awakeDuration_log1p_resid,Bacteria_Actinobacteria_Actinobacteria_Bifidobacteriales_Bifidobacteriaceae_Neoscardovia,sleep_awakeDuration_log1p_resid ~ Bacteria_Actinobacteria_Actinobacteria_Bifidobacteriales_Bifidobacteriaceae_Neoscardovia + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(any_mental_health_self_anytime_before) + C(any_sleep_disorder_self_anytime_before) + C(mental_health_gut_sleep_q_vendor) + C(microbiome_vendor) + fitbit_dip_minus_reference_microbe_dip + activities_activityCalories_resid + activities_steps_resid + activities_floors_resid + avg_stress,Independent variable has only one unique value,linear
sleep_awakeDuration_log1p_resid,Bacteria_Actinobacteria_Actinobacteria_Bifidobacteriales_Bifidobacteriaceae_Pseudoscardovia,sleep_awakeDuration_log1p_resid ~ Bacteria_Actinobacteria_Actinobacteria_Bifidobacteriales_Bifidobacteriaceae_Pseudoscardovia + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(any_mental_health_self_anytime_before) + C(any_sleep_disorder_self_anytime_before) + C(mental_health_gut_sleep_q_vendor) + C(microbiome_vendor) + fitbit_dip_minus_reference_microbe_dip + activities_activityCalories_resid + activities_steps_resid + activities_floors_resid + avg_stress,Independent variable has only one unique value,linear
sleep_awakeDuration_log1p_resid,Bacteria_Actinobacteria_Actinobacteria_Corynebacteriales_Mycobacteriaceae_Mycobacterium,sleep_awakeDuration_log1p_resid ~ Bacteria_Actinobacteria_Actinobacteria_Corynebacteriales_Mycobacteriaceae_Mycobacterium + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(any_mental_health_self_anytime_before) + C(any_sleep_disorder_self_anytime_before) + C(mental_health_gut_sleep_q_vendor) + C(microbiome_vendor) + fitbit_dip_minus_reference_microbe_dip + activities_activityCalories_resid + activities_steps_resid + activities_floors_resid + avg_stress,Independent variable has only one unique value,linear
sleep_awakeDuration_log1p_resid,Bacteria_Actinobacteria_Actinobacteria_Corynebacteriales_Nocardiaceae_Rhodococcus,sleep_awakeDuration_log1p_resid ~ Bacteria_Actinobacteria_Actinobacteria_Corynebacteriales_Nocardiaceae_Rhodococcus + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(any_mental_health_self_anytime_before) + C(any_sleep_disorder_self_anytime_before) + C(mental_health_gut_sleep_q_vendor) + C(microbiome_vendor) + fitbit_dip_minus_reference_microbe_dip + activities_activityCalories_resid + activities_steps_resid + activities_floors_resid + avg_stress,Independent variable has only one unique value,linear
sleep_awakeDuration_log1p_resid,Bacteria_Actinobacteria_Actinobacteria_Corynebacteriales_nan_nan,sleep_awakeDuration_log1p_resid ~ Bacteria_Actinobacteria_Actinobacteria_Corynebacteriales_nan_nan + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(any_mental_health_self_anytime_before) + C(any_sleep_disorder_self_anytime_before) + C(mental_health_gut_sleep_q_vendor) + C(microbiome_vendor) + fitbit_dip_minus_reference_microbe_dip + activities_activityCalories_resid + activities_steps_resid + activities_floors_resid + avg_stress,Independent variable has only one unique value,linear
sleep_awakeDuration_log1p_resid,Bacteria_Actinobacteria_Actinobacteria_Frankiales_Geodermatophilaceae_Modestobacter,sleep_awakeDuration_log1p_resid ~ Bacteria_Actinobacteria_Actinobacteria_Frankiales_Geodermatophilaceae_Modestobacter + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(any_mental_health_self_anytime_before) + C(any_sleep_disorder_self_anytime_before) + C(mental_health_gut_sleep_q_vendor) + C(microbiome_vendor) + fitbit_dip_minus_reference_microbe_dip + activities_activityCalories_resid + activities_steps_resid + activities_floors_resid + avg_stress,Independent variable has only one unique value,linear
sleep_awakeDuration_log1p_resid,Bacteria_Actinobacteria_Actinobacteria_Micrococcales_Beutenbergiaceae_Salana,sleep_awakeDuration_log1p_resid ~ Bacteria_Actinobacteria_Actinobacteria_Micrococcales_Beutenbergiaceae_Salana + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(any_mental_health_self_anytime_before) + C(any_sleep_disorder_self_anytime_before) + C(mental_health_gut_sleep_q_vendor) + C(microbiome_vendor) + fitbit_dip_minus_reference_microbe_dip + activities_activityCalories_resid + activities_steps_resid + activities_floors_resid + avg_stress,Independent variable has only one unique value,linear
sleep_awakeDuration_log1p_resid,Bacteria_Actinobacteria_Actinobacteria_Micrococcales_Bogoriellaceae_Georgenia,sleep_awakeDuration_log1p_resid ~ Bacteria_Actinobacteria_Actinobacteria_Micrococcales_Bogoriellaceae_Georgenia + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(any_mental_health_self_anytime_before) + C(any_sleep_disorder_self_anytime_before) + C(mental_health_gut_sleep_q_vendor) + C(microbiome_vendor) + fitbit_dip_minus_reference_microbe_dip + activities_activityCalories_resid + activities_steps_resid + activities_floors_resid + avg_stress,Independent variable has only one unique value,linear
sleep_awakeDuration_log1p_resid,Bacteria_Actinobacteria_Actinobacteria_Micrococcales_Brevibacteriaceae_Brevibacterium,sleep_awakeDuration_log1p_resid ~ Bacteria_Actinobacteria_Actinobacteria_Micrococcales_Brevibacteriaceae_Brevibacterium + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(any_mental_health_self_anytime_before) + C(any_sleep_disorder_self_anytime_before) + C(mental_health_gut_sleep_q_vendor) + C(microbiome_vendor) + fitbit_dip_minus_reference_microbe_dip + activities_activityCalories_resid + activities_steps_resid + activities_floors_resid + avg_stress,Independent variable has only one unique value,linear
sleep_awakeDuration_log1p_resid,Bacteria_Actinobacteria_Actinobacteria_Micrococcales_Cellulomonadaceae_Cellulomonas,sleep_awakeDuration_log1p_resid ~ Bacteria_Actinobacteria_Actinobacteria_Micrococcales_Cellulomonadaceae_Cellulomonas + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(any_mental_health_self_anytime_before) + C(any_sleep_disorder_self_anytime_before) + C(mental_health_gut_sleep_q_vendor) + C(microbiome_vendor) + fitbit_dip_minus_reference_microbe_dip + activities_activityCalories_resid + activities_steps_resid + activities_floors_resid + avg_stress,Independent variable has only one unique value,linear
sleep_awakeDuration_log1p_resid,Bacteria_Actinobacteria_Actinobacteria_Micrococcales_Dermabacteraceae_Brachybacterium,sleep_awakeDuration_log1p_resid ~ Bacteria_Actinobacteria_Actinobacteria_Micrococcales_Dermabacteraceae_Brachybacterium + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(any_mental_health_self_anytime_before) + C(any_sleep_disorder_self_anytime_before) + C(mental_health_gut_sleep_q_vendor) + C(microbiome_vendor) + fitbit_dip_minus_reference_microbe_dip + activities_activityCalories_resid + activities_steps_resid + activities_floors_resid + avg_stress,Independent variable has only one unique value,linear
sleep_awakeDuration_log1p_resid,Bacteria_Actinobacteria_Actinobacteria_Micrococcales_Dermabacteraceae_Dermabacter,sleep_awakeDuration_log1p_resid ~ Bacteria_Actinobacteria_Actinobacteria_Micrococcales_Dermabacteraceae_Dermabacter + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(any_mental_health_self_anytime_before) + C(any_sleep_disorder_self_anytime_before) + C(mental_health_gut_sleep_q_vendor) + C(microbiome_vendor) + fitbit_dip_minus_reference_microbe_dip + activities_activityCalories_resid + activities_steps_resid + activities_floors_resid + avg_stress,Independent variable has only one unique value,linear
sleep_awakeDuration_log1p_resid,Bacteria_Actinobacteria_Actinobacteria_Micrococcales_Microbacteriaceae_Amnibacterium,sleep_awakeDuration_log1p_resid ~ Bacteria_Actinobacteria_Actinobacteria_Micrococcales_Microbacteriaceae_Amnibacterium + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(any_mental_health_self_anytime_before) + C(any_sleep_disorder_self_anytime_before) + C(mental_health_gut_sleep_q_vendor) + C(microbiome_vendor) + fitbit_dip_minus_reference_microbe_dip + activities_activityCalories_resid + activities_steps_resid + activities_floors_resid + avg_stress,Independent variable has only one unique value,linear
