dependent_feature,independent_feature,beta,t_statistic,p,n_train,n_test,r2_train,r2_test,formula,q
bedtime_int_log1p_resid,diet_freq_alcohol_daily,0.0046584389792554024,1.3162785141974414,0.1897730416647647,193.0,193,0.1656680837005673,,bedtime_int_log1p_resid ~ diet_freq_alcohol_daily + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(any_mental_health_self_anytime_before) + C(any_sleep_disorder_self_anytime_before) + C(mental_health_gut_sleep_q_vendor) + fitbit_dip_minus_diet_dip + activities_activityCalories_resid + activities_steps_resid + activities_floors_resid + avg_stress,0.6626363714572489
bedtime_int_log1p_resid,diet_freq_water_daily,-0.001479468114368603,-0.9123051435677137,0.36284204606312975,193.0,193,0.16146783918931773,,bedtime_int_log1p_resid ~ diet_freq_water_daily + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(any_mental_health_self_anytime_before) + C(any_sleep_disorder_self_anytime_before) + C(mental_health_gut_sleep_q_vendor) + fitbit_dip_minus_diet_dip + activities_activityCalories_resid + activities_steps_resid + activities_floors_resid + avg_stress,0.6829967925894207
bedtime_int_log1p_resid,diet_freq_caffeinated_beverages_daily,-0.002047202912715709,-0.9417299807217364,0.3476072266422098,193.0,193,0.16172356426739376,,bedtime_int_log1p_resid ~ diet_freq_caffeinated_beverages_daily + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(any_mental_health_self_anytime_before) + C(any_sleep_disorder_self_anytime_before) + C(mental_health_gut_sleep_q_vendor) + fitbit_dip_minus_diet_dip + activities_activityCalories_resid + activities_steps_resid + activities_floors_resid + avg_stress,0.6829967925894207
bedtime_int_log1p_resid,diet_freq_breakfast_daily,-0.0034934870758750996,-1.1139016245747226,0.2668232435483017,193.0,193,0.163378790471288,,bedtime_int_log1p_resid ~ diet_freq_breakfast_daily + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(any_mental_health_self_anytime_before) + C(any_sleep_disorder_self_anytime_before) + C(mental_health_gut_sleep_q_vendor) + fitbit_dip_minus_diet_dip + activities_activityCalories_resid + activities_steps_resid + activities_floors_resid + avg_stress,0.6829967925894207
bedtime_int_log1p_resid,diet_freq_cruciferous_vegetables_daily,-0.005355341373679499,-1.27463244282992,0.204100779592853,193.0,193,0.16516689720841005,,bedtime_int_log1p_resid ~ diet_freq_cruciferous_vegetables_daily + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(any_mental_health_self_anytime_before) + C(any_sleep_disorder_self_anytime_before) + C(mental_health_gut_sleep_q_vendor) + fitbit_dip_minus_diet_dip + activities_activityCalories_resid + activities_steps_resid + activities_floors_resid + avg_stress,0.6626363714572489
bedtime_int_log1p_resid,diet_freq_snacking_daily,-9.948185475742141e-05,-0.04119510729466535,0.9671865248296132,193.0,193,0.15755502332834548,,bedtime_int_log1p_resid ~ diet_freq_snacking_daily + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(any_mental_health_self_anytime_before) + C(any_sleep_disorder_self_anytime_before) + C(mental_health_gut_sleep_q_vendor) + fitbit_dip_minus_diet_dip + activities_activityCalories_resid + activities_steps_resid + activities_floors_resid + avg_stress,0.9671865248296132
bedtime_int_log1p_resid,diet_freq_fresh_fruit_daily,0.0010203966831112325,0.38704621595237576,0.6991843437116201,193.0,193,0.1582554036555106,,bedtime_int_log1p_resid ~ diet_freq_fresh_fruit_daily + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(any_mental_health_self_anytime_before) + C(any_sleep_disorder_self_anytime_before) + C(mental_health_gut_sleep_q_vendor) + fitbit_dip_minus_diet_dip + activities_activityCalories_resid + activities_steps_resid + activities_floors_resid + avg_stress,0.9360895417339753
bedtime_int_log1p_resid,diet_freq_raw_vegetables_salad_daily,-0.0025618109471728283,-0.9663678452918149,0.33517127809402325,193.0,193,0.16194380538959507,,bedtime_int_log1p_resid ~ diet_freq_raw_vegetables_salad_daily + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(any_mental_health_self_anytime_before) + C(any_sleep_disorder_self_anytime_before) + C(mental_health_gut_sleep_q_vendor) + fitbit_dip_minus_diet_dip + activities_activityCalories_resid + activities_steps_resid + activities_floors_resid + avg_stress,0.6829967925894207
bedtime_int_log1p_resid,diet_freq_soft_drinks_daily,-0.0007180018725872919,-0.10385283229548925,0.9174030582105982,193.0,193,0.15759803451404175,,bedtime_int_log1p_resid ~ diet_freq_soft_drinks_daily + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(any_mental_health_self_anytime_before) + C(any_sleep_disorder_self_anytime_before) + C(mental_health_gut_sleep_q_vendor) + fitbit_dip_minus_diet_dip + activities_activityCalories_resid + activities_steps_resid + activities_floors_resid + avg_stress,0.9671865248296132
bedtime_int_log1p_resid,diet_freq_beans_legumes_daily,-0.0005215116951032479,-0.07601537636391885,0.9394922341101295,193.0,193,0.15757433883148775,,bedtime_int_log1p_resid ~ diet_freq_beans_legumes_daily + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(any_mental_health_self_anytime_before) + C(any_sleep_disorder_self_anytime_before) + C(mental_health_gut_sleep_q_vendor) + fitbit_dip_minus_diet_dip + activities_activityCalories_resid + activities_steps_resid + activities_floors_resid + avg_stress,0.9671865248296132
