dependent_feature,independent_feature,beta,t_statistic,p,n_train,n_test,r2_train,r2_test,formula,q
bedtime_int_log1p_resid,lifestyle_cruciferous_vegetables_enum_daily,-0.017061280439313424,-2.026695742374296,0.04418570317087908,193.0,193,0.1765488016449539,,bedtime_int_log1p_resid ~ lifestyle_cruciferous_vegetables_enum_daily + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(any_mental_health_self_anytime_before) + C(any_sleep_disorder_self_anytime_before) + C(mental_health_gut_sleep_q_vendor) + fitbit_dip_minus_diet_dip + activities_activityCalories_resid + activities_steps_resid + activities_floors_resid + avg_stress,0.530228438050549
bedtime_int_log1p_resid,lifestyle_snack_enum_daily,-0.0010775808685016207,-0.14329631399440904,0.8862182552406229,193.0,193,0.1576441645327218,,bedtime_int_log1p_resid ~ lifestyle_snack_enum_daily + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(any_mental_health_self_anytime_before) + C(any_sleep_disorder_self_anytime_before) + C(mental_health_gut_sleep_q_vendor) + fitbit_dip_minus_diet_dip + activities_activityCalories_resid + activities_steps_resid + activities_floors_resid + avg_stress,0.9468201411292205
bedtime_int_log1p_resid,lifestyle_fruits_enum_daily,0.0013531126821197809,0.5915604114205594,0.554908379531543,190.0,190,0.1575517356314543,,bedtime_int_log1p_resid ~ lifestyle_fruits_enum_daily + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(any_mental_health_self_anytime_before) + C(any_sleep_disorder_self_anytime_before) + C(mental_health_gut_sleep_q_vendor) + fitbit_dip_minus_diet_dip + activities_activityCalories_resid + activities_steps_resid + activities_floors_resid + avg_stress,0.7613197235249854
bedtime_int_log1p_resid,lifestyle_vegetables_enum_daily,-0.0017308936693877298,-0.892067429242335,0.3735679234358502,192.0,192,0.1612952874987551,,bedtime_int_log1p_resid ~ lifestyle_vegetables_enum_daily + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(any_mental_health_self_anytime_before) + C(any_sleep_disorder_self_anytime_before) + C(mental_health_gut_sleep_q_vendor) + fitbit_dip_minus_diet_dip + activities_activityCalories_resid + activities_steps_resid + activities_floors_resid + avg_stress,0.6540818383948803
bedtime_int_log1p_resid,lifestyle_sugary_drinks_enum_daily,0.00024382840822591355,0.0667946580199151,0.9468201411292205,193.0,193,0.1575681068783379,,bedtime_int_log1p_resid ~ lifestyle_sugary_drinks_enum_daily + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(any_mental_health_self_anytime_before) + C(any_sleep_disorder_self_anytime_before) + C(mental_health_gut_sleep_q_vendor) + fitbit_dip_minus_diet_dip + activities_activityCalories_resid + activities_steps_resid + activities_floors_resid + avg_stress,0.9468201411292205
bedtime_int_log1p_resid,lifestyle_water_enum_daily,-0.0005963358873550556,-0.5230131863716994,0.601615505732753,193.0,193,0.15883965080697893,,bedtime_int_log1p_resid ~ lifestyle_water_enum_daily + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(any_mental_health_self_anytime_before) + C(any_sleep_disorder_self_anytime_before) + C(mental_health_gut_sleep_q_vendor) + fitbit_dip_minus_diet_dip + activities_activityCalories_resid + activities_steps_resid + activities_floors_resid + avg_stress,0.7613197235249854
bedtime_int_log1p_resid,diet_cookies_cakes_scones_int_daily,0.003891352300730653,1.3438275749739481,0.18071458798705547,193.0,193,0.16600813210377274,,bedtime_int_log1p_resid ~ diet_cookies_cakes_scones_int_daily + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(any_mental_health_self_anytime_before) + C(any_sleep_disorder_self_anytime_before) + C(mental_health_gut_sleep_q_vendor) + fitbit_dip_minus_diet_dip + activities_activityCalories_resid + activities_steps_resid + activities_floors_resid + avg_stress,0.5471191980681033
bedtime_int_log1p_resid,lifestyle_alcohol_drinks_a_day_enum_daily,0.003230812627633516,1.4104000922937148,0.16019657290841996,190.0,190,0.16277100005793033,,bedtime_int_log1p_resid ~ lifestyle_alcohol_drinks_a_day_enum_daily + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(any_mental_health_self_anytime_before) + C(any_sleep_disorder_self_anytime_before) + C(mental_health_gut_sleep_q_vendor) + fitbit_dip_minus_diet_dip + activities_activityCalories_resid + activities_steps_resid + activities_floors_resid + avg_stress,0.5471191980681033
bedtime_int_log1p_resid,diet_slices_of_bread_int_daily,0.002122335541276257,0.8772233837425568,0.3815477390636802,193.0,193,0.16117336567125962,,bedtime_int_log1p_resid ~ diet_slices_of_bread_int_daily + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(any_mental_health_self_anytime_before) + C(any_sleep_disorder_self_anytime_before) + C(mental_health_gut_sleep_q_vendor) + fitbit_dip_minus_diet_dip + activities_activityCalories_resid + activities_steps_resid + activities_floors_resid + avg_stress,0.6540818383948803
bedtime_int_log1p_resid,lifestyle_grains_enum_daily,0.0011227653072585471,0.476330507563131,0.6344331029374879,190.0,190,0.15435060181354054,,bedtime_int_log1p_resid ~ lifestyle_grains_enum_daily + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(any_mental_health_self_anytime_before) + C(any_sleep_disorder_self_anytime_before) + C(mental_health_gut_sleep_q_vendor) + fitbit_dip_minus_diet_dip + activities_activityCalories_resid + activities_steps_resid + activities_floors_resid + avg_stress,0.7613197235249854
