dependent_feature,independent_feature,beta,t_statistic,p,n_train,n_test,r2_train,r2_test,formula,q
bedtime_int_log1p_resid,micom_0_log,-0.0006419665332325,-0.3827936726134102,0.7019288196958824,1468.0,1468,0.0899489554973169,,bedtime_int_log1p_resid ~ micom_0_log + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(any_mental_health_self_anytime_before) + C(any_sleep_disorder_self_anytime_before) + C(mental_health_gut_sleep_q_vendor) + C(microbiome_vendor) + fitbit_dip_minus_reference_microbe_dip + activities_activityCalories_resid + activities_steps_resid + activities_floors_resid + avg_stress,0.9207453323501602
bedtime_int_log1p_resid,micom_1_log,0.0004074587799899,0.3210261787857498,0.7482367512643037,1469.0,1469,0.0899478902960606,,bedtime_int_log1p_resid ~ micom_1_log + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(any_mental_health_self_anytime_before) + C(any_sleep_disorder_self_anytime_before) + C(mental_health_gut_sleep_q_vendor) + C(microbiome_vendor) + fitbit_dip_minus_reference_microbe_dip + activities_activityCalories_resid + activities_steps_resid + activities_floors_resid + avg_stress,0.92307726689692
bedtime_int_log1p_resid,micom_100_log,-0.0019155791984073,-0.9855197931209592,0.3245330022292437,1469.0,1469,0.0904916721952574,,bedtime_int_log1p_resid ~ micom_100_log + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(any_mental_health_self_anytime_before) + C(any_sleep_disorder_self_anytime_before) + C(mental_health_gut_sleep_q_vendor) + C(microbiome_vendor) + fitbit_dip_minus_reference_microbe_dip + activities_activityCalories_resid + activities_steps_resid + activities_floors_resid + avg_stress,0.7918613953953102
bedtime_int_log1p_resid,micom_101_log,-0.0024284419300712,-2.387901337847894,0.0170721818683677,1468.0,1468,0.0936140161160248,,bedtime_int_log1p_resid ~ micom_101_log + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(any_mental_health_self_anytime_before) + C(any_sleep_disorder_self_anytime_before) + C(mental_health_gut_sleep_q_vendor) + C(microbiome_vendor) + fitbit_dip_minus_reference_microbe_dip + activities_activityCalories_resid + activities_steps_resid + activities_floors_resid + avg_stress,0.5719180925903179
bedtime_int_log1p_resid,micom_102_log,-0.0025318510949194,-0.8596111686430364,0.3901453137348805,1469.0,1469,0.0903462261956772,,bedtime_int_log1p_resid ~ micom_102_log + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(any_mental_health_self_anytime_before) + C(any_sleep_disorder_self_anytime_before) + C(mental_health_gut_sleep_q_vendor) + C(microbiome_vendor) + fitbit_dip_minus_reference_microbe_dip + activities_activityCalories_resid + activities_steps_resid + activities_floors_resid + avg_stress,0.8149766705281271
bedtime_int_log1p_resid,micom_103_log,-0.0008454608266373,-0.3143591034497541,0.753314748689313,1004.0,1004,0.0903725175567284,,bedtime_int_log1p_resid ~ micom_103_log + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(any_mental_health_self_anytime_before) + C(any_sleep_disorder_self_anytime_before) + C(mental_health_gut_sleep_q_vendor) + C(microbiome_vendor) + fitbit_dip_minus_reference_microbe_dip + activities_activityCalories_resid + activities_steps_resid + activities_floors_resid + avg_stress,0.92307726689692
bedtime_int_log1p_resid,micom_104_log,-0.0009483012116041,-0.389970657038073,0.6966423826246809,1004.0,1004,0.0904215906812114,,bedtime_int_log1p_resid ~ micom_104_log + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(any_mental_health_self_anytime_before) + C(any_sleep_disorder_self_anytime_before) + C(mental_health_gut_sleep_q_vendor) + C(microbiome_vendor) + fitbit_dip_minus_reference_microbe_dip + activities_activityCalories_resid + activities_steps_resid + activities_floors_resid + avg_stress,0.9207453323501602
bedtime_int_log1p_resid,micom_105_log,-0.0012262943552572,-0.9413654846232824,0.3466751569541882,1460.0,1460,0.090270173972231,,bedtime_int_log1p_resid ~ micom_105_log + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(any_mental_health_self_anytime_before) + C(any_sleep_disorder_self_anytime_before) + C(mental_health_gut_sleep_q_vendor) + C(microbiome_vendor) + fitbit_dip_minus_reference_microbe_dip + activities_activityCalories_resid + activities_steps_resid + activities_floors_resid + avg_stress,0.7918613953953102
bedtime_int_log1p_resid,micom_106_log,-0.0007359122419583,-0.6134912811870485,0.5396485713241024,1455.0,1455,0.0881217374782085,,bedtime_int_log1p_resid ~ micom_106_log + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(any_mental_health_self_anytime_before) + C(any_sleep_disorder_self_anytime_before) + C(mental_health_gut_sleep_q_vendor) + C(microbiome_vendor) + fitbit_dip_minus_reference_microbe_dip + activities_activityCalories_resid + activities_steps_resid + activities_floors_resid + avg_stress,0.8503100446559458
bedtime_int_log1p_resid,micom_107_log,-0.0009543960834625,-0.5853364849535205,0.5584125666397256,1467.0,1467,0.0900482690152906,,bedtime_int_log1p_resid ~ micom_107_log + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(any_mental_health_self_anytime_before) + C(any_sleep_disorder_self_anytime_before) + C(mental_health_gut_sleep_q_vendor) + C(microbiome_vendor) + fitbit_dip_minus_reference_microbe_dip + activities_activityCalories_resid + activities_steps_resid + activities_floors_resid + avg_stress,0.8503100446559458
