dependent_feature,independent_feature,beta,t_statistic,p,n_train,n_test,r2_train,r2_test,formula,q
bedtime_int_log1p_resid,CVD2_O00182,0.010642334253449622,2.3608518824498956,0.01845629228986752,872.0,872,0.09866913538572275,,bedtime_int_log1p_resid ~ CVD2_O00182 + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(any_mental_health_self_anytime_before) + C(any_sleep_disorder_self_anytime_before) + C(mental_health_gut_sleep_q_vendor) + fitbit_dip_minus_proteomics_dip + activities_activityCalories_resid + activities_steps_resid + activities_floors_resid + avg_stress,0.5550653847783662
bedtime_int_log1p_resid,CVD2_O00220,-0.0005919286281691246,-0.1328822789645059,0.8943177122671405,872.0,872,0.09281906709514076,,bedtime_int_log1p_resid ~ CVD2_O00220 + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(any_mental_health_self_anytime_before) + C(any_sleep_disorder_self_anytime_before) + C(mental_health_gut_sleep_q_vendor) + fitbit_dip_minus_proteomics_dip + activities_activityCalories_resid + activities_steps_resid + activities_floors_resid + avg_stress,0.9767570361687685
bedtime_int_log1p_resid,CVD2_O00253,-0.0024108229335552444,-0.7628268038619057,0.44577685387769805,872.0,872,0.09341664468418331,,bedtime_int_log1p_resid ~ CVD2_O00253 + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(any_mental_health_self_anytime_before) + C(any_sleep_disorder_self_anytime_before) + C(mental_health_gut_sleep_q_vendor) + fitbit_dip_minus_proteomics_dip + activities_activityCalories_resid + activities_steps_resid + activities_floors_resid + avg_stress,0.9767570361687685
bedtime_int_log1p_resid,CVD2_O14763,0.005303599086310581,1.9213815577972715,0.055015408970335335,872.0,872,0.09669607035828198,,bedtime_int_log1p_resid ~ CVD2_O14763 + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(any_mental_health_self_anytime_before) + C(any_sleep_disorder_self_anytime_before) + C(mental_health_gut_sleep_q_vendor) + fitbit_dip_minus_proteomics_dip + activities_activityCalories_resid + activities_steps_resid + activities_floors_resid + avg_stress,0.6181646533873533
bedtime_int_log1p_resid,CVD2_O14836,-0.0016867370783584619,-0.4944546030668662,0.6211120284843754,872.0,872,0.09305938831959837,,bedtime_int_log1p_resid ~ CVD2_O14836 + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(any_mental_health_self_anytime_before) + C(any_sleep_disorder_self_anytime_before) + C(mental_health_gut_sleep_q_vendor) + fitbit_dip_minus_proteomics_dip + activities_activityCalories_resid + activities_steps_resid + activities_floors_resid + avg_stress,0.9767570361687685
bedtime_int_log1p_resid,CVD2_O43915,0.00047147060751017615,0.14133010212933192,0.8876424230320029,872.0,872,0.09282152204083427,,bedtime_int_log1p_resid ~ CVD2_O43915 + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(any_mental_health_self_anytime_before) + C(any_sleep_disorder_self_anytime_before) + C(mental_health_gut_sleep_q_vendor) + fitbit_dip_minus_proteomics_dip + activities_activityCalories_resid + activities_steps_resid + activities_floors_resid + avg_stress,0.9767570361687685
bedtime_int_log1p_resid,CVD2_O94907,-0.0001959425591430999,-0.08943652059048274,0.9287559214224478,872.0,872,0.09280883087394631,,bedtime_int_log1p_resid ~ CVD2_O94907 + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(any_mental_health_self_anytime_before) + C(any_sleep_disorder_self_anytime_before) + C(mental_health_gut_sleep_q_vendor) + fitbit_dip_minus_proteomics_dip + activities_activityCalories_resid + activities_steps_resid + activities_floors_resid + avg_stress,0.9867983246051583
bedtime_int_log1p_resid,CVD2_P00797,0.002081602622050982,1.1282748572645955,0.25951998209545224,872.0,872,0.09414749615013474,,bedtime_int_log1p_resid ~ CVD2_P00797 + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(any_mental_health_self_anytime_before) + C(any_sleep_disorder_self_anytime_before) + C(mental_health_gut_sleep_q_vendor) + fitbit_dip_minus_proteomics_dip + activities_activityCalories_resid + activities_steps_resid + activities_floors_resid + avg_stress,0.9683209907060804
bedtime_int_log1p_resid,CVD2_P01127,0.0002978580305142114,0.1582946885060047,0.8742619282369164,872.0,872,0.09282690879653499,,bedtime_int_log1p_resid ~ CVD2_P01127 + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(any_mental_health_self_anytime_before) + C(any_sleep_disorder_self_anytime_before) + C(mental_health_gut_sleep_q_vendor) + fitbit_dip_minus_proteomics_dip + activities_activityCalories_resid + activities_steps_resid + activities_floors_resid + avg_stress,0.9767570361687685
bedtime_int_log1p_resid,CVD2_P01241,9.259844800890666e-05,0.12721482162870765,0.8988002517817468,872.0,872,0.09281750489846707,,bedtime_int_log1p_resid ~ CVD2_P01241 + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(any_mental_health_self_anytime_before) + C(any_sleep_disorder_self_anytime_before) + C(mental_health_gut_sleep_q_vendor) + fitbit_dip_minus_proteomics_dip + activities_activityCalories_resid + activities_steps_resid + activities_floors_resid + avg_stress,0.9767570361687685
