dependent_feature,independent_feature,beta,t_statistic,p,n_train,n_test,r2_train,r2_test,formula,q
bedtime_int_log1p_resid,a_g_ratio_log1p,-0.0077879091655394285,-0.5888629779652167,0.5560701612030443,1147.0,1147,0.06486970404953751,,bedtime_int_log1p_resid ~ a_g_ratio_log1p + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(clinical_vendor) + fitbit_dip_minus_clinical_dip,0.8261613823588086
bedtime_int_log1p_resid,adiponectin_serum_log1p,-0.004202867224330311,-1.5921475060258001,0.11164070971563332,1103.0,1103,0.06590247097358348,,bedtime_int_log1p_resid ~ adiponectin_serum_log1p + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(clinical_vendor) + fitbit_dip_minus_clinical_dip,0.4793161558848996
bedtime_int_log1p_resid,alat_sgpt_log1p,-0.00017028881713963123,-0.05868285445027939,0.9532150276169069,1147.0,1147,0.06458734331575011,,bedtime_int_log1p_resid ~ alat_sgpt_log1p + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(clinical_vendor) + fitbit_dip_minus_clinical_dip,0.9815283452688942
bedtime_int_log1p_resid,albumin_log1p,-0.012750457985500663,-0.4930045165794992,0.6221045929880876,1147.0,1147,0.06478442872895096,,bedtime_int_log1p_resid ~ albumin_log1p + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(clinical_vendor) + fitbit_dip_minus_clinical_dip,0.8578922549271232
bedtime_int_log1p_resid,alkaline_phosphatase_log1p,0.0008371996249247626,0.19676233790441583,0.8440486892138187,1147.0,1147,0.06461636047389052,,bedtime_int_log1p_resid ~ alkaline_phosphatase_log1p + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(clinical_vendor) + fitbit_dip_minus_clinical_dip,0.9049594193632695
bedtime_int_log1p_resid,antioxid_cap_total_log1p,-0.014782292361611472,-1.2464871596877127,0.2141447586663461,196.0,196,0.0903102436954244,,bedtime_int_log1p_resid ~ antioxid_cap_total_log1p + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(clinical_vendor) + fitbit_dip_minus_clinical_dip,0.6019204027378376
bedtime_int_log1p_resid,arachidonic_acid_log1p,-0.009161041504322221,-1.3068709423578617,0.19152433034460042,1132.0,1132,0.06595538241618959,,bedtime_int_log1p_resid ~ arachidonic_acid_log1p + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(clinical_vendor) + fitbit_dip_minus_clinical_dip,0.6019204027378376
bedtime_int_log1p_resid,arsenic_blood_log1p,-0.016073682832152783,-1.6247809370324702,0.10589350589081688,196.0,196,0.09552058892133619,,bedtime_int_log1p_resid ~ arsenic_blood_log1p + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(clinical_vendor) + fitbit_dip_minus_clinical_dip,0.4793161558848996
bedtime_int_log1p_resid,asat_sgot_log1p,-0.001674315483192776,-0.39193763530931114,0.695177743283434,1147.0,1147,0.0647108730278555,,bedtime_int_log1p_resid ~ asat_sgot_log1p + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(clinical_vendor) + fitbit_dip_minus_clinical_dip,0.8721218442008134
bedtime_int_log1p_resid,basophils_log1p,-0.00995438404926813,-2.762759375395902,0.0058255872106266855,1127.0,1127,0.07079519170852111,,bedtime_int_log1p_resid ~ basophils_log1p + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(clinical_vendor) + fitbit_dip_minus_clinical_dip,0.15146526747629382
bedtime_int_log1p_resid,basophils_absolute_log1p,-0.029789398977089022,-0.7410781530369656,0.45880181806685993,1127.0,1127,0.06490537967637577,,bedtime_int_log1p_resid ~ basophils_absolute_log1p + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(clinical_vendor) + fitbit_dip_minus_clinical_dip,0.7953285137396503
bedtime_int_log1p_resid,bilirubin_direct_log1p,0.010599932121391112,0.20997142966389956,0.8339185635061601,196.0,196,0.08296809193719334,,bedtime_int_log1p_resid ~ bilirubin_direct_log1p + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(clinical_vendor) + fitbit_dip_minus_clinical_dip,0.9049594193632695
bedtime_int_log1p_resid,bilirubin_indirect_log1p,-0.006359147943083988,-0.29469614606230127,0.7685529040373881,196.0,196,0.08317767525956121,,bedtime_int_log1p_resid ~ bilirubin_indirect_log1p + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(clinical_vendor) + fitbit_dip_minus_clinical_dip,0.9021902875038142
bedtime_int_log1p_resid,bilirubin_total_log1p,0.0033164039011273653,0.4397230294280148,0.6602212862606384,1147.0,1147,0.06474355836018819,,bedtime_int_log1p_resid ~ bilirubin_total_log1p + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(clinical_vendor) + fitbit_dip_minus_clinical_dip,0.8602267819351841
bedtime_int_log1p_resid,bun_creat_ratio_log1p,0.002988055519029427,0.6014348749554258,0.5476702665375652,1147.0,1147,0.06488200758662555,,bedtime_int_log1p_resid ~ bun_creat_ratio_log1p + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(clinical_vendor) + fitbit_dip_minus_clinical_dip,0.8254740249261853
