dependent_feature,independent_feature,beta,t_statistic,p,n_train,n_test,r2_train,r2_test,formula,q
bedtime_int_log1p_resid,observed_features,-5.819004978955969e-05,-1.106025748460908,0.26889758633995364,1469.0,1469,0.05199618324223498,,bedtime_int_log1p_resid ~ observed_features + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + fitbit_dip_minus_reference_microbe_dip,0.8066927590198609
bedtime_int_log1p_resid,shannon_index,-0.0001308779589564094,-0.05355849318270998,0.9572942538830175,1469.0,1469,0.051203741627227406,,bedtime_int_log1p_resid ~ shannon_index + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + fitbit_dip_minus_reference_microbe_dip,0.9755721988109467
bedtime_int_log1p_resid,berger_parker,-0.0002726666321312797,-0.030625741539674685,0.9755721988109467,1469.0,1469,0.05120248702294827,,bedtime_int_log1p_resid ~ berger_parker + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + fitbit_dip_minus_reference_microbe_dip,0.9755721988109467
bedtime_int_std_log1p_resid,observed_features,1.8062611843267526e-05,0.08406222243167458,0.9330184847199193,1469.0,1469,0.028396973433088002,,bedtime_int_std_log1p_resid ~ observed_features + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + fitbit_dip_minus_reference_microbe_dip,0.9330184847199193
bedtime_int_std_log1p_resid,shannon_index,0.0032231973729012616,0.3231085580578741,0.7466592983382672,1469.0,1469,0.028461741904089788,,bedtime_int_std_log1p_resid ~ shannon_index + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + fitbit_dip_minus_reference_microbe_dip,0.9330184847199193
bedtime_int_std_log1p_resid,berger_parker,-0.0187566196454755,-0.5160993207983048,0.6058631927446048,1469.0,1469,0.028569496028514885,,bedtime_int_std_log1p_resid ~ berger_parker + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + fitbit_dip_minus_reference_microbe_dip,0.9330184847199193
sleep_awakeDuration_log1p_resid,observed_features,-0.0020494689710399395,-2.7480685636159983,0.006116146870875896,898.0,898,0.07070866857797509,,sleep_awakeDuration_log1p_resid ~ observed_features + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + fitbit_dip_minus_reference_microbe_dip,0.006116146870875896
sleep_awakeDuration_log1p_resid,shannon_index,-0.13887819346532002,-3.968398584184816,7.818992879775184e-05,898.0,898,0.07912731663938988,,sleep_awakeDuration_log1p_resid ~ shannon_index + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + fitbit_dip_minus_reference_microbe_dip,0.0002345697863932555
sleep_awakeDuration_log1p_resid,berger_parker,0.4907943982725408,3.785751020001847,0.00016353156351032086,898.0,898,0.07768353904235026,,sleep_awakeDuration_log1p_resid ~ berger_parker + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + fitbit_dip_minus_reference_microbe_dip,0.0002452973452654813
sleep_awakeDuration_std_log1p_resid,observed_features,-0.0015041303860328472,-2.3156332023269726,0.020805088488878732,898.0,898,0.03140447834339133,,sleep_awakeDuration_std_log1p_resid ~ observed_features + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + fitbit_dip_minus_reference_microbe_dip,0.020805088488878732
