dependent_feature,independent_feature,beta,t_statistic,p,n_train,n_test,r2_train,r2_test,formula,q
bedtime_int_log1p_resid,micom_0_log,-0.0009772815684376197,-0.5839324799819869,0.5593560042637664,1468.0,1468,0.05116409197574123,,bedtime_int_log1p_resid ~ micom_0_log + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + fitbit_dip_minus_reference_microbe_dip,0.861876882082144
bedtime_int_log1p_resid,micom_1_log,0.00042459953864514455,0.33585021988796027,0.7370320738035221,1469.0,1469,0.051275173226144166,,bedtime_int_log1p_resid ~ micom_1_log + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + fitbit_dip_minus_reference_microbe_dip,0.9172983938599847
bedtime_int_log1p_resid,micom_10_log,0.02398705613185448,1.5838665281609872,0.11344428471769223,1445.0,1445,0.051987868748964106,,bedtime_int_log1p_resid ~ micom_10_log + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + fitbit_dip_minus_reference_microbe_dip,0.6827609331219571
bedtime_int_log1p_resid,micom_100_log,-0.0016400434934417945,-0.8552124520020591,0.39257386106838765,1469.0,1469,0.051676940800225446,,bedtime_int_log1p_resid ~ micom_100_log + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + fitbit_dip_minus_reference_microbe_dip,0.8120890655434294
bedtime_int_log1p_resid,micom_101_log,-0.002589797402219711,-2.5568638272368056,0.010662511885200645,1468.0,1468,0.0554017839678026,,bedtime_int_log1p_resid ~ micom_101_log + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + fitbit_dip_minus_reference_microbe_dip,0.6827609331219571
bedtime_int_log1p_resid,micom_102_log,-0.0010724391996006272,-0.3594548001058258,0.7193068668844398,1469.0,1469,0.05128583723810254,,bedtime_int_log1p_resid ~ micom_102_log + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + fitbit_dip_minus_reference_microbe_dip,0.9128030812546961
bedtime_int_log1p_resid,micom_103_log,-0.00046355341400239965,-0.1711547088790694,0.8641369181316864,1004.0,1004,0.056203698782124945,,bedtime_int_log1p_resid ~ micom_103_log + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + fitbit_dip_minus_reference_microbe_dip,0.9596467880304517
bedtime_int_log1p_resid,micom_104_log,-0.0005933552679899549,-0.24193865113892793,0.8088775542904489,1004.0,1004,0.056231432787991587,,bedtime_int_log1p_resid ~ micom_104_log + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + fitbit_dip_minus_reference_microbe_dip,0.9517990110815806
bedtime_int_log1p_resid,micom_105_log,-0.0014456358482406765,-1.1110455631571137,0.26673280604419003,1460.0,1460,0.05227853623532208,,bedtime_int_log1p_resid ~ micom_105_log + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + fitbit_dip_minus_reference_microbe_dip,0.7795431574725323
bedtime_int_log1p_resid,micom_106_log,-0.0006418932313920979,-0.5270160643701335,0.5982632718100557,1455.0,1455,0.05096309772203811,,bedtime_int_log1p_resid ~ micom_106_log + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + fitbit_dip_minus_reference_microbe_dip,0.861876882082144
