dependent_feature,independent_feature,beta,t_statistic,p,n_train,n_test,r2_train,r2_test,formula,q
bedtime_int_log1p_resid,diet_freq_alcohol_daily,0.00519327160906876,1.4592152670172456,0.14621092280623618,193.0,193,0.11511583662592484,,bedtime_int_log1p_resid ~ diet_freq_alcohol_daily + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + fitbit_dip_minus_diet_dip,0.7531781549473834
bedtime_int_log1p_resid,diet_freq_water_daily,-0.0011297173059781637,-0.7058191865892819,0.48119325625612963,193.0,193,0.10729267139442544,,bedtime_int_log1p_resid ~ diet_freq_water_daily + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + fitbit_dip_minus_diet_dip,0.8635989070650768
bedtime_int_log1p_resid,diet_freq_caffeinated_beverages_daily,-0.001623532307077429,-0.7407285277987185,0.45980227170308396,193.0,193,0.1075369427690358,,bedtime_int_log1p_resid ~ diet_freq_caffeinated_beverages_daily + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + fitbit_dip_minus_diet_dip,0.8635989070650768
bedtime_int_log1p_resid,diet_freq_breakfast_daily,-0.002625886072310708,-0.8664696742833957,0.3873611097340395,193.0,193,0.1085131698370756,,bedtime_int_log1p_resid ~ diet_freq_breakfast_daily + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + fitbit_dip_minus_diet_dip,0.8635989070650768
bedtime_int_log1p_resid,diet_freq_cruciferous_vegetables_daily,-0.005433206453696522,-1.2827995886570462,0.20117585060861076,193.0,193,0.11281010474987141,,bedtime_int_log1p_resid ~ diet_freq_cruciferous_vegetables_daily + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + fitbit_dip_minus_diet_dip,0.7531781549473834
bedtime_int_log1p_resid,diet_freq_snacking_daily,-0.0006820316674548936,-0.2886638090410143,0.7731636006256195,193.0,193,0.10528084800107029,,bedtime_int_log1p_resid ~ diet_freq_snacking_daily + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + fitbit_dip_minus_diet_dip,0.8635989070650768
bedtime_int_log1p_resid,diet_freq_fresh_fruit_daily,0.0008300818829419089,0.3129204829440774,0.7546954669914614,193.0,193,0.10535176748905317,,bedtime_int_log1p_resid ~ diet_freq_fresh_fruit_daily + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + fitbit_dip_minus_diet_dip,0.8635989070650768
bedtime_int_log1p_resid,diet_freq_raw_vegetables_salad_daily,-0.0020844407535893575,-0.784791929084163,0.4335848256053535,193.0,193,0.10786189326438511,,bedtime_int_log1p_resid ~ diet_freq_raw_vegetables_salad_daily + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + fitbit_dip_minus_diet_dip,0.8635989070650768
bedtime_int_log1p_resid,diet_freq_soft_drinks_daily,-0.0023263943428989534,-0.3401656290346962,0.7341198195806827,193.0,193,0.10543822864636743,,bedtime_int_log1p_resid ~ diet_freq_soft_drinks_daily + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + fitbit_dip_minus_diet_dip,0.8635989070650768
bedtime_int_log1p_resid,diet_freq_beans_legumes_daily,-0.0029371387430683783,-0.43251826949925,0.6658712717204075,193.0,193,0.10578480774668697,,bedtime_int_log1p_resid ~ diet_freq_beans_legumes_daily + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + fitbit_dip_minus_diet_dip,0.8635989070650768
