dependent_feature,independent_feature,beta,t_statistic,p,n_train,n_test,r2_train,r2_test,formula,q
bedtime_int_log1p_resid,digestion_abdominal_pain,0.0015084203486885805,0.3134978099942765,0.7539641034501013,1072.0,1072,0.057528524583638,,"bedtime_int_log1p_resid ~ C(digestion_abdominal_pain, Poly) + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(digestion_vendor) + fitbit_dip_minus_digestion_dip",0.8933239164424541
bedtime_int_log1p_resid,digestion_acid_reflux,0.0020773045131188763,0.4998527315165597,0.6172646244101859,1293.0,1293,0.057238591583317455,,"bedtime_int_log1p_resid ~ C(digestion_acid_reflux, Poly) + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(digestion_vendor) + fitbit_dip_minus_digestion_dip",0.8933239164424541
bedtime_int_log1p_resid,digestion_bloating,0.0007722583748031201,0.2601279013678466,0.7948069201301078,1293.0,1293,0.05653840216749706,,"bedtime_int_log1p_resid ~ C(digestion_bloating, Poly) + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(digestion_vendor) + fitbit_dip_minus_digestion_dip",0.8933239164424541
bedtime_int_log1p_resid,digestion_bowel_movement_completion,-0.007158905605301771,-1.8071322670333174,0.07102456101855903,1072.0,1072,0.059430214344649124,,"bedtime_int_log1p_resid ~ C(digestion_bowel_movement_completion, Poly) + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(digestion_vendor) + fitbit_dip_minus_digestion_dip",0.2840982440742361
bedtime_int_log1p_resid,digestion_bowel_movement_ease,0.0039923796505869,0.8795746383483046,0.37928876201283646,1072.0,1072,0.057474697770362515,,"bedtime_int_log1p_resid ~ C(digestion_bowel_movement_ease, Poly) + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(digestion_vendor) + fitbit_dip_minus_digestion_dip",0.6361537018410826
bedtime_int_log1p_resid,digestion_bowel_movements,0.008094545062905968,1.0777536816931241,0.2813886662040764,1072.0,1072,0.058606145372026686,,"bedtime_int_log1p_resid ~ C(digestion_bowel_movements, Poly) + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(digestion_vendor) + fitbit_dip_minus_digestion_dip",0.5627773324081528
bedtime_int_log1p_resid,digestion_diarrhea,0.008005440096936732,1.3913091676839273,0.16437326831899213,1293.0,1293,0.057520885885723017,,"bedtime_int_log1p_resid ~ C(digestion_diarrhea, Poly) + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(digestion_vendor) + fitbit_dip_minus_digestion_dip",0.5259944586207748
bedtime_int_log1p_resid,digestion_gas,-0.0005942412274036637,-0.20515398349299127,0.8374911716648007,1072.0,1072,0.059325306443261616,,"bedtime_int_log1p_resid ~ C(digestion_gas, Poly) + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(digestion_vendor) + fitbit_dip_minus_digestion_dip",0.8933239164424541
bedtime_int_log1p_resid,digestion_high_appetite,-0.003056581510957859,-1.1371677959423865,0.25572465392056737,1072.0,1072,0.0577782922153377,,"bedtime_int_log1p_resid ~ C(digestion_high_appetite, Poly) + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(digestion_vendor) + fitbit_dip_minus_digestion_dip",0.5627773324081528
bedtime_int_log1p_resid,digestion_laxatives,-0.00523939466240588,-0.8462641141966134,0.39759606365067657,1072.0,1072,0.05756400949303753,,"bedtime_int_log1p_resid ~ C(digestion_laxatives, Poly) + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(digestion_vendor) + fitbit_dip_minus_digestion_dip",0.6361537018410826
