dependent_feature,independent_feature,beta,t_statistic,p,n_train,n_test,r2_train,r2_test,formula,q
bedtime_int_log1p_resid,observed_features,-5.4677891073796854e-05,-1.038925020329526,0.29901174917520046,1469.0,1469,0.05387651298276741,,bedtime_int_log1p_resid ~ observed_features + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(microbiome_vendor) + fitbit_dip_minus_reference_microbe_dip,0.6222228390785045
bedtime_int_log1p_resid,shannon_index,-0.0012130185027804754,-0.49280739673713575,0.6222228390785045,1469.0,1469,0.05333415087174187,,bedtime_int_log1p_resid ~ shannon_index + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(microbiome_vendor) + fitbit_dip_minus_reference_microbe_dip,0.6222228390785045
bedtime_int_log1p_resid,berger_parker,0.004660694700953368,0.5110369032345504,0.6094025361386827,1469.0,1469,0.05334602235423436,,bedtime_int_log1p_resid ~ berger_parker + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(microbiome_vendor) + fitbit_dip_minus_reference_microbe_dip,0.6222228390785045
bedtime_int_std_log1p_resid,observed_features,1.6613595898697077e-05,0.07721624481704607,0.9384621059823489,1469.0,1469,0.02839655231656879,,bedtime_int_std_log1p_resid ~ observed_features + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(microbiome_vendor) + fitbit_dip_minus_reference_microbe_dip,0.9384621059823489
bedtime_int_std_log1p_resid,shannon_index,0.0029627535431905527,0.2945197129225209,0.7684026999988778,1469.0,1469,0.028450343260535527,,bedtime_int_std_log1p_resid ~ shannon_index + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(microbiome_vendor) + fitbit_dip_minus_reference_microbe_dip,0.9384621059823489
bedtime_int_std_log1p_resid,berger_parker,-0.018644010296646894,-0.5002321475478579,0.6169870650935254,1469.0,1469,0.028559192983727666,,bedtime_int_std_log1p_resid ~ berger_parker + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(microbiome_vendor) + fitbit_dip_minus_reference_microbe_dip,0.9384621059823489
sleep_awakeDuration_log1p_resid,observed_features,-0.002054230355936224,-2.7575750861622867,0.005942728590380929,898.0,898,0.07323137043698069,,sleep_awakeDuration_log1p_resid ~ observed_features + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(microbiome_vendor) + fitbit_dip_minus_reference_microbe_dip,0.005942728590380929
sleep_awakeDuration_log1p_resid,shannon_index,-0.13203114596645762,-3.7132011512706997,0.00021741819304444052,898.0,898,0.07958630828956348,,sleep_awakeDuration_log1p_resid ~ shannon_index + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(microbiome_vendor) + fitbit_dip_minus_reference_microbe_dip,0.0006522545791333216
sleep_awakeDuration_log1p_resid,berger_parker,0.4699137148988438,3.481123607144127,0.0005236478279830889,898.0,898,0.07787902073136699,,sleep_awakeDuration_log1p_resid ~ berger_parker + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(microbiome_vendor) + fitbit_dip_minus_reference_microbe_dip,0.0007854717419746334
sleep_awakeDuration_std_log1p_resid,observed_features,-0.0015165692357472361,-2.344317956008303,0.019281454046071275,898.0,898,0.03970229120609836,,sleep_awakeDuration_std_log1p_resid ~ observed_features + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(microbiome_vendor) + fitbit_dip_minus_reference_microbe_dip,0.019281454046071275
sleep_awakeDuration_std_log1p_resid,shannon_index,-0.11257353849870001,-3.6490730199683017,0.00027854047282474753,898.0,898,0.048033932061587015,,sleep_awakeDuration_std_log1p_resid ~ shannon_index + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(microbiome_vendor) + fitbit_dip_minus_reference_microbe_dip,0.0004178107092371213
sleep_awakeDuration_std_log1p_resid,berger_parker,0.45014610831807256,3.8503008100720297,0.00012643722805118815,898.0,898,0.04962515467135198,,sleep_awakeDuration_std_log1p_resid ~ berger_parker + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(microbiome_vendor) + fitbit_dip_minus_reference_microbe_dip,0.00037931168415356444
sleep_awakeningsCount_log1p_resid,observed_features,-0.0007197224775392862,-1.943802312254476,0.052111337561489404,1469.0,1469,0.018371592631900135,,sleep_awakeningsCount_log1p_resid ~ observed_features + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(microbiome_vendor) + fitbit_dip_minus_reference_microbe_dip,0.055631685196422795
sleep_awakeningsCount_log1p_resid,shannon_index,-0.04110881959339807,-2.3760788778528017,0.017626192021424902,1469.0,1469,0.01962314209115379,,sleep_awakeningsCount_log1p_resid ~ shannon_index + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(microbiome_vendor) + fitbit_dip_minus_reference_microbe_dip,0.05287857606427471
sleep_awakeningsCount_log1p_resid,berger_parker,0.1228703079419052,1.9154402233300338,0.055631685196422795,1469.0,1469,0.0182981342471632,,sleep_awakeningsCount_log1p_resid ~ berger_parker + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(microbiome_vendor) + fitbit_dip_minus_reference_microbe_dip,0.055631685196422795
sleep_awakeningsCount_std_log1p_resid,observed_features,-0.0004992080285097072,-1.601806258267893,0.1094149287649833,1469.0,1469,0.011327734732174632,,sleep_awakeningsCount_std_log1p_resid ~ observed_features + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(microbiome_vendor) + fitbit_dip_minus_reference_microbe_dip,0.11876253129079267
sleep_awakeningsCount_std_log1p_resid,shannon_index,-0.025994733190597193,-1.7842978941547893,0.07458302141303062,1469.0,1469,0.011745559022376395,,sleep_awakeningsCount_std_log1p_resid ~ shannon_index + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(microbiome_vendor) + fitbit_dip_minus_reference_microbe_dip,0.11876253129079267
sleep_awakeningsCount_std_log1p_resid,berger_parker,0.08427853613535663,1.5609071394424512,0.11876253129079267,1469.0,1469,0.011240227043824103,,sleep_awakeningsCount_std_log1p_resid ~ berger_parker + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(microbiome_vendor) + fitbit_dip_minus_reference_microbe_dip,0.11876253129079267
sleep_efficiency_log1p_resid,observed_features,0.00012520003770642645,1.1568412810721098,0.24752658265885102,1469.0,1469,0.004433287208645886,,sleep_efficiency_log1p_resid ~ observed_features + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(microbiome_vendor) + fitbit_dip_minus_reference_microbe_dip,0.46887674240961863
sleep_efficiency_log1p_resid,shannon_index,0.00509636845796084,1.0070330291806406,0.31408588263060055,1469.0,1469,0.00421224201304804,,sleep_efficiency_log1p_resid ~ shannon_index + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + C(microbiome_vendor) + fitbit_dip_minus_reference_microbe_dip,0.46887674240961863
