dependent_feature,independent_feature,formula,error,model_type
sleep_minutesAwake_log1p_resid,diet_freq_alcohol_daily,sleep_minutesAwake_log1p_resid ~ diet_freq_alcohol_daily + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + fitbit_dip_minus_diet_dip,Independent variable has only one unique value,linear
sleep_minutesAwake_log1p_resid,diet_freq_water_daily,sleep_minutesAwake_log1p_resid ~ diet_freq_water_daily + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + fitbit_dip_minus_diet_dip,Independent variable has only one unique value,linear
sleep_minutesAwake_log1p_resid,diet_freq_caffeinated_beverages_daily,sleep_minutesAwake_log1p_resid ~ diet_freq_caffeinated_beverages_daily + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + fitbit_dip_minus_diet_dip,Independent variable has only one unique value,linear
sleep_minutesAwake_log1p_resid,diet_freq_breakfast_daily,sleep_minutesAwake_log1p_resid ~ diet_freq_breakfast_daily + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + fitbit_dip_minus_diet_dip,Independent variable has only one unique value,linear
sleep_minutesAwake_log1p_resid,diet_freq_cruciferous_vegetables_daily,sleep_minutesAwake_log1p_resid ~ diet_freq_cruciferous_vegetables_daily + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + fitbit_dip_minus_diet_dip,Independent variable has only one unique value,linear
sleep_minutesAwake_log1p_resid,diet_freq_snacking_daily,sleep_minutesAwake_log1p_resid ~ diet_freq_snacking_daily + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + fitbit_dip_minus_diet_dip,Independent variable has only one unique value,linear
sleep_minutesAwake_log1p_resid,diet_freq_fresh_fruit_daily,sleep_minutesAwake_log1p_resid ~ diet_freq_fresh_fruit_daily + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + fitbit_dip_minus_diet_dip,Independent variable has only one unique value,linear
sleep_minutesAwake_log1p_resid,diet_freq_raw_vegetables_salad_daily,sleep_minutesAwake_log1p_resid ~ diet_freq_raw_vegetables_salad_daily + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + fitbit_dip_minus_diet_dip,Independent variable has only one unique value,linear
sleep_minutesAwake_log1p_resid,diet_freq_soft_drinks_daily,sleep_minutesAwake_log1p_resid ~ diet_freq_soft_drinks_daily + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + fitbit_dip_minus_diet_dip,Independent variable has only one unique value,linear
sleep_minutesAwake_log1p_resid,diet_freq_beans_legumes_daily,sleep_minutesAwake_log1p_resid ~ diet_freq_beans_legumes_daily + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + fitbit_dip_minus_diet_dip,Independent variable has only one unique value,linear
sleep_minutesAwake_log1p_resid,diet_freq_breakfast_cereal_daily,sleep_minutesAwake_log1p_resid ~ diet_freq_breakfast_cereal_daily + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + fitbit_dip_minus_diet_dip,Independent variable has only one unique value,linear
sleep_minutesAwake_log1p_resid,diet_freq_cheese_daily,sleep_minutesAwake_log1p_resid ~ diet_freq_cheese_daily + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + fitbit_dip_minus_diet_dip,Independent variable has only one unique value,linear
sleep_minutesAwake_log1p_resid,diet_freq_cook_home_daily,sleep_minutesAwake_log1p_resid ~ diet_freq_cook_home_daily + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + fitbit_dip_minus_diet_dip,Independent variable has only one unique value,linear
sleep_minutesAwake_log1p_resid,diet_freq_cooked_green_vegetables_daily,sleep_minutesAwake_log1p_resid ~ diet_freq_cooked_green_vegetables_daily + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + fitbit_dip_minus_diet_dip,Independent variable has only one unique value,linear
sleep_minutesAwake_log1p_resid,diet_freq_cooked_root_vegetables_daily,sleep_minutesAwake_log1p_resid ~ diet_freq_cooked_root_vegetables_daily + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + fitbit_dip_minus_diet_dip,Independent variable has only one unique value,linear
