dependent_feature,independent_feature,formula,error,model_type
sleep_awakeDuration_log1p_resid,metabolite_100001317_log,sleep_awakeDuration_log1p_resid ~ metabolite_100001317_log + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + fitbit_dip_minus_metabolite_dip,Independent variable has only one unique value,linear
sleep_awakeDuration_log1p_resid,metabolite_100001538_log,sleep_awakeDuration_log1p_resid ~ metabolite_100001538_log + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + fitbit_dip_minus_metabolite_dip,Independent variable has only one unique value,linear
sleep_awakeDuration_log1p_resid,metabolite_100002394_log,sleep_awakeDuration_log1p_resid ~ metabolite_100002394_log + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + fitbit_dip_minus_metabolite_dip,Independent variable has only one unique value,linear
sleep_awakeDuration_log1p_resid,metabolite_100002719_log,sleep_awakeDuration_log1p_resid ~ metabolite_100002719_log + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + fitbit_dip_minus_metabolite_dip,Independent variable has only one unique value,linear
sleep_awakeDuration_log1p_resid,metabolite_100002726_log,sleep_awakeDuration_log1p_resid ~ metabolite_100002726_log + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + fitbit_dip_minus_metabolite_dip,Independent variable has only one unique value,linear
sleep_awakeDuration_log1p_resid,metabolite_100002804_log,sleep_awakeDuration_log1p_resid ~ metabolite_100002804_log + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + fitbit_dip_minus_metabolite_dip,Independent variable has only one unique value,linear
sleep_awakeDuration_log1p_resid,metabolite_100003442_log,sleep_awakeDuration_log1p_resid ~ metabolite_100003442_log + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + fitbit_dip_minus_metabolite_dip,Independent variable has only one unique value,linear
sleep_awakeDuration_log1p_resid,metabolite_100004015_log,sleep_awakeDuration_log1p_resid ~ metabolite_100004015_log + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + fitbit_dip_minus_metabolite_dip,Independent variable has only one unique value,linear
sleep_awakeDuration_log1p_resid,metabolite_100004177_log,sleep_awakeDuration_log1p_resid ~ metabolite_100004177_log + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + fitbit_dip_minus_metabolite_dip,Independent variable has only one unique value,linear
sleep_awakeDuration_log1p_resid,metabolite_100006381_log,sleep_awakeDuration_log1p_resid ~ metabolite_100006381_log + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + fitbit_dip_minus_metabolite_dip,Independent variable has only one unique value,linear
