dependent_feature,independent_feature,beta,t_statistic,p,n_train,n_test,r2_train,r2_test,formula,q
bedtime_int_log1p_resid,CVD2_O00182,0.011379170506672608,2.5087828464667474,0.012297109085601393,872.0,872,0.06882575690954817,,bedtime_int_log1p_resid ~ CVD2_O00182 + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + fitbit_dip_minus_proteomics_dip,0.4911271831948875
bedtime_int_log1p_resid,CVD2_O00220,0.00014490854309498436,0.0322780702013734,0.9742577609877978,872.0,872,0.06203569270305764,,bedtime_int_log1p_resid ~ CVD2_O00220 + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + fitbit_dip_minus_proteomics_dip,0.9975706411518624
bedtime_int_log1p_resid,CVD2_O00253,-0.002021526809307451,-0.6336210706235497,0.5264960330965058,872.0,872,0.06247070771117569,,bedtime_int_log1p_resid ~ CVD2_O00253 + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + fitbit_dip_minus_proteomics_dip,0.9185053521102489
bedtime_int_log1p_resid,CVD2_O14763,0.005096322154160754,1.8306265790451322,0.0675010011404828,872.0,872,0.06566277007489951,,bedtime_int_log1p_resid ~ CVD2_O14763 + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + fitbit_dip_minus_proteomics_dip,0.6789031733481486
bedtime_int_log1p_resid,CVD2_O14836,-0.0013358473687575317,-0.3896219643416504,0.6969122374654024,872.0,872,0.06219952331591683,,bedtime_int_log1p_resid ~ CVD2_O14836 + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + fitbit_dip_minus_proteomics_dip,0.9421270299132243
bedtime_int_log1p_resid,CVD2_O43915,3.723530641473044e-05,0.01104188461804457,0.9911925817370153,872.0,872,0.06203469284128993,,bedtime_int_log1p_resid ~ CVD2_O43915 + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + fitbit_dip_minus_proteomics_dip,0.9975706411518624
bedtime_int_log1p_resid,CVD2_O94907,-0.0015620466282424555,-0.7206628074645782,0.4713121588145903,872.0,872,0.06259869004526497,,bedtime_int_log1p_resid ~ CVD2_O94907 + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + fitbit_dip_minus_proteomics_dip,0.9145448323935139
bedtime_int_log1p_resid,CVD2_P00797,0.0017443998386614682,0.940211054458758,0.3473723980744633,872.0,872,0.06299436335098119,,bedtime_int_log1p_resid ~ CVD2_P00797 + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + fitbit_dip_minus_proteomics_dip,0.885376947504975
bedtime_int_log1p_resid,CVD2_P01127,4.661459115901459e-05,0.024520965284191062,0.980442729443612,872.0,872,0.0620352138350313,,bedtime_int_log1p_resid ~ CVD2_P01127 + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + fitbit_dip_minus_proteomics_dip,0.9975706411518624
bedtime_int_log1p_resid,CVD2_P01241,0.00010434355862902825,0.1438952085218808,0.8856168129212785,872.0,872,0.06205706425287971,,bedtime_int_log1p_resid ~ CVD2_P01241 + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + fitbit_dip_minus_proteomics_dip,0.9906517616864846
bedtime_int_log1p_resid,CVD2_P01730,-0.002261932975397401,-0.5951404740131813,0.551905592939616,872.0,872,0.06241936187254005,,bedtime_int_log1p_resid ~ CVD2_P01730 + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + fitbit_dip_minus_proteomics_dip,0.9185053521102489
bedtime_int_log1p_resid,CVD2_P01833,0.004990915326825188,0.5612838712602929,0.5747497478215156,872.0,872,0.06237684121935816,,bedtime_int_log1p_resid ~ CVD2_P01833 + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + fitbit_dip_minus_proteomics_dip,0.929341931090441
bedtime_int_log1p_resid,CVD2_P02760,-0.0019827812930168927,-0.27418786621589464,0.7840058678378484,872.0,872,0.06211626270060766,,bedtime_int_log1p_resid ~ CVD2_P02760 + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + fitbit_dip_minus_proteomics_dip,0.9421270299132243
bedtime_int_log1p_resid,CVD2_P04179,-0.0017094287178415536,-0.3357619405612659,0.7371320027162904,872.0,872,0.062157073346671754,,bedtime_int_log1p_resid ~ CVD2_P04179 + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + fitbit_dip_minus_proteomics_dip,0.9421270299132243
bedtime_int_log1p_resid,CVD2_P04792,0.007690178931805227,1.8749032505816965,0.06114356208033865,872.0,872,0.06583968021122288,,bedtime_int_log1p_resid ~ CVD2_P04792 + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + fitbit_dip_minus_proteomics_dip,0.6789031733481486
bedtime_int_log1p_resid,CVD2_P05231,0.0035021785102706164,1.7277432010472151,0.08439202390701575,872.0,872,0.06526777695713337,,bedtime_int_log1p_resid ~ CVD2_P05231 + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + fitbit_dip_minus_proteomics_dip,0.6938962804782206
bedtime_int_log1p_resid,CVD2_P06858,-0.0070963059733566355,-2.381645674371545,0.017451355133248244,872.0,872,0.06815926562257413,,bedtime_int_log1p_resid ~ CVD2_P06858 + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + fitbit_dip_minus_proteomics_dip,0.4911271831948875
bedtime_int_log1p_resid,CVD2_P07204,0.0020672035338612704,0.5158482001368023,0.6060925637546355,872.0,872,0.06232368555583301,,bedtime_int_log1p_resid ~ CVD2_P07204 + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + fitbit_dip_minus_proteomics_dip,0.929341931090441
bedtime_int_log1p_resid,CVD2_P07585,0.0044162096885441956,0.981947847910487,0.3264007400183391,872.0,872,0.0630813704749087,,bedtime_int_log1p_resid ~ CVD2_P07585 + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + fitbit_dip_minus_proteomics_dip,0.885376947504975
bedtime_int_log1p_resid,CVD2_P07711,0.001970030997255525,0.7247492041140534,0.46880234973196455,872.0,872,0.06260510188543711,,bedtime_int_log1p_resid ~ CVD2_P07711 + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + fitbit_dip_minus_proteomics_dip,0.9145448323935139
bedtime_int_log1p_resid,CVD2_P09237,0.0031470498991341797,1.5803868976831006,0.11438471027471622,872.0,872,0.06474130816310242,,bedtime_int_log1p_resid ~ CVD2_P09237 + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + fitbit_dip_minus_proteomics_dip,0.7525228470871043
bedtime_int_log1p_resid,CVD2_P09341,0.000984227451801446,0.6107101906126252,0.5415522594436353,872.0,872,0.06243975033230775,,bedtime_int_log1p_resid ~ CVD2_P09341 + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + fitbit_dip_minus_proteomics_dip,0.9185053521102489
bedtime_int_log1p_resid,CVD2_P09601,-0.006781699092136408,-2.110723354293545,0.03508322190253005,872.0,872,0.06685184638635544,,bedtime_int_log1p_resid ~ CVD2_P09601 + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + fitbit_dip_minus_proteomics_dip,0.537942735838794
bedtime_int_log1p_resid,CVD2_P09874,-0.0006986761639523197,-0.32099490324037866,0.7482919701686146,872.0,872,0.062146535170813255,,bedtime_int_log1p_resid ~ CVD2_P09874 + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + fitbit_dip_minus_proteomics_dip,0.9421270299132243
bedtime_int_log1p_resid,CVD2_P10147,0.003853596465045754,1.8032135122184623,0.0717033823702357,872.0,872,0.06555532585627566,,bedtime_int_log1p_resid ~ CVD2_P10147 + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + fitbit_dip_minus_proteomics_dip,0.6824183977305192
bedtime_int_log1p_resid,CVD2_P12104,0.0018776756364685169,1.0019912964420878,0.31662865594084305,872.0,872,0.06312449128585385,,bedtime_int_log1p_resid ~ CVD2_P12104 + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + fitbit_dip_minus_proteomics_dip,0.885376947504975
bedtime_int_log1p_resid,CVD2_P12931,0.0009556688941130922,0.4104326991706051,0.6815904393378203,872.0,872,0.06221761262441061,,bedtime_int_log1p_resid ~ CVD2_P12931 + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + fitbit_dip_minus_proteomics_dip,0.9421270299132243
bedtime_int_log1p_resid,CVD2_P13726,-0.0014490993248439856,-0.3893069869850026,0.6971451113901044,872.0,872,0.062199256752486054,,bedtime_int_log1p_resid ~ CVD2_P13726 + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + fitbit_dip_minus_proteomics_dip,0.9421270299132243
bedtime_int_log1p_resid,CVD2_P16860,0.00021366256639915326,0.07650203867647856,0.9390374234794041,872.0,872,0.062040921235081314,,bedtime_int_log1p_resid ~ CVD2_P16860 + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + fitbit_dip_minus_proteomics_dip,0.9975706411518624
bedtime_int_log1p_resid,CVD2_P18510,0.004855746647372337,2.275293157987257,0.023132802107005572,872.0,872,0.06762766957989308,,bedtime_int_log1p_resid ~ CVD2_P18510 + age + BMI_CALC + PC1 + PC2 + PC3 + C(sex) + fitbit_dip_minus_proteomics_dip,0.4911271831948875
