feature_set,sleep_feature,cv_id,n_train,n_test,n_features_total,n_features_dropped_this_fold,train_missing_rate,test_missing_rate
supplement_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,0,673,225,5,0,0.0,0.0
supplement_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,1,673,225,5,0,0.0,0.0
supplement_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,2,674,224,5,0,0.0,0.0
supplement_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,3,674,224,5,0,0.0,0.0
supplement_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,4,673,225,5,0,0.0,0.0
supplement_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,5,673,225,5,0,0.0,0.0
supplement_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,6,674,224,5,0,0.0,0.0
supplement_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,7,674,224,5,0,0.0,0.0
supplement_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,8,673,225,5,0,0.0,0.0
supplement_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,9,673,225,5,0,0.0,0.0
supplement_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,10,674,224,5,0,0.0,0.0
supplement_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,11,674,224,5,0,0.0,0.0
supplement_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,12,673,225,5,0,0.0,0.0
supplement_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,13,673,225,5,0,0.0,0.0
supplement_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,14,674,224,5,0,0.0,0.0
supplement_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,15,674,224,5,0,0.0,0.0
supplement_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,16,673,225,5,0,0.0,0.0
supplement_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,17,673,225,5,0,0.0,0.0
supplement_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,18,674,224,5,0,0.0,0.0
supplement_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,19,674,224,5,0,0.0,0.0
supplement_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,20,673,225,5,0,0.0,0.0
supplement_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,21,673,225,5,0,0.0,0.0
