feature_set,sleep_feature,cv_id,n_test,r2
CLR_microbe_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,0,225,-0.03029389649443215
CLR_microbe_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,1,225,0.029804106862338475
CLR_microbe_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,2,224,-0.002514905030593262
CLR_microbe_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,3,224,-0.015681168465392137
CLR_microbe_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,4,225,0.002155272439087974
CLR_microbe_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,5,225,0.0018365056650707645
CLR_microbe_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,6,224,-0.01791714920389209
CLR_microbe_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,7,224,0.009754676201403356
CLR_microbe_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,8,225,-0.006166867771385753
CLR_microbe_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,9,225,-0.030778308562092294
CLR_microbe_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,10,224,0.0006277976408678443
CLR_microbe_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,11,224,-0.008931300977855106
CLR_microbe_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,12,225,0.021881000435731712
CLR_microbe_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,13,225,-0.015621623096556903
CLR_microbe_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,14,224,0.010129196496154957
CLR_microbe_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,15,224,0.004406797264035922
CLR_microbe_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,16,225,0.0038147604055908113
CLR_microbe_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,17,225,0.022067893044564357
CLR_microbe_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,18,224,0.02597850357624132
CLR_microbe_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,19,224,-0.02342989832777964
CLR_microbe_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,20,225,0.018657397630516437
