sleep_feature,n_folds,n_repeats,r2_mean,r2_std,r2_ci_lower,r2_ci_upper,n_features_dropped_any_fold,n_total_drop_events,dropped_columns_any_fold
sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,4,10,-0.004595592301188484,0.02063049478212238,-0.051750157160341675,0.029940314656511365,0,0,
sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,4,10,-0.03458986491679224,0.01576539230573062,-0.06582262195139538,-0.00850000610821405,0,0,
sleep_efficiency_log1p_resid_rf_vendor_only_resid,4,10,-0.15832800505089786,0.08752466347757006,-0.32940968221506234,-0.010835354881642266,0,0,
sleep_minutesAfterWakeup_log1p_resid_rf_vendor_only_resid,4,10,-0.07031533121305204,0.027469746971801615,-0.12346838473392466,-0.010671157653634146,0,0,
sleep_minutesAsleep_log1p_resid_rf_vendor_only_resid,4,10,-0.00996700193829467,0.04249336110879317,-0.08162731088485561,0.05045624376868706,0,0,
sleep_minutesAwake_log1p_resid_rf_vendor_only_resid,4,10,-0.06732376654560696,0.055200244874689275,-0.1991483533537159,0.0018683706562914425,0,0,
sleep_restlessDuration_log1p_resid_rf_vendor_only_resid,4,10,-0.06268923189445126,0.03007780637600849,-0.12725583214596548,-0.020314369509709117,0,0,
sleep_timeInBed_log1p_resid_rf_vendor_only_resid,4,10,0.0016584551545760968,0.04237170955374243,-0.09083795376077794,0.05232127952767378,0,0,
sleep_awakeDuration_std_log1p_resid_rf_vendor_only_resid,4,10,0.010324095799324756,0.02119479027464707,-0.030461340238940447,0.04503748132535281,0,0,
sleep_awakeningsCount_std_log1p_resid_rf_vendor_only_resid,4,10,-0.02540056717105721,0.015952476935787115,-0.05174849764787081,0.006487546199952485,0,0,
sleep_efficiency_std_log1p_resid_rf_vendor_only_resid,4,10,-0.07693151555808878,0.03629217652518032,-0.12943407196325157,-0.009347340389123963,0,0,
sleep_minutesAfterWakeup_std_log1p_resid_rf_vendor_only_resid,4,10,-0.02843853231760658,0.014612238892579676,-0.052254039839753554,-0.00278199023022947,0,0,
sleep_minutesAsleep_std_log1p_resid_rf_vendor_only_resid,4,10,0.0009515462956077609,0.019667022181365162,-0.0359038265743046,0.03327711270513581,0,0,
sleep_minutesAwake_std_log1p_resid_rf_vendor_only_resid,4,10,-0.07319442806533369,0.06513245446047443,-0.21156609303878085,0.016647954903896527,0,0,
sleep_restlessDuration_std_log1p_resid_rf_vendor_only_resid,4,10,-0.0807122452878386,0.04977673294434165,-0.23770155766820208,-0.01992053096028487,0,0,
sleep_timeInBed_std_log1p_resid_rf_vendor_only_resid,4,10,-0.026466737776208216,0.037081887309583436,-0.08204640008726691,0.03669421967605309,0,0,
bedtime_int_log1p_resid_rf_vendor_only_resid,4,10,0.013266438346984197,0.01463856928970518,-0.017703149905037713,0.03271864991865285,0,0,
bedtime_int_std_log1p_resid_rf_vendor_only_resid,4,10,-0.009676794775941444,0.016082914535434794,-0.0393975061726343,0.01840439522286967,0,0,
