sleep_feature,n_folds,n_repeats,r2_mean,r2_std,r2_ci_lower,r2_ci_upper,n_features_dropped_any_fold,n_total_drop_events,dropped_columns_any_fold
sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,4,10,0.03111597863538209,0.03511956892647101,-0.03309753433634998,0.08317349389486654,0,0,
sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,4,10,0.02116019171489167,0.0242875595701766,-0.028049454686306735,0.05679643635417344,0,0,
sleep_efficiency_log1p_resid_rf_vendor_only_resid,4,10,-0.06763844927086929,0.04100969047407959,-0.1844597902108995,-0.01020869271982146,0,0,
sleep_minutesAfterWakeup_log1p_resid_rf_vendor_only_resid,4,10,-0.046396638095547636,0.030844446531272576,-0.09697864094987717,0.0068698928800303705,0,0,
sleep_minutesAsleep_log1p_resid_rf_vendor_only_resid,4,10,0.4302203797037093,0.03941952187649102,0.36038956573374126,0.49251519569895097,0,0,
sleep_minutesAwake_log1p_resid_rf_vendor_only_resid,4,10,0.01725262308443025,0.040688081267175796,-0.0831554039335678,0.0800172217712356,0,0,
sleep_restlessDuration_log1p_resid_rf_vendor_only_resid,4,10,-0.03412867711179444,0.04012602200884542,-0.12197327488576053,0.019380907780392635,0,0,
sleep_timeInBed_log1p_resid_rf_vendor_only_resid,4,10,0.5172664115078935,0.03674316689284004,0.45833848124038257,0.5721843518290028,0,0,
sleep_awakeDuration_std_log1p_resid_rf_vendor_only_resid,4,10,0.0074204947038534145,0.029673178670513996,-0.04446839960740791,0.060403612937772876,0,0,
sleep_awakeningsCount_std_log1p_resid_rf_vendor_only_resid,4,10,0.004680174160703451,0.020789623711419992,-0.0342028756419314,0.04088076061513725,0,0,
sleep_efficiency_std_log1p_resid_rf_vendor_only_resid,4,10,-0.01951058177081321,0.023974814235213412,-0.061610310759745504,0.01791002748702121,0,0,
sleep_minutesAfterWakeup_std_log1p_resid_rf_vendor_only_resid,4,10,-0.02748270780484341,0.024195225891592335,-0.06399388214132126,0.024604370847412398,0,0,
sleep_minutesAsleep_std_log1p_resid_rf_vendor_only_resid,4,10,0.25143190163257917,0.035038963465281354,0.18703515571569423,0.32157128290910225,0,0,
sleep_minutesAwake_std_log1p_resid_rf_vendor_only_resid,4,10,0.006679075670983842,0.03566133489828923,-0.05814821735644378,0.07195916890753971,0,0,
sleep_restlessDuration_std_log1p_resid_rf_vendor_only_resid,4,10,-0.059068221953608335,0.052893077870720805,-0.13050198399837892,0.0005333585727514988,0,0,
sleep_timeInBed_std_log1p_resid_rf_vendor_only_resid,4,10,0.2724110090571928,0.05625173114588414,0.17368919789457518,0.3739372438594054,0,0,
bedtime_int_log1p_resid_rf_vendor_only_resid,4,10,0.11734980456724102,0.029897572087682716,0.06929842547765838,0.17631349320276646,0,0,
bedtime_int_std_log1p_resid_rf_vendor_only_resid,4,10,0.062159090638330805,0.026761698923137067,0.005901974958938511,0.1041581263596492,0,0,
