feature_set,sleep_feature,cv_id,n_test,r2
all_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,0,225,0.04950076013678584
all_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,1,225,0.07804485629125402
all_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,2,224,0.03088347611906883
all_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,3,224,-0.010470076796904149
all_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,4,225,0.04701781031883423
all_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,5,225,0.02257665958650723
all_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,6,224,0.03099924325475445
all_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,7,224,0.04979768696898201
all_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,8,225,0.018908877110638378
all_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,9,225,-0.00958562461683532
all_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,10,224,0.055982273714570985
all_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,11,224,0.05346545020032634
all_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,12,225,0.06720185104130283
all_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,13,225,0.02608099635709904
all_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,14,224,0.048873110578852574
all_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,15,224,0.011150009050242993
all_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,16,225,0.05057401262044625
all_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,17,225,0.030289685980824155
all_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,18,224,0.07689401171359989
all_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,19,224,0.012806126990028255
all_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,20,225,0.06179357077464431
all_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,21,225,-0.023698872607647248
all_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,22,224,0.02929405791437123
all_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,23,224,0.021530969773343678
all_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,24,225,0.04194455976560019
all_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,25,225,0.02432751595484206
all_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,26,224,0.010114546530567425
all_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,27,224,0.048755924405332496
all_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,28,225,0.09337023832902369
all_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,29,225,-0.025293144298751624
all_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,30,224,0.06000249340931052
all_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,31,224,0.02099188097645266
all_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,32,225,0.039479504900371554
all_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,33,225,-0.004185950038250619
all_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,34,224,0.048739381780389834
all_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,35,224,0.04258772678924272
all_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,36,225,0.04003130062841409
all_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,37,225,0.01985410231926832
all_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,38,224,0.0513144548395118
all_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,39,224,0.05093252391379177
all_features,sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,0,368,-0.006125775053623439
all_features,sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,1,367,0.0011625445260805556
all_features,sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,2,367,0.00839588173874406
all_features,sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,3,367,0.0034794884112370195
all_features,sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,4,368,-0.004303337546934127
all_features,sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,5,367,0.0008806168216388688
all_features,sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,6,367,-0.026999244113945053
all_features,sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,7,367,-0.009524040811603518
all_features,sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,8,368,-0.012756530490947826
all_features,sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,9,367,-0.042049256214852004
all_features,sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,10,367,-0.023321189228445727
all_features,sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,11,367,-0.005190427942881826
all_features,sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,12,368,-0.00891683505430585
all_features,sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,13,367,-0.015364201824902501
all_features,sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,14,367,0.016875699423239632
all_features,sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,15,367,0.0059063190020349765
all_features,sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,16,368,0.017945170295443846
all_features,sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,17,367,0.00769294827903233
all_features,sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,18,367,-0.035594570387979196
all_features,sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,19,367,0.002100757363896144
all_features,sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,20,368,0.013549895986390226
all_features,sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,21,367,-0.015301783028634164
all_features,sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,22,367,-0.02515769441060156
all_features,sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,23,367,-0.010813643131950768
all_features,sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,24,368,-0.01007641101265322
all_features,sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,25,367,0.004509469617139494
all_features,sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,26,367,-0.01402157935441517
all_features,sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,27,367,0.013448281456286293
all_features,sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,28,368,0.018806623069721473
all_features,sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,29,367,-0.0032415902635036797
all_features,sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,30,367,0.0038031992258822367
all_features,sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,31,367,0.001309137604268762
all_features,sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,32,368,0.005646546846881817
all_features,sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,33,367,-0.021383289218175783
all_features,sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,34,367,0.01139350550449425
all_features,sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,35,367,0.006640872186853386
all_features,sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,36,368,0.011547202782085764
all_features,sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,37,367,-0.010389529444422951
all_features,sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,38,367,-0.024737729805408337
all_features,sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,39,367,-0.010510749632254512
all_features,sleep_efficiency_log1p_resid_rf_vendor_only_resid,0,368,-0.05994764111102491
all_features,sleep_efficiency_log1p_resid_rf_vendor_only_resid,1,367,-0.42117570172401453
all_features,sleep_efficiency_log1p_resid_rf_vendor_only_resid,2,367,-0.19412250639675
all_features,sleep_efficiency_log1p_resid_rf_vendor_only_resid,3,367,-0.08384931830896214
all_features,sleep_efficiency_log1p_resid_rf_vendor_only_resid,4,368,-0.19680837701869813
all_features,sleep_efficiency_log1p_resid_rf_vendor_only_resid,5,367,-0.38984494262214375
all_features,sleep_efficiency_log1p_resid_rf_vendor_only_resid,6,367,-0.09704134187542102
all_features,sleep_efficiency_log1p_resid_rf_vendor_only_resid,7,367,-0.2002967070236812
all_features,sleep_efficiency_log1p_resid_rf_vendor_only_resid,8,368,-0.34863382538880505
all_features,sleep_efficiency_log1p_resid_rf_vendor_only_resid,9,367,-0.09273642679389571
all_features,sleep_efficiency_log1p_resid_rf_vendor_only_resid,10,367,-0.19599410073317647
all_features,sleep_efficiency_log1p_resid_rf_vendor_only_resid,11,367,-0.1286549155807284
all_features,sleep_efficiency_log1p_resid_rf_vendor_only_resid,12,368,-0.236649943381255
all_features,sleep_efficiency_log1p_resid_rf_vendor_only_resid,13,367,-0.03094827367561437
all_features,sleep_efficiency_log1p_resid_rf_vendor_only_resid,14,367,-0.16568790265880362
all_features,sleep_efficiency_log1p_resid_rf_vendor_only_resid,15,367,-0.23089277449255818
all_features,sleep_efficiency_log1p_resid_rf_vendor_only_resid,16,368,-0.19924899915916439
all_features,sleep_efficiency_log1p_resid_rf_vendor_only_resid,17,367,-0.13699181561692209
all_features,sleep_efficiency_log1p_resid_rf_vendor_only_resid,18,367,-0.20976335739326224
all_features,sleep_efficiency_log1p_resid_rf_vendor_only_resid,19,367,-0.0445528539726292
all_features,sleep_efficiency_log1p_resid_rf_vendor_only_resid,20,368,-0.10219310682498062
all_features,sleep_efficiency_log1p_resid_rf_vendor_only_resid,21,367,-0.13309145390882438
all_features,sleep_efficiency_log1p_resid_rf_vendor_only_resid,22,367,-0.10348011521286193
all_features,sleep_efficiency_log1p_resid_rf_vendor_only_resid,23,367,-0.2721055284204428
all_features,sleep_efficiency_log1p_resid_rf_vendor_only_resid,24,368,-0.1850698418498269
all_features,sleep_efficiency_log1p_resid_rf_vendor_only_resid,25,367,-0.18252480658299297
all_features,sleep_efficiency_log1p_resid_rf_vendor_only_resid,26,367,-0.16306365808453682
all_features,sleep_efficiency_log1p_resid_rf_vendor_only_resid,27,367,-0.1822741745589096
all_features,sleep_efficiency_log1p_resid_rf_vendor_only_resid,28,368,-0.1504147183698259
all_features,sleep_efficiency_log1p_resid_rf_vendor_only_resid,29,367,-0.13783542348240174
all_features,sleep_efficiency_log1p_resid_rf_vendor_only_resid,30,367,-0.1813801227875802
all_features,sleep_efficiency_log1p_resid_rf_vendor_only_resid,31,367,-0.19532677818973565
all_features,sleep_efficiency_log1p_resid_rf_vendor_only_resid,32,368,-0.18507599235211192
all_features,sleep_efficiency_log1p_resid_rf_vendor_only_resid,33,367,-0.14241524637813607
all_features,sleep_efficiency_log1p_resid_rf_vendor_only_resid,34,367,-0.4835340166726734
all_features,sleep_efficiency_log1p_resid_rf_vendor_only_resid,35,367,-0.04970765653325926
all_features,sleep_efficiency_log1p_resid_rf_vendor_only_resid,36,368,-0.11177253822145006
all_features,sleep_efficiency_log1p_resid_rf_vendor_only_resid,37,367,-0.1879465624983181
all_features,sleep_efficiency_log1p_resid_rf_vendor_only_resid,38,367,-0.07287824198245252
all_features,sleep_efficiency_log1p_resid_rf_vendor_only_resid,39,367,-0.2427730556707095
all_features,sleep_minutesAfterWakeup_log1p_resid_rf_vendor_only_resid,0,368,-0.03685263140561168
all_features,sleep_minutesAfterWakeup_log1p_resid_rf_vendor_only_resid,1,367,-0.11365315202996773
all_features,sleep_minutesAfterWakeup_log1p_resid_rf_vendor_only_resid,2,367,-0.11848517624564447
all_features,sleep_minutesAfterWakeup_log1p_resid_rf_vendor_only_resid,3,367,-0.04897090832137674
all_features,sleep_minutesAfterWakeup_log1p_resid_rf_vendor_only_resid,4,368,-0.04172993835237704
all_features,sleep_minutesAfterWakeup_log1p_resid_rf_vendor_only_resid,5,367,-0.12016824832326356
all_features,sleep_minutesAfterWakeup_log1p_resid_rf_vendor_only_resid,6,367,-0.06965860612741759
all_features,sleep_minutesAfterWakeup_log1p_resid_rf_vendor_only_resid,7,367,-0.09685971294121165
all_features,sleep_minutesAfterWakeup_log1p_resid_rf_vendor_only_resid,8,368,-0.10877896201859483
all_features,sleep_minutesAfterWakeup_log1p_resid_rf_vendor_only_resid,9,367,-0.05618942700517704
all_features,sleep_minutesAfterWakeup_log1p_resid_rf_vendor_only_resid,10,367,-0.10574536933997436
all_features,sleep_minutesAfterWakeup_log1p_resid_rf_vendor_only_resid,11,367,-0.09733716098153167
all_features,sleep_minutesAfterWakeup_log1p_resid_rf_vendor_only_resid,12,368,-0.0578945540361091
all_features,sleep_minutesAfterWakeup_log1p_resid_rf_vendor_only_resid,13,367,-0.03911909953412551
all_features,sleep_minutesAfterWakeup_log1p_resid_rf_vendor_only_resid,14,367,-0.07595707642822447
all_features,sleep_minutesAfterWakeup_log1p_resid_rf_vendor_only_resid,15,367,-0.14704271532531998
all_features,sleep_minutesAfterWakeup_log1p_resid_rf_vendor_only_resid,16,368,-0.11094413431084171
all_features,sleep_minutesAfterWakeup_log1p_resid_rf_vendor_only_resid,17,367,-0.07618965312921677
all_features,sleep_minutesAfterWakeup_log1p_resid_rf_vendor_only_resid,18,367,-0.05909565466291866
all_features,sleep_minutesAfterWakeup_log1p_resid_rf_vendor_only_resid,19,367,-0.05226219495087969
all_features,sleep_minutesAfterWakeup_log1p_resid_rf_vendor_only_resid,20,368,-0.07379767451237296
all_features,sleep_minutesAfterWakeup_log1p_resid_rf_vendor_only_resid,21,367,-0.07906264714267608
all_features,sleep_minutesAfterWakeup_log1p_resid_rf_vendor_only_resid,22,367,-0.057950253251093375
all_features,sleep_minutesAfterWakeup_log1p_resid_rf_vendor_only_resid,23,367,-0.09012011502296557
all_features,sleep_minutesAfterWakeup_log1p_resid_rf_vendor_only_resid,24,368,-0.03544305397798908
all_features,sleep_minutesAfterWakeup_log1p_resid_rf_vendor_only_resid,25,367,-0.12814713542384681
all_features,sleep_minutesAfterWakeup_log1p_resid_rf_vendor_only_resid,26,367,-0.07048557871740191
all_features,sleep_minutesAfterWakeup_log1p_resid_rf_vendor_only_resid,27,367,-0.09976451145629972
all_features,sleep_minutesAfterWakeup_log1p_resid_rf_vendor_only_resid,28,368,-0.03508111209957665
all_features,sleep_minutesAfterWakeup_log1p_resid_rf_vendor_only_resid,29,367,-0.10832012791746859
all_features,sleep_minutesAfterWakeup_log1p_resid_rf_vendor_only_resid,30,367,-0.08346694775070396
all_features,sleep_minutesAfterWakeup_log1p_resid_rf_vendor_only_resid,31,367,-0.09699657650447113
all_features,sleep_minutesAfterWakeup_log1p_resid_rf_vendor_only_resid,32,368,-0.08710037373166002
all_features,sleep_minutesAfterWakeup_log1p_resid_rf_vendor_only_resid,33,367,-0.0731283885774614
all_features,sleep_minutesAfterWakeup_log1p_resid_rf_vendor_only_resid,34,367,-0.09653409052284934
all_features,sleep_minutesAfterWakeup_log1p_resid_rf_vendor_only_resid,35,367,-0.04157797432639465
all_features,sleep_minutesAfterWakeup_log1p_resid_rf_vendor_only_resid,36,368,-0.07997076833927141
all_features,sleep_minutesAfterWakeup_log1p_resid_rf_vendor_only_resid,37,367,-0.07960148390899469
all_features,sleep_minutesAfterWakeup_log1p_resid_rf_vendor_only_resid,38,367,-0.024101015651897706
all_features,sleep_minutesAfterWakeup_log1p_resid_rf_vendor_only_resid,39,367,-0.1679406490427231
all_features,sleep_minutesAsleep_log1p_resid_rf_vendor_only_resid,0,225,0.31296200050592915
all_features,sleep_minutesAsleep_log1p_resid_rf_vendor_only_resid,1,225,0.32306088322756266
all_features,sleep_minutesAsleep_log1p_resid_rf_vendor_only_resid,2,224,0.3328668422646548
all_features,sleep_minutesAsleep_log1p_resid_rf_vendor_only_resid,3,224,0.35219437169436596
all_features,sleep_minutesAsleep_log1p_resid_rf_vendor_only_resid,4,225,0.29248305980894784
all_features,sleep_minutesAsleep_log1p_resid_rf_vendor_only_resid,5,225,0.29896850394159535
all_features,sleep_minutesAsleep_log1p_resid_rf_vendor_only_resid,6,224,0.3490684048731886
all_features,sleep_minutesAsleep_log1p_resid_rf_vendor_only_resid,7,224,0.3779697987553793
