feature_set,sleep_feature,cv_id,n_test,r2
all_features_minus_activity,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,0,225,0.036962290775578444
all_features_minus_activity,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,1,225,0.06301275637808601
all_features_minus_activity,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,2,224,0.02991743843388517
all_features_minus_activity,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,3,224,-0.0011515368958514571
all_features_minus_activity,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,4,225,0.03846732254860985
all_features_minus_activity,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,5,225,0.04239190616197752
all_features_minus_activity,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,6,224,0.029459115046906237
all_features_minus_activity,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,7,224,0.048708784490561485
all_features_minus_activity,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,8,225,0.016423769661864207
all_features_minus_activity,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,9,225,-0.022325323830126642
all_features_minus_activity,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,10,224,0.052894669459755295
all_features_minus_activity,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,11,224,0.05204574627932712
all_features_minus_activity,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,12,225,0.07052023070829538
all_features_minus_activity,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,13,225,0.015630939791412835
all_features_minus_activity,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,14,224,0.049168036552923566
all_features_minus_activity,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,15,224,0.006918124566182682
all_features_minus_activity,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,16,225,0.042468047507551177
all_features_minus_activity,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,17,225,0.034231295461625844
