feature_set,sleep_feature,cv_id,n_test,r2
all_features_minus_activity_heartrate,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,0,225,0.03333400095189243
all_features_minus_activity_heartrate,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,1,225,0.0629103425344868
all_features_minus_activity_heartrate,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,2,224,0.023020394088694607
all_features_minus_activity_heartrate,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,3,224,0.005344413203596798
all_features_minus_activity_heartrate,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,4,225,0.04352502567015426
all_features_minus_activity_heartrate,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,5,225,0.042699016838156245
all_features_minus_activity_heartrate,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,6,224,0.018868229140282633
all_features_minus_activity_heartrate,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,7,224,0.036996563095780255
all_features_minus_activity_heartrate,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,8,225,0.017989885196206146
all_features_minus_activity_heartrate,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,9,225,-0.025978116084995895
all_features_minus_activity_heartrate,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,10,224,0.062302777050310953
all_features_minus_activity_heartrate,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,11,224,0.05396313593436153
all_features_minus_activity_heartrate,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,12,225,0.0706685491379132
all_features_minus_activity_heartrate,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,13,225,0.009144327019540266
all_features_minus_activity_heartrate,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,14,224,0.05303139112468647
all_features_minus_activity_heartrate,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,15,224,0.00712090178817415
all_features_minus_activity_heartrate,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,16,225,0.04271038951464867
all_features_minus_activity_heartrate,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,17,225,0.035040669942250635
all_features_minus_activity_heartrate,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,18,224,0.07546349606131564
all_features_minus_activity_heartrate,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,19,224,0.003147424093263851
all_features_minus_activity_heartrate,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,20,225,0.06411112650715356
all_features_minus_activity_heartrate,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,21,225,-0.009067572877755392
all_features_minus_activity_heartrate,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,22,224,0.01857552504494231
all_features_minus_activity_heartrate,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,23,224,0.014057251000389015
all_features_minus_activity_heartrate,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,24,225,0.04210867566962384
all_features_minus_activity_heartrate,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,25,225,0.029604179321663926
all_features_minus_activity_heartrate,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,26,224,0.010992845391916362
all_features_minus_activity_heartrate,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,27,224,0.029048342224243795
all_features_minus_activity_heartrate,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,28,225,0.09131814068185495
all_features_minus_activity_heartrate,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,29,225,-0.028701096547307126
all_features_minus_activity_heartrate,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,30,224,0.05621755464388489
all_features_minus_activity_heartrate,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,31,224,0.014988083912924055
all_features_minus_activity_heartrate,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,32,225,0.038521946851029054
all_features_minus_activity_heartrate,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,33,225,-0.0006504838217302744
all_features_minus_activity_heartrate,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,34,224,0.03459228229452416
all_features_minus_activity_heartrate,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,35,224,0.028745531200780605
all_features_minus_activity_heartrate,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,36,225,0.027458402329611498
