sleep_feature,n_folds,n_repeats,r2_mean,r2_std,r2_ci_lower,r2_ci_upper,n_features_dropped_any_fold,n_total_drop_events,dropped_columns_any_fold
sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,4,10,0.031040478352550617,0.025306967019522956,-0.022377483541864456,0.07874715075004152,0,0,
sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,4,10,-0.02509075853246919,0.014658764109889012,-0.0534676972266449,0.0009148917600751279,0,0,
sleep_efficiency_log1p_resid_rf_vendor_only_resid,4,10,-0.179722787823927,0.09661226520608578,-0.42364774585468407,-0.053803385672619504,0,0,
sleep_minutesAfterWakeup_log1p_resid_rf_vendor_only_resid,4,10,-0.08429333029074156,0.032328718355881476,-0.14126628909175395,-0.03782763357318452,0,0,
sleep_minutesAsleep_log1p_resid_rf_vendor_only_resid,4,10,-0.002453475755600415,0.02997735004964058,-0.04613724074785696,0.0661879729875984,0,0,
sleep_minutesAwake_log1p_resid_rf_vendor_only_resid,4,10,-0.02995051852639814,0.04276625642176985,-0.12137987777135137,0.03576963315150618,1,10,zinc_plasma_or_serum_log1p
sleep_restlessDuration_log1p_resid_rf_vendor_only_resid,4,10,-0.05257589858334809,0.028870032110452637,-0.09679181809747821,-0.0063487647123222826,0,0,
sleep_timeInBed_log1p_resid_rf_vendor_only_resid,4,10,0.029705975375454143,0.035627951127546714,-0.03819993364559354,0.09064633525810717,1,10,zinc_plasma_or_serum_log1p
sleep_awakeDuration_std_log1p_resid_rf_vendor_only_resid,4,10,0.006973680082084549,0.02293106977594131,-0.03751447508911203,0.03823540370250039,0,0,
sleep_awakeningsCount_std_log1p_resid_rf_vendor_only_resid,4,10,-0.01311807785855681,0.012782432129114585,-0.04004036420931979,0.005629015085612188,0,0,
sleep_efficiency_std_log1p_resid_rf_vendor_only_resid,4,10,-0.04292286190095837,0.03638373280588488,-0.13348860884323405,0.008880227255842298,0,0,
sleep_minutesAfterWakeup_std_log1p_resid_rf_vendor_only_resid,4,10,-0.029140287105337847,0.01409551166087384,-0.05931649972086603,-0.006084740050071019,0,0,
sleep_minutesAsleep_std_log1p_resid_rf_vendor_only_resid,4,10,0.010567480870644805,0.02188464134342106,-0.042557168072721537,0.041222316080476294,0,0,
sleep_minutesAwake_std_log1p_resid_rf_vendor_only_resid,4,10,-0.044422518380531476,0.06264353744285078,-0.16503943799978962,0.036049779033041254,1,10,zinc_plasma_or_serum_log1p
sleep_restlessDuration_std_log1p_resid_rf_vendor_only_resid,4,10,-0.052596654664123034,0.050085323011212046,-0.19344578386910258,0.018059023318826323,0,0,
sleep_timeInBed_std_log1p_resid_rf_vendor_only_resid,4,10,-0.016069442107017724,0.033672836699887874,-0.09962362585228528,0.03555536996579649,1,10,zinc_plasma_or_serum_log1p
bedtime_int_log1p_resid_rf_vendor_only_resid,4,10,0.04610789628014476,0.012967510868378988,0.020146532569104852,0.07280276867790604,0,0,
bedtime_int_std_log1p_resid_rf_vendor_only_resid,4,10,0.01082564891696727,0.013934936375010518,-0.014346993397340572,0.033800239197854465,0,0,
