sleep_feature,n_folds,n_repeats,r2_mean,r2_std,r2_ci_lower,r2_ci_upper,n_features_dropped_any_fold,n_total_drop_events,dropped_columns_any_fold
sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,4,10,0.0348219495670052,0.026403954556970585,-0.023738729399924857,0.07842799084219823,0,0,
sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,4,10,-0.004517131195777252,0.014669552163412381,-0.035755937533651014,0.017966706614800786,0,0,
sleep_efficiency_log1p_resid_rf_vendor_only_resid,4,10,-0.17821761908773853,0.09728980414476787,-0.422734659597731,-0.04421273946520385,0,0,
sleep_minutesAfterWakeup_log1p_resid_rf_vendor_only_resid,4,10,-0.08103812133369756,0.032136892319096604,-0.14756516366825506,-0.03480660968838469,0,0,
sleep_minutesAsleep_log1p_resid_rf_vendor_only_resid,4,10,0.3273357554208577,0.030062103506400577,0.27808431428666347,0.38918467258134015,0,0,
sleep_minutesAwake_log1p_resid_rf_vendor_only_resid,4,10,-0.02380372291922004,0.04091923891935503,-0.11506955584832138,0.040012364599352514,1,10,zinc_plasma_or_serum_log1p
sleep_restlessDuration_log1p_resid_rf_vendor_only_resid,4,10,-0.0500388714075498,0.028794385529114837,-0.09702985753519332,-0.0012032079782119832,0,0,
sleep_timeInBed_log1p_resid_rf_vendor_only_resid,4,10,0.3123579203031236,0.03761848308053717,0.2417928392505176,0.36872408763322345,1,10,zinc_plasma_or_serum_log1p
sleep_awakeDuration_std_log1p_resid_rf_vendor_only_resid,4,10,0.009308272733622011,0.02179665085085752,-0.0363429714580656,0.043199432363253326,0,0,
sleep_awakeningsCount_std_log1p_resid_rf_vendor_only_resid,4,10,0.0028312938545656586,0.011466780957704415,-0.020399645568827802,0.016940985759708673,0,0,
sleep_efficiency_std_log1p_resid_rf_vendor_only_resid,4,10,-0.025852086342525525,0.04019362201036943,-0.12154718721258445,0.03427303582874786,0,0,
sleep_minutesAfterWakeup_std_log1p_resid_rf_vendor_only_resid,4,10,-0.02696048425395613,0.013045756931573912,-0.0538243449777602,0.0021492699189317537,0,0,
sleep_minutesAsleep_std_log1p_resid_rf_vendor_only_resid,4,10,0.21809842064948945,0.028352560643464093,0.16921164921589782,0.2714946388461556,0,0,
sleep_minutesAwake_std_log1p_resid_rf_vendor_only_resid,4,10,-0.031073197665467324,0.05805177175422601,-0.15884663062322782,0.040723650532672136,1,10,zinc_plasma_or_serum_log1p
sleep_restlessDuration_std_log1p_resid_rf_vendor_only_resid,4,10,-0.039758588999803356,0.04761427470500284,-0.12909002635830824,0.022796187051090034,0,0,
sleep_timeInBed_std_log1p_resid_rf_vendor_only_resid,4,10,0.22575844806788323,0.043537825719958026,0.11905775254953248,0.3067586507853664,1,10,zinc_plasma_or_serum_log1p
bedtime_int_log1p_resid_rf_vendor_only_resid,4,10,0.10141426368672257,0.01905148814106155,0.0704405691353359,0.14236346767239408,0,0,
bedtime_int_std_log1p_resid_rf_vendor_only_resid,4,10,0.07130180633323152,0.018790619038250068,0.04018256932699525,0.10573405423079571,0,0,
