feature_set,sleep_feature,cv_id,n_test,r2
clinical_features_log1p,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,0,225,-0.010754816932895483
clinical_features_log1p,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,1,225,0.03264095750255436
clinical_features_log1p,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,2,224,0.01949130784409614
clinical_features_log1p,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,3,224,-0.04952967125605379
clinical_features_log1p,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,4,225,-0.03288004480418416
clinical_features_log1p,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,5,225,0.01791553538883872
clinical_features_log1p,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,6,224,0.027644333647294572
clinical_features_log1p,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,7,224,0.03953611902141074
clinical_features_log1p,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,8,225,-0.027548156672481117
clinical_features_log1p,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,9,225,0.03116061434575501
clinical_features_log1p,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,10,224,0.012108847987982396
clinical_features_log1p,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,11,224,-0.04055839845693732
clinical_features_log1p,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,12,225,0.001655194466518739
clinical_features_log1p,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,13,225,-0.016085280629901444
clinical_features_log1p,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,14,224,0.014244189050741873
clinical_features_log1p,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,15,224,-0.004896670580014195
clinical_features_log1p,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,16,225,-0.03265028779506762
clinical_features_log1p,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,17,225,-0.013516248344177306
clinical_features_log1p,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,18,224,0.021252244200078763
clinical_features_log1p,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,19,224,0.003420799448949019
clinical_features_log1p,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,20,225,0.018685400812245456
clinical_features_log1p,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,21,225,-0.08569304290471758
clinical_features_log1p,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,22,224,-0.012541575633086888
clinical_features_log1p,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,23,224,0.023108412549170176
clinical_features_log1p,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,24,225,-0.006666529400169097
clinical_features_log1p,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,25,225,0.041025665019652546
clinical_features_log1p,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,26,224,-0.019325994500057897
clinical_features_log1p,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,27,224,-0.012273635751453904
clinical_features_log1p,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,28,225,0.008481234732989451
clinical_features_log1p,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,29,225,-0.011152032601970951
clinical_features_log1p,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,30,224,0.002685486151709382
clinical_features_log1p,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,31,224,-0.008009944181311734
