sleep_feature,n_folds,n_repeats,r2_mean,r2_std,r2_ci_lower,r2_ci_upper,n_features_dropped_any_fold,n_total_drop_events,dropped_columns_any_fold
sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,4,10,-0.0029291584021741398,0.02679732748715568,-0.06042169494501147,0.039573357671366785,0,0,
sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,4,10,-0.03659373950484083,0.0198008236331504,-0.07203365206532371,-0.0058992995790251536,0,0,
sleep_efficiency_log1p_resid_rf_vendor_only_resid,4,10,-0.09992306693359243,0.05871576902433985,-0.22009651675444722,-0.02592241036299184,0,0,
sleep_minutesAfterWakeup_log1p_resid_rf_vendor_only_resid,4,10,-0.066016034620773,0.0313318668828026,-0.12605032407060207,-0.017250592376325473,0,0,
sleep_minutesAsleep_log1p_resid_rf_vendor_only_resid,4,10,-0.026936778355603354,0.036032835796286806,-0.09377749026441484,0.033896215237767986,0,0,
sleep_minutesAwake_log1p_resid_rf_vendor_only_resid,4,10,-0.06131858830592242,0.03680583863170331,-0.13045745507147263,-0.005004983490079811,1,10,zinc_plasma_or_serum_log1p
sleep_restlessDuration_log1p_resid_rf_vendor_only_resid,4,10,-0.050092245386399635,0.03024664905770726,-0.0971372515447593,0.019471704111371863,0,0,
sleep_timeInBed_log1p_resid_rf_vendor_only_resid,4,10,-0.043063584899937696,0.040038047983853665,-0.13925884293963528,0.013206678137675676,1,10,zinc_plasma_or_serum_log1p
sleep_awakeDuration_std_log1p_resid_rf_vendor_only_resid,4,10,-0.026414571559837053,0.02203792689360133,-0.0616916394537116,0.013805606315114375,0,0,
sleep_awakeningsCount_std_log1p_resid_rf_vendor_only_resid,4,10,-0.028106601280305656,0.01857742978872174,-0.07146566941741263,-0.00493782465510066,0,0,
sleep_efficiency_std_log1p_resid_rf_vendor_only_resid,4,10,-0.053679883562819955,0.03885093862644635,-0.12904617788843373,0.012742813242142567,0,0,
sleep_minutesAfterWakeup_std_log1p_resid_rf_vendor_only_resid,4,10,-0.041511274093311054,0.01884475980400546,-0.07713984675737237,-0.00778787395542276,0,0,
sleep_minutesAsleep_std_log1p_resid_rf_vendor_only_resid,4,10,-0.02513428896591055,0.027094039099700692,-0.09539560157535963,0.02214382961627576,0,0,
sleep_minutesAwake_std_log1p_resid_rf_vendor_only_resid,4,10,-0.09233341662987789,0.05949229277379928,-0.23002131235245538,-0.0039757379391508986,1,10,zinc_plasma_or_serum_log1p
sleep_restlessDuration_std_log1p_resid_rf_vendor_only_resid,4,10,-0.07183423230639281,0.04129804474005677,-0.1545346910042865,0.00021447193056475734,0,0,
sleep_timeInBed_std_log1p_resid_rf_vendor_only_resid,4,10,-0.032184507817199184,0.03231232892398849,-0.09536061163041892,0.028391593843874203,1,10,zinc_plasma_or_serum_log1p
bedtime_int_log1p_resid_rf_vendor_only_resid,4,10,0.026437124493571613,0.018842015213327755,-0.005211444277252546,0.05605335418738922,0,0,
bedtime_int_std_log1p_resid_rf_vendor_only_resid,4,10,0.0011667081036083632,0.015986493361463384,-0.03691420019393186,0.02936967816540367,0,0,
