feature_set,sleep_feature,cv_id,n_test,r2
control_covariate_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,0,225,0.05628867059972642
control_covariate_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,1,225,0.007174783068957691
control_covariate_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,2,224,0.015032762447927617
control_covariate_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,3,224,-0.05629218679476966
control_covariate_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,4,225,0.02512999910988356
control_covariate_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,5,225,-0.06390211381051958
control_covariate_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,6,224,0.05276911634418524
control_covariate_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,7,224,-0.02562625082193981
control_covariate_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,8,225,-0.03178329093409005
control_covariate_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,9,225,-0.010947857685634776
control_covariate_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,10,224,0.017467194791918716
control_covariate_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,11,224,-0.030420686064496882
control_covariate_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,12,225,0.0843798930400379
control_covariate_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,13,225,0.0460858693549957
control_covariate_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,14,224,-0.03930253265007244
control_covariate_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,15,224,-0.032688504040460975
control_covariate_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,16,225,0.011492836652860605
control_covariate_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,17,225,0.0344777290460363
control_covariate_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,18,224,0.05696873467654895
control_covariate_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,19,224,-0.08339383590555705
control_covariate_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,20,225,0.02946759448972236
control_covariate_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,21,225,-0.107688828283387
control_covariate_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,22,224,-0.00678737579470412
control_covariate_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,23,224,0.007550834715002064
control_covariate_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,24,225,-0.018577608014001212
control_covariate_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,25,225,-0.013425994262299845
control_covariate_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,26,224,-0.008024897207776549
control_covariate_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,27,224,0.023802288192052323
control_covariate_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,28,225,0.03763904819714936
control_covariate_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,29,225,-0.1323260084982627
