sleep_feature,n_folds,n_repeats,r2_mean,r2_std,r2_ci_lower,r2_ci_upper,n_features_dropped_any_fold,n_total_drop_events,dropped_columns_any_fold
sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,4,10,-0.007445412777075983,0.04586333952699313,-0.10830475778875888,0.05765401363563613,0,0,
sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,4,10,-0.04232817384098181,0.027876396897637254,-0.08862228185565511,0.010913184286266468,0,0,
sleep_efficiency_log1p_resid_rf_vendor_only_resid,4,10,-0.08050938430774779,0.039319333654669004,-0.17425379134070956,-0.041107610555570225,0,0,
sleep_minutesAfterWakeup_log1p_resid_rf_vendor_only_resid,4,10,-0.06833803241790706,0.021782822845806935,-0.11919391907300081,-0.04281570622459068,0,0,
sleep_minutesAsleep_log1p_resid_rf_vendor_only_resid,4,10,-0.03970213185098642,0.04101814682176015,-0.11388064847862328,0.04988411870269799,0,0,
sleep_minutesAwake_log1p_resid_rf_vendor_only_resid,4,10,-0.11406168091943081,0.06932850633452563,-0.2926326178108561,-0.00927792932454571,0,0,
sleep_restlessDuration_log1p_resid_rf_vendor_only_resid,4,10,-0.07766261151977168,0.036256429047293176,-0.14656235646811544,-0.020190898817331774,0,0,
sleep_timeInBed_log1p_resid_rf_vendor_only_resid,4,10,-0.003548969990607445,0.049104511076173835,-0.08942841162409,0.07674276602733592,0,0,
sleep_awakeDuration_std_log1p_resid_rf_vendor_only_resid,4,10,-0.04542003678023634,0.0298644936171873,-0.09317730797735807,0.002961805127436851,0,0,
sleep_awakeningsCount_std_log1p_resid_rf_vendor_only_resid,4,10,-0.07649925487903639,0.023432890024404816,-0.12727748922388885,-0.04162893429308297,0,0,
sleep_efficiency_std_log1p_resid_rf_vendor_only_resid,4,10,-0.05702776828733465,0.027940077423194147,-0.11844275525107034,-0.00547448883656326,0,0,
sleep_minutesAfterWakeup_std_log1p_resid_rf_vendor_only_resid,4,10,-0.0686000966142515,0.020921989707316242,-0.11103324612841584,-0.031665329453623915,0,0,
sleep_minutesAsleep_std_log1p_resid_rf_vendor_only_resid,4,10,-0.020511210743442997,0.028278915020971546,-0.08002464383473286,0.020248976885835566,0,0,
sleep_minutesAwake_std_log1p_resid_rf_vendor_only_resid,4,10,-0.1080478839280929,0.06335331822037416,-0.2453191800600416,-0.0023473463903898577,0,0,
sleep_restlessDuration_std_log1p_resid_rf_vendor_only_resid,4,10,-0.09655111608387036,0.03731923515094945,-0.17045214450196194,-0.043188828067825015,0,0,
sleep_timeInBed_std_log1p_resid_rf_vendor_only_resid,4,10,-0.043506914764800064,0.05615469407950945,-0.1413621749291305,0.043190754413715476,0,0,
bedtime_int_log1p_resid_rf_vendor_only_resid,4,10,0.0013110564083037124,0.03575128890707951,-0.08556821661187831,0.05750552546272358,0,0,
bedtime_int_std_log1p_resid_rf_vendor_only_resid,4,10,-0.031172573626486965,0.023571177103449237,-0.07678011879044339,0.008569585795156624,0,0,
