feature_set,sleep_feature,cv_id,n_test,r2
digestion_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,0,225,-0.0533624101864254
digestion_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,1,225,-0.020298524177774002
digestion_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,2,224,-0.04511462074113237
digestion_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,3,224,-0.14085527418811417
digestion_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,4,225,-0.057417772251801
digestion_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,5,225,-0.0777723228470879
digestion_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,6,224,-0.1258502884475854
digestion_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,7,224,-0.057324577227991336
digestion_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,8,225,-0.03701410847721687
digestion_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,9,225,-0.04632773390899647
digestion_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,10,224,-0.10965868350678076
digestion_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,11,224,-0.17509764306089237
digestion_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,12,225,-0.09974639165167476
digestion_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,13,225,-0.11455880159166609
digestion_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,14,224,-0.08356855781750383
digestion_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,15,224,-0.10892572556970492
digestion_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,16,225,-0.08468635838629845
digestion_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,17,225,-0.08169008236673747
digestion_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,18,224,-0.10198369434090604
digestion_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,19,224,-0.10381171483130402
digestion_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,20,225,-0.11997585580427028
digestion_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,21,225,-0.0824175034315795
