sleep_feature,n_folds,n_repeats,r2_mean,r2_std,r2_ci_lower,r2_ci_upper
sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,4,10,-0.08592684538103015,0.04234885296885287,-0.1548374887979298,-0.010627776806023012
sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,4,10,-0.09792945218238702,0.039439556922261705,-0.18719600891635663,-0.0266608020253682
sleep_efficiency_log1p_resid_rf_vendor_only_resid,4,10,-0.15193633223838438,0.06075004696936887,-0.27960139898261605,-0.05130087320952704
sleep_minutesAfterWakeup_log1p_resid_rf_vendor_only_resid,4,10,-0.11376013664193367,0.03134171098120851,-0.1626799552082676,-0.06674074941049407
sleep_minutesAsleep_log1p_resid_rf_vendor_only_resid,4,10,-0.11390512179968659,0.0418587392153764,-0.17927627869333057,-0.04220324715651944
sleep_minutesAwake_log1p_resid_rf_vendor_only_resid,4,10,-0.17597691560481118,0.09368113126448294,-0.3306787284577246,-0.054112426010539144
sleep_restlessDuration_log1p_resid_rf_vendor_only_resid,4,10,-0.09554211277218602,0.05343682214495315,-0.20989612835152388,-0.027732779986742766
sleep_timeInBed_log1p_resid_rf_vendor_only_resid,4,10,-0.08344831146345674,0.08099331065048554,-0.28709000281595676,0.036688033135279706
sleep_awakeDuration_std_log1p_resid_rf_vendor_only_resid,4,10,-0.0653399943727633,0.03946102256526968,-0.12886358887869478,0.0025579248462096666
sleep_awakeningsCount_std_log1p_resid_rf_vendor_only_resid,4,10,-0.10420478895108345,0.02781892100153648,-0.15149537259899953,-0.05942816499876048
sleep_efficiency_std_log1p_resid_rf_vendor_only_resid,4,10,-0.10138976356961633,0.05398058807202907,-0.265110541491646,-0.0253914666897067
sleep_minutesAfterWakeup_std_log1p_resid_rf_vendor_only_resid,4,10,-0.10157555362676904,0.02716447097444203,-0.1536283412184808,-0.0592295078701619
sleep_minutesAsleep_std_log1p_resid_rf_vendor_only_resid,4,10,-0.08012048810935726,0.045193780435396305,-0.18280066490131514,-0.004546651860957414
sleep_minutesAwake_std_log1p_resid_rf_vendor_only_resid,4,10,-0.16863257939842488,0.12206177735377526,-0.5209584009373452,0.010209353941257802
sleep_restlessDuration_std_log1p_resid_rf_vendor_only_resid,4,10,-0.08248647403242262,0.0704166380573281,-0.2682595128314133,0.0069171101998082305
sleep_timeInBed_std_log1p_resid_rf_vendor_only_resid,4,10,-0.12541962682050686,0.07101382010742523,-0.26890485902584993,-0.023331233346844702
bedtime_int_log1p_resid_rf_vendor_only_resid,4,10,-0.06094101899720069,0.030958628235196448,-0.11862461504182327,-0.006965163572328739
bedtime_int_std_log1p_resid_rf_vendor_only_resid,4,10,-0.09604426037381346,0.03368401756012905,-0.16230768073125315,-0.04686101282170845
