feature_set,sleep_feature,cv_id,n_test,r2
diversity_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,0,225,-0.07742404362091415
diversity_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,1,225,-0.1319720240961404
diversity_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,2,224,-0.12913785859918137
diversity_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,3,224,-0.16684082651910304
diversity_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,4,225,-0.0965337640105346
diversity_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,5,225,-0.11919711171558989
diversity_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,6,224,-0.0650583689386528
diversity_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,7,224,-0.13782174379273004
diversity_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,8,225,-0.1769264887775872
diversity_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,9,225,-0.15332914918389906
diversity_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,10,224,-0.09463401252850989
diversity_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,11,224,-0.1930833961545051
diversity_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,12,225,-0.09771666705446225
diversity_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,13,225,-0.2344429986412211
diversity_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,14,224,0.005749791556760475
diversity_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,15,224,-0.05038174973992393
diversity_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,16,225,-0.10895583502139439
diversity_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,17,225,-0.22536011564976133
diversity_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,18,224,-0.12704290076557045
diversity_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,19,224,-0.13134436231136282
diversity_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,20,225,-0.08926589262827411
diversity_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,21,225,-0.19808029503661695
diversity_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,22,224,-0.09777187388902764
diversity_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,23,224,-0.07439670593557768
diversity_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,24,225,-0.1963654353926747
diversity_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,25,225,-0.14273717534369101
diversity_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,26,224,-0.07148265028148404
diversity_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,27,224,-0.15501808099703163
diversity_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,28,225,-0.07195725070953873
diversity_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,29,225,-0.1350589844945409
diversity_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,30,224,-0.10441325125291878
diversity_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,31,224,-0.08223937848032392
diversity_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,32,225,-0.057356270797569886
diversity_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,33,225,-0.12951531731734867
diversity_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,34,224,-0.1708393446833929
diversity_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,35,224,-0.10270867706820042
diversity_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,36,225,-0.1427819541803872
diversity_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,37,225,-0.1407738195888686
diversity_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,38,224,-0.1447242381628766
diversity_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,39,224,-0.17499300019284236
diversity_features,sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,0,368,-0.11416943662618673
diversity_features,sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,1,367,-0.06549039753632169
diversity_features,sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,2,367,-0.03926407688958511
diversity_features,sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,3,367,-0.12052421987022988
diversity_features,sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,4,368,-0.08184899782411326
diversity_features,sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,5,367,-0.10794515513877223
diversity_features,sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,6,367,-0.12714024453446648
diversity_features,sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,7,367,-0.08777468365575802
diversity_features,sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,8,368,-0.10991744296297368
diversity_features,sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,9,367,-0.13003149861603092
diversity_features,sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,10,367,-0.10503305344206293
diversity_features,sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,11,367,-0.061381486802613905
diversity_features,sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,12,368,-0.04994328157328676
diversity_features,sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,13,367,-0.07022529346646778
diversity_features,sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,14,367,-0.12258032173759581
diversity_features,sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,15,367,-0.1032915348583403
diversity_features,sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,16,368,-0.07889648998424303
diversity_features,sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,17,367,-0.08424856058160879
diversity_features,sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,18,367,-0.04848628523459375
diversity_features,sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,19,367,-0.12006340850609654
diversity_features,sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,20,368,-0.062182768012905676
diversity_features,sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,21,367,-0.09920860232143136
diversity_features,sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,22,367,-0.12187271503810271
diversity_features,sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,23,367,-0.13071699345572485
diversity_features,sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,24,368,-0.05335141183949865
diversity_features,sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,25,367,-0.07293756497564141
diversity_features,sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,26,367,-0.12257438789910413
diversity_features,sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,27,367,-0.11186209244191536
diversity_features,sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,28,368,-0.1372702734612734
diversity_features,sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,29,367,-0.11042916662345248
diversity_features,sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,30,367,-0.11228097198829001
diversity_features,sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,31,367,-0.09042736833722165
diversity_features,sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,32,368,-0.051122282696761445
diversity_features,sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,33,367,-0.16597950221319002
diversity_features,sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,34,367,-0.07297868223365978
diversity_features,sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,35,367,-0.07660787790151713
diversity_features,sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,36,368,-0.07870338698312218
diversity_features,sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,37,367,-0.12823343698084866
diversity_features,sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,38,367,-0.07862045387588767
diversity_features,sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,39,367,-0.10615917550265874
diversity_features,sleep_efficiency_log1p_resid_rf_vendor_only_resid,0,368,-0.06556761172337078
diversity_features,sleep_efficiency_log1p_resid_rf_vendor_only_resid,1,367,-0.10369325740149282
