sleep_feature,n_folds,n_repeats,r2_mean,r2_std,r2_ci_lower,r2_ci_upper,n_features_dropped_any_fold,n_total_drop_events,dropped_columns_any_fold
sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,4,10,-0.12484833054993676,0.04959922488942664,-0.22558718772454783,-0.0489784612075069,0,0,
sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,4,10,-0.09529437461558887,0.029151075676227427,-0.13798800418007132,-0.04825573002596855,0,0,
sleep_efficiency_log1p_resid_rf_vendor_only_resid,4,10,-0.1121378925971767,0.05609484179546065,-0.23396085024583754,-0.03666308592358917,0,0,
sleep_minutesAfterWakeup_log1p_resid_rf_vendor_only_resid,4,10,-0.13603115317530107,0.040607775216796975,-0.21551909806602468,-0.08257320891294337,0,0,
sleep_minutesAsleep_log1p_resid_rf_vendor_only_resid,4,10,-0.08743876116597545,0.05018347455117609,-0.1813907620460299,-0.00026780591549837305,0,0,
sleep_minutesAwake_log1p_resid_rf_vendor_only_resid,4,10,-0.14749806847101152,0.07969429415476795,-0.31355149887596,-0.02945376739137965,0,0,
sleep_restlessDuration_log1p_resid_rf_vendor_only_resid,4,10,-0.15300972725991485,0.05368881175056823,-0.3015993141068414,-0.07606292345799472,0,0,
sleep_timeInBed_log1p_resid_rf_vendor_only_resid,4,10,-0.10200967224181175,0.07749652488416033,-0.26586211781018726,0.022621791690151084,0,0,
sleep_awakeDuration_std_log1p_resid_rf_vendor_only_resid,4,10,-0.12446236917194128,0.052698361507886614,-0.21353786821148926,-0.024014545663134546,0,0,
sleep_awakeningsCount_std_log1p_resid_rf_vendor_only_resid,4,10,-0.06265689186685516,0.03281638523931875,-0.12820593124697388,-0.007849838265700015,0,0,
sleep_efficiency_std_log1p_resid_rf_vendor_only_resid,4,10,-0.09971951283669556,0.03889253034287283,-0.18556590969649542,-0.046117056744219925,0,0,
sleep_minutesAfterWakeup_std_log1p_resid_rf_vendor_only_resid,4,10,-0.14598227049109386,0.037944356755893006,-0.2205925150117427,-0.0768217654021983,0,0,
sleep_minutesAsleep_std_log1p_resid_rf_vendor_only_resid,4,10,-0.07207412363238064,0.03626473807602221,-0.1505346130482676,-0.0008213351503643585,0,0,
sleep_minutesAwake_std_log1p_resid_rf_vendor_only_resid,4,10,-0.12546422756168432,0.091721897387115,-0.337597428832929,-0.005596048431208875,0,0,
sleep_restlessDuration_std_log1p_resid_rf_vendor_only_resid,4,10,-0.12318557780615089,0.0646572432335149,-0.2743224626538284,-0.04398495350962644,0,0,
sleep_timeInBed_std_log1p_resid_rf_vendor_only_resid,4,10,-0.12330504546240191,0.06382053541685496,-0.22017250288559256,-0.027009795057559394,0,0,
bedtime_int_log1p_resid_rf_vendor_only_resid,4,10,-0.11226606853346906,0.03037277288993516,-0.15693471604885542,-0.057274894613115475,0,0,
bedtime_int_std_log1p_resid_rf_vendor_only_resid,4,10,-0.11094048891166397,0.03945738281267409,-0.19843357016590818,-0.04172765032638845,0,0,
