sleep_feature,n_folds,n_repeats,r2_mean,r2_std,r2_ci_lower,r2_ci_upper,n_features_dropped_any_fold,n_total_drop_events,dropped_columns_any_fold
sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,4,10,-0.04055701359042787,0.022985742236105895,-0.07588896158686247,0.00012890254607563606,0,0,
sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,4,10,-0.034273975784824294,0.022621096655261082,-0.07175362909513468,0.0026230460138004213,0,0,
sleep_efficiency_log1p_resid_rf_vendor_only_resid,4,10,-0.07198439051321995,0.034377755847964035,-0.13014669851394353,-0.01538098191135803,0,0,
sleep_minutesAfterWakeup_log1p_resid_rf_vendor_only_resid,4,10,-0.07195981738074464,0.023050733273987843,-0.12510662818949328,-0.03398880716195002,0,0,
sleep_minutesAsleep_log1p_resid_rf_vendor_only_resid,4,10,-0.06895043422543656,0.035244613930929716,-0.1600848242930875,-0.025004169027999828,0,0,
sleep_minutesAwake_log1p_resid_rf_vendor_only_resid,4,10,-0.047791747163442755,0.04513992547729879,-0.1353830786792958,0.02718699203760849,0,0,
sleep_restlessDuration_log1p_resid_rf_vendor_only_resid,4,10,-0.07043033072275447,0.036404761159471256,-0.15120176486862166,-0.011990269660067346,0,0,
sleep_timeInBed_log1p_resid_rf_vendor_only_resid,4,10,-0.025982065199448227,0.04326034361203426,-0.12710887769919965,0.04606200240745241,0,0,
sleep_awakeDuration_std_log1p_resid_rf_vendor_only_resid,4,10,-0.04916560091228296,0.030309334199749936,-0.12314590414431434,-0.006909602841743725,0,0,
sleep_awakeningsCount_std_log1p_resid_rf_vendor_only_resid,4,10,-0.03857223729355676,0.026180510038938103,-0.09116612384273241,0.002016876182784995,0,0,
sleep_efficiency_std_log1p_resid_rf_vendor_only_resid,4,10,-0.055729218101574066,0.026609681577295607,-0.12741390977653347,-0.01765584308363001,0,0,
sleep_minutesAfterWakeup_std_log1p_resid_rf_vendor_only_resid,4,10,-0.06793883518438153,0.019966063152950526,-0.10894669690324515,-0.03174210217709683,0,0,
sleep_minutesAsleep_std_log1p_resid_rf_vendor_only_resid,4,10,-0.05084838328155498,0.03988014918483926,-0.12185737199625482,0.03436988612273302,0,0,
sleep_minutesAwake_std_log1p_resid_rf_vendor_only_resid,4,10,-0.07276735979259383,0.048450406193537666,-0.17441121793867598,0.01546545377395371,0,0,
sleep_restlessDuration_std_log1p_resid_rf_vendor_only_resid,4,10,-0.07850177222487961,0.04015791948443657,-0.1657229205775023,-0.019565408094848302,0,0,
sleep_timeInBed_std_log1p_resid_rf_vendor_only_resid,4,10,-0.004772984303067301,0.05351544439393975,-0.10115128248382237,0.0862755657028365,0,0,
bedtime_int_log1p_resid_rf_vendor_only_resid,4,10,-0.04781576087926928,0.024682652205971795,-0.0895813507259184,0.005912504419880086,0,0,
bedtime_int_std_log1p_resid_rf_vendor_only_resid,4,10,-0.005754976670412751,0.030100566992735018,-0.06135569094182878,0.05181788453154746,0,0,
