sleep_feature,n_folds,n_repeats,r2_mean,r2_std,r2_ci_lower,r2_ci_upper,n_features_dropped_any_fold,n_total_drop_events,dropped_columns_any_fold
sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,4,10,0.009112780511873775,0.017466224889490848,-0.021594719628560785,0.037605014008580025,0,0,
sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,4,10,-0.020089271751315717,0.01296428563751232,-0.0485952842567793,0.0021288500918241055,0,0,
sleep_efficiency_log1p_resid_rf_vendor_only_resid,4,10,-0.04594986471004572,0.03630503339046441,-0.1252901650589516,0.008142762273401558,0,0,
sleep_minutesAfterWakeup_log1p_resid_rf_vendor_only_resid,4,10,-0.032474951068971025,0.023463986446156507,-0.07681964636737144,0.015097755085037533,0,0,
sleep_minutesAsleep_log1p_resid_rf_vendor_only_resid,4,10,-0.005416039165923645,0.02104786170417512,-0.04723967380594399,0.03707570155367315,0,0,
sleep_minutesAwake_log1p_resid_rf_vendor_only_resid,4,10,-0.015358902229948113,0.02748577192465575,-0.08152909317432741,0.02644096058925037,0,0,
sleep_restlessDuration_log1p_resid_rf_vendor_only_resid,4,10,-0.039216453244667764,0.01988392169601784,-0.08296596583587126,-0.00829999340984633,0,0,
sleep_timeInBed_log1p_resid_rf_vendor_only_resid,4,10,-0.007306775221160769,0.03450750391952302,-0.09924660797943621,0.034239707052970164,0,0,
sleep_awakeDuration_std_log1p_resid_rf_vendor_only_resid,4,10,-0.004364846202192932,0.013601255679525238,-0.02345654471145397,0.02037685177883469,0,0,
sleep_awakeningsCount_std_log1p_resid_rf_vendor_only_resid,4,10,-0.01091677685504911,0.012583871976086833,-0.04213658757305036,0.01075364918075687,0,0,
sleep_efficiency_std_log1p_resid_rf_vendor_only_resid,4,10,-0.013925601630481246,0.025134262846841546,-0.06345788761477537,0.020536731100062818,0,0,
sleep_minutesAfterWakeup_std_log1p_resid_rf_vendor_only_resid,4,10,-0.018152246662782798,0.012128579177577549,-0.03927143040725722,0.0019277846912698709,0,0,
sleep_minutesAsleep_std_log1p_resid_rf_vendor_only_resid,4,10,-0.0010449965418030977,0.016417429301118364,-0.03415961657665534,0.027383281029698982,0,0,
sleep_minutesAwake_std_log1p_resid_rf_vendor_only_resid,4,10,-0.01788389744774729,0.0342682620063599,-0.08643346682276311,0.02236269067278529,0,0,
sleep_restlessDuration_std_log1p_resid_rf_vendor_only_resid,4,10,-0.031254812855980266,0.03947857038117813,-0.13676383329347602,0.014820261756188538,0,0,
sleep_timeInBed_std_log1p_resid_rf_vendor_only_resid,4,10,-0.030136198022432746,0.024958175106574543,-0.07287133038929834,0.008466002977250383,0,0,
bedtime_int_log1p_resid_rf_vendor_only_resid,4,10,0.03277001396502954,0.01412556283118738,-9.902842630914952e-05,0.05397747147733063,0,0,
bedtime_int_std_log1p_resid_rf_vendor_only_resid,4,10,-0.002957450557358257,0.013778531414390588,-0.03838394731816784,0.012901962965584067,0,0,
