sleep_feature,n_folds,n_repeats,r2_mean,r2_std,r2_ci_lower,r2_ci_upper,n_features_dropped_any_fold,n_total_drop_events,dropped_columns_any_fold
sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,4,10,-0.023835802357836687,0.02295922351581598,-0.06615120188494643,0.021531936390621138,0,0,
sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,4,10,-0.031260717551378006,0.014144830800032301,-0.06744578588976749,-0.008218484905310776,0,0,
sleep_efficiency_log1p_resid_rf_vendor_only_resid,4,10,-0.19268296654602005,0.09966998038066203,-0.39331511316019496,-0.0727371297957651,0,0,
sleep_minutesAfterWakeup_log1p_resid_rf_vendor_only_resid,4,10,-0.0814209832521275,0.04001702657265715,-0.1600285674045628,-0.026352293412764044,0,0,
sleep_minutesAsleep_log1p_resid_rf_vendor_only_resid,4,10,-0.05966892159366131,0.030815392064771133,-0.12307976613245127,-0.006492949180928617,0,0,
sleep_minutesAwake_log1p_resid_rf_vendor_only_resid,4,10,-0.02490583618675651,0.04498803980737665,-0.10947466381908853,0.04242932921397363,0,0,
sleep_restlessDuration_log1p_resid_rf_vendor_only_resid,4,10,-0.06673932117035483,0.030494096615227045,-0.12639174345340967,-0.0036189713406331206,0,0,
sleep_timeInBed_log1p_resid_rf_vendor_only_resid,4,10,-0.0558465597614321,0.04905036383079818,-0.16949669814192583,0.02330366758647162,0,0,
sleep_awakeDuration_std_log1p_resid_rf_vendor_only_resid,4,10,-0.029053123390443213,0.023344567464690193,-0.0792141922793017,0.007850627380403877,0,0,
sleep_awakeningsCount_std_log1p_resid_rf_vendor_only_resid,4,10,-0.019994056754402977,0.017061337169067003,-0.05120194789187883,0.010045426639639723,0,0,
sleep_efficiency_std_log1p_resid_rf_vendor_only_resid,4,10,-0.07301454774139873,0.030300940086017934,-0.13425949638990836,-0.022453359287754847,0,0,
sleep_minutesAfterWakeup_std_log1p_resid_rf_vendor_only_resid,4,10,-0.0362456812512124,0.01899119357440911,-0.06964037581641602,-0.0004047112447625239,0,0,
sleep_minutesAsleep_std_log1p_resid_rf_vendor_only_resid,4,10,-0.019363708609116303,0.020111545782681647,-0.05302806597058884,0.011773910130665642,0,0,
sleep_minutesAwake_std_log1p_resid_rf_vendor_only_resid,4,10,-0.046112201184227944,0.05852223365486379,-0.15457232003060442,0.02514236876429153,0,0,
sleep_restlessDuration_std_log1p_resid_rf_vendor_only_resid,4,10,-0.06462289107265418,0.04167359022029086,-0.14970310713249496,-0.016252613224509518,0,0,
sleep_timeInBed_std_log1p_resid_rf_vendor_only_resid,4,10,-0.04355770167873838,0.027365898523926246,-0.08919173449240292,0.0005440304919858162,0,0,
bedtime_int_log1p_resid_rf_vendor_only_resid,4,10,-0.009467232761616987,0.017978563316993875,-0.05274804329638719,0.021502100071817454,0,0,
bedtime_int_std_log1p_resid_rf_vendor_only_resid,4,10,-0.01650038889614173,0.014788865014832377,-0.039246935466172944,0.00311939590619469,0,0,
