feature_set,sleep_feature,cv_id,n_test,r2
proteomics_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,0,225,-0.007112221541226482
proteomics_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,1,225,-0.002928386552614848
proteomics_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,2,224,-0.020570383259331138
proteomics_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,3,224,0.002239526647433654
proteomics_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,4,225,-0.05152893866593389
proteomics_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,5,225,-0.006022953606696024
proteomics_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,6,224,-0.006896374312604481
proteomics_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,7,224,-0.011222880857383766
proteomics_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,8,225,0.022552642122751432
proteomics_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,9,225,-0.01986241178677095
proteomics_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,10,224,-0.016300405257385187
proteomics_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,11,224,0.003364773075122729
proteomics_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,12,225,0.01297584436350685
proteomics_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,13,225,0.00496821509075307
proteomics_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,14,224,-0.0015355062507935724
proteomics_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,15,224,-0.04135818552306447
proteomics_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,16,225,-0.030141046198199017
proteomics_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,17,225,-0.02567183656888039
proteomics_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,18,224,-0.018512426811733373
proteomics_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,19,224,-0.010003113600453917
proteomics_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,20,225,0.017440173005597193
proteomics_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,21,225,-0.04881053720980533
proteomics_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,22,224,0.014165493465377654
proteomics_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,23,224,-0.03550410356513711
proteomics_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,24,225,0.010038277495144188
proteomics_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,25,225,-0.001544078166090257
proteomics_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,26,224,-0.018948759435176488
proteomics_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,27,224,-0.00823386468973486
proteomics_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,28,225,0.013341323171629171
proteomics_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,29,225,-0.020064440309979226
proteomics_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,30,224,0.005003192353208674
proteomics_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,31,224,-0.03145826626645665
proteomics_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,32,225,-0.004481230766752109
proteomics_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,33,225,-0.023666974035779553
proteomics_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,34,224,0.018665827690019676
proteomics_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,35,224,-0.021276568892527825
proteomics_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,36,225,-0.022078065337743036
proteomics_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,37,225,0.005487765130219979
proteomics_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,38,224,-0.0076684910449911214
proteomics_features,sleep_awakeDuration_log1p_resid_rf_vendor_only_resid,39,224,0.011921056245355888
proteomics_features,sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,0,368,0.011319775792590914
proteomics_features,sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,1,367,-0.006246584577100034
proteomics_features,sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,2,367,-0.008096646899009574
proteomics_features,sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,3,367,-0.0068973286767588515
proteomics_features,sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,4,368,-0.024045201261426286
proteomics_features,sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,5,367,0.02682050218792076
proteomics_features,sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,6,367,-0.027272464912668326
proteomics_features,sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,7,367,0.008040712854578858
proteomics_features,sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,8,368,-0.012577534845979343
proteomics_features,sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,9,367,-0.05421781960298144
proteomics_features,sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,10,367,0.0008483575479496519
proteomics_features,sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,11,367,-0.01279024875326007
proteomics_features,sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,12,368,-0.00784196508082946
proteomics_features,sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,13,367,-0.007796620105876784
proteomics_features,sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,14,367,0.0019583243328638034
proteomics_features,sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,15,367,-0.011660681055916555
proteomics_features,sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,16,368,0.010193155450976099
proteomics_features,sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,17,367,-0.006476654517275637
proteomics_features,sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,18,367,-0.040555085232227395
proteomics_features,sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,19,367,0.00042842640564744183
proteomics_features,sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,20,368,0.0023103941832662844
proteomics_features,sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,21,367,-0.020447729947536297
proteomics_features,sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,22,367,-0.028370236384023917
proteomics_features,sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,23,367,-0.0022119556074693403
proteomics_features,sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,24,368,-0.018279439536298625
proteomics_features,sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,25,367,-0.006022456084647354
proteomics_features,sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,26,367,0.00044000269378607904
proteomics_features,sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,27,367,0.0015174735645210324
proteomics_features,sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,28,368,0.025529205297411872
proteomics_features,sleep_awakeningsCount_log1p_resid_rf_vendor_only_resid,29,367,-0.0033001698183205974
